,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1992,1992-09-06,1,1,,TAM,,PHO,W 23-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
1,2,1992,1992-09-13,2,2,23.119,TAM,,GNB,W 31-3,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
2,3,1992,1992-09-20,3,3,,TAM,@,MIN,L 20-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
3,4,1992,1992-09-27,4,4,,TAM,@,DET,W 27-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
4,5,1992,1992-10-04,5,5,,TAM,,IND,L 14-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
5,6,1992,1992-10-18,6,7,23.154,TAM,@,CHI,L 14-31,,2,3,66.67,17,0,0,81.2,1,3,5.67,5.67,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
6,7,1992,1992-10-25,7,8,23.161,TAM,,DET,L 7-38,,1,3,33.33,6,0,0,42.4,0,0,2.00,2.00,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
7,8,1992,1992-11-01,8,9,,TAM,@,NOR,L 21-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
8,9,1992,1992-11-08,9,10,23.175,TAM,,MIN,L 7-35,,5,6,83.33,51,0,0,102.1,0,0,8.50,8.50,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
9,10,1992,1992-11-15,10,11,,TAM,,CHI,W 20-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
10,11,1992,1992-11-22,11,12,23.189,TAM,@,SDG,L 14-29,,3,6,50.00,20,0,0,57.6,0,0,3.33,3.33,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
11,12,1992,1992-11-29,12,13,,TAM,@,GNB,L 14-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
12,13,1992,1992-12-06,13,14,,TAM,,RAM,L 27-31,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Craig Erickson,EricCr00
13,14,1992,1992-12-13,14,15,23.210,TAM,,ATL,L 7-35,,4,8,50.00,27,0,0,57.8,1,6,3.38,3.38,0,0,,0,0,0,0,,0,0,0,0,,Craig Erickson,EricCr00
14,15,1992,1992-12-19,15,16,,TAM,@,SFO,L 14-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Craig Erickson,EricCr00
