,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1973,1973-09-16,1,1,23.146,BUF,@,NWE,W 31-13,*,1,2,50.00,10,0,0,64.6,1,6,5.00,5.00,2,4,2.00,0,1,-3,-3.00,0,0,0,Joe Ferguson,FergJo00
1,2,1973,1973-09-23,2,2,23.153,BUF,@,SDG,L 7-34,*,5,17,29.41,53,0,2,0.5,2,15,3.12,-2.18,1,-5,-5.00,0,,,,,0,0,Joe Ferguson,FergJo00
2,3,1973,1973-09-30,3,3,23.160,BUF,,NYJ,W 9-7,*,7,17,41.18,74,0,1,30.0,1,10,4.35,1.71,4,13,3.25,0,,,,,0,0,Joe Ferguson,FergJo00
3,4,1973,1973-10-07,4,4,23.167,BUF,,PHI,W 27-26,*,6,9,66.67,63,0,0,86.8,2,16,7.00,7.00,4,25,6.25,1,,,,,1,6,Joe Ferguson,FergJo00
4,5,1973,1973-10-14,5,5,23.174,BUF,,BAL,W 31-13,*,7,13,53.85,57,1,1,58.8,1,5,4.38,2.46,9,37,4.11,1,,,,,1,6,Joe Ferguson,FergJo00
5,6,1973,1973-10-21,6,6,23.181,BUF,@,MIA,L 6-27,*,3,9,33.33,25,0,1,2.8,3,20,2.78,-2.22,4,6,1.50,0,,,,,0,0,Joe Ferguson,FergJo00
6,7,1973,1973-10-29,7,7,23.189,BUF,,KAN,W 23-14,*,6,11,54.55,63,0,1,33.5,,,5.73,1.64,5,11,2.20,0,,,,,0,0,Joe Ferguson,FergJo00
7,8,1973,1973-11-04,8,8,23.195,BUF,@,NOR,L 0-13,*,9,19,47.37,87,0,0,60.6,3,21,4.58,4.58,3,23,7.67,0,,,,,0,0,Joe Ferguson,FergJo00
8,9,1973,1973-11-11,9,9,23.202,BUF,,CIN,L 13-16,*,0,3,0.00,0,0,1,0.0,,,0.00,-15.00,,,,,,,,,0,0,Joe Ferguson,FergJo00
