,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,,
0,1,1949,1949-09-25,1,1,22.025,PIT,,NYG,W 28-7,,2,3,66.67,16,0,0,79.9,,,5.33,5.33,1,-2,-2.00,0,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
1,2,1949,1949-10-03,2,2,22.033,PIT,,WAS,L 14-27,,1,5,20.00,20,0,1,4.2,,,4.00,-5.00,,,,,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
2,3,1949,1949-10-16,4,4,22.046,PIT,@,NYG,W 21-17,,2,4,50.00,41,1,0,126.0,,,10.25,15.25,,,,,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
3,4,1949,1949-10-23,5,5,22.053,PIT,,NYY,W 24-13,,4,10,40.00,34,0,1,10.0,,,3.40,-1.10,6,54,9.00,0,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
4,5,1949,1949-10-30,6,6,22.060,PIT,,PHI,L 7-38,,9,24,37.50,115,1,1,49.8,,,4.79,3.75,6,9,1.50,0,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
5,6,1949,1949-11-06,7,7,22.067,PIT,@,WAS,L 14-27,,5,15,33.33,86,0,2,14.2,,,5.73,-0.27,18,68,3.78,1,,,,,,,,,1,6,,,,,Jim Finks,FinkJi00
6,7,1949,1949-11-20,9,9,22.081,PIT,@,GNB,W 30-7,,0,2,0.00,0,0,1,0.0,,,0.00,-22.50,1,-2,-2.00,0,,,,,,,,,0,0,,,,,Jim Finks,FinkJi00
7,8,1949,1949-12-04,11,11,22.095,PIT,@,CHI,L 21-30,,0,3,0.00,0,0,2,0.0,,,0.00,-30.00,,,,,,,,,,,,,0,0,1,14,0,,Jim Finks,FinkJi00
8,9,1949,1949-12-11,12,12,22.102,PIT,@,NYY,W 27-0,,1,5,20.00,10,0,0,39.6,,,2.00,2.00,3,8,2.67,0,1,17,17.00,1,,,,,1,6,,,,,Jim Finks,FinkJi00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Jim Finks,FinkJi00
10,10,1950,1950-09-17,1,1,23.017,PIT,,NYG,L 7-18,,2,5,40.00,30,0,1,20.8,,,6.00,-3.00,,,,,0,0,,0,,,,,0,0,,,,,Jim Finks,FinkJi00
11,11,1950,1950-09-24,2,2,23.024,PIT,@,DET,L 7-10,,3,4,75.00,5,0,0,77.1,,,1.25,1.25,1,2,2.00,0,0,0,,0,,,,,0,0,1,24,0,,Jim Finks,FinkJi00
12,12,1950,1950-10-15,5,5,23.045,PIT,@,NYG,W 17-6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,Jim Finks,FinkJi00
13,13,1950,1950-11-05,8,8,23.066,PIT,@,PHI,W 9-7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,,Jim Finks,FinkJi00
14,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Jim Finks,FinkJi00
15,14,1951,1951-10-07,2,2,24.037,PIT,@,GNB,L 33-35,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1,25,1,,Jim Finks,FinkJi00
16,15,1951,1951-10-28,5,5,24.058,PIT,@,CRD,W 28-14,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,4,0,,Jim Finks,FinkJi00
17,16,1951,1951-11-11,7,7,24.072,PIT,,GNB,W 28-7,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,17,0,,Jim Finks,FinkJi00
18,17,1951,1951-11-18,8,8,24.079,PIT,,WAS,L 7-22,,,,,,,,,,,,,,,,,,,,,0,7,,0,0,0,,,,,Jim Finks,FinkJi00
19,18,1951,1951-12-02,10,10,24.093,PIT,@,NYG,L 0-14,,,,,,,,,,,,,,,,,,,,,1,13,13.00,0,0,0,,,,,Jim Finks,FinkJi00
20,19,1951,1951-12-16,12,12,24.107,PIT,@,WAS,W 20-10,,14,24,58.33,201,1,1,82.1,,9,8.38,7.33,3,27,9.00,0,0,0,,0,,,,,0,0,,,,,Jim Finks,FinkJi00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Ret,Yds,Y/R,TD,TD,Pts,Int,Yds,TD,PD,Jim Finks,FinkJi00
