,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1960,1960-09-11,1,1,23.174,OAK,,HOU,L 22-37,*,13,32,40.63,232,2,0,87.0,,,7.25,8.50,3,2,0.67,0,0,0,Tom Flores,FlorTo00
1,2,1960,1960-09-16,2,2,23.179,OAK,,DTX,L 16-34,*,6,13,46.15,45,0,2,15.4,,,3.46,-3.46,,,,,0,0,Tom Flores,FlorTo00
2,3,1960,1960-09-25,3,3,23.188,OAK,@,HOU,W 14-13,,7,10,70.00,57,1,0,117.5,,,5.70,7.70,,,,,0,0,Tom Flores,FlorTo00
3,4,1960,1960-10-02,4,4,23.195,OAK,@,DEN,L 14-31,*,10,15,66.67,124,0,1,64.3,,,8.27,5.27,4,78,19.50,0,0,0,Tom Flores,FlorTo00
4,5,1960,1960-10-09,5,5,23.202,OAK,@,DTX,W 20-19,*,7,16,43.75,115,0,1,42.4,,,7.19,4.38,1,0,0.00,0,0,0,Tom Flores,FlorTo00
5,6,1960,1960-10-16,6,6,23.209,OAK,,BOS,W 27-14,*,14,24,58.33,161,2,3,66.8,,,6.71,2.75,2,8,4.00,0,0,0,Tom Flores,FlorTo00
6,7,1960,1960-10-23,7,7,23.216,OAK,@,BUF,L 9-38,*,7,14,50.00,42,0,1,26.5,,,3.00,-0.21,2,-4,-2.00,0,0,0,Tom Flores,FlorTo00
7,8,1960,1960-10-28,8,8,23.221,OAK,@,NYT,W 28-27,*,9,20,45.00,170,2,0,108.3,,,8.50,10.50,,,,,0,0,Tom Flores,FlorTo00
8,9,1960,1960-11-04,9,9,23.228,OAK,@,BOS,L 28-34,*,3,7,42.86,45,0,1,25.0,,,6.43,0.00,1,8,8.00,1,1,6,Tom Flores,FlorTo00
9,10,1960,1960-11-13,10,10,23.237,OAK,,BUF,W 20-7,*,7,9,77.78,94,0,0,110.2,,,10.44,10.44,1,5,5.00,0,0,0,Tom Flores,FlorTo00
10,11,1960,1960-11-27,11,12,23.251,OAK,@,LAC,L 28-52,*,13,24,54.17,119,1,0,81.8,,,4.96,5.79,,,,,0,0,Tom Flores,FlorTo00
11,12,1960,1960-12-04,12,13,23.258,OAK,,LAC,L 17-41,*,16,27,59.26,219,1,1,82.2,,,8.11,7.19,1,14,14.00,0,0,0,Tom Flores,FlorTo00
12,13,1960,1960-12-11,13,14,23.265,OAK,,NYT,L 28-31,*,15,27,55.56,170,3,2,80.8,,,6.30,5.19,,,,,0,0,Tom Flores,FlorTo00
13,14,1960,1960-12-17,14,15,23.271,OAK,,DEN,W 48-10,*,9,14,64.29,145,0,0,98.8,,,10.36,10.36,4,12,3.00,2,2,12,Tom Flores,FlorTo00
14,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Tom Flores,FlorTo00
