,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Unnamed: 34_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 46_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1986,1986-11-09,10,10,24.017,CHI,@,TAM,W 23-3,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,-1,-1.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
1,2,1986,1986-12-07,14,14,24.045,CHI,,TAM,W 48-14,,2,7,28.57,79,1,0,113.7,0,0,11.29,14.14,2,7,3.50,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
2,3,1986,1986-12-15,15,15,24.053,CHI,@,DET,W 16-13,,13,24,54.17,130,0,1,52.4,3,18,5.42,3.54,5,11,2.20,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
3,4,1986,1986-12-21,16,16,24.059,CHI,@,DAL,W 24-10,*,8,14,57.14,152,2,1,104.8,3,12,10.86,10.50,1,19,19.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
5,5,1987,1987-09-20,2,2,24.332,CHI,,TAM,W 20-3,,,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,Doug Flutie,FlutDo00
6,6,1987,1987-10-18,5,6,24.360,NWE,@,HOU,W 21-7,*,15,25,60.00,199,1,0,98.6,1,3,7.96,8.76,6,43,7.17,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Doug Flutie,FlutDo00
8,7,1988,1988-10-02,5,5,25.345,NWE,,IND,W 21-17,,12,16,75.00,132,1,1,93.7,1,10,8.25,6.69,3,18,6.00,1,,,,,,,1,6,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
9,8,1988,1988-10-09,6,6,25.352,NWE,@,GNB,L 3-45,*,17,33,51.52,163,0,3,27.7,1,4,4.94,0.85,4,20,5.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
10,9,1988,1988-10-16,7,7,25.359,NWE,,CIN,W 27-21,*,10,14,71.43,165,0,0,110.7,2,12,11.79,11.79,7,36,5.14,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
11,10,1988,1988-10-23,8,8,26.000,NWE,@,BUF,L 20-23,*,5,16,31.25,58,1,0,64.1,2,11,3.63,4.88,1,9,9.00,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
12,11,1988,1988-10-30,9,9,26.007,NWE,,CHI,W 30-7,*,6,18,33.33,165,4,0,107.6,0,0,9.17,13.61,3,10,3.33,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
13,12,1988,1988-11-06,10,10,26.014,NWE,,MIA,W 21-10,*,7,14,50.00,74,1,1,59.8,0,0,5.29,3.50,3,17,5.67,0,,,,,,,0,0,0.0,,,,,,0,,0,0,0,0,,Doug Flutie,FlutDo00
