,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2009,2009-09-13,1,1,,TAM,,DAL,L 21-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Freeman,FreeJo00
1,2,2009,2009-09-20,2,2,,TAM,@,BUF,L 20-33,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Freeman,FreeJo00
2,3,2009,2009-09-27,3,3,,TAM,,NYG,L 0-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Freeman,FreeJo00
3,4,2009,2009-10-04,4,4,,TAM,@,WAS,L 13-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Josh Freeman,FreeJo00
4,5,2009,2009-10-11,5,5,,TAM,@,PHI,L 14-33,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Josh Freeman,FreeJo00
5,6,2009,2009-10-18,6,6,,TAM,,CAR,L 21-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Josh Freeman,FreeJo00
6,7,2009,2009-10-25,7,7,21.285,TAM,,NWE,L 7-35,,2,4,50.00,16,0,0,60.4,2,16,4.00,4.00,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
7,8,2009,2009-11-08,8,9,21.299,TAM,,GNB,W 38-28,*,14,31,45.16,205,3,1,86.1,1,7,6.61,7.10,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,2,0,0,,,,,,,,Josh Freeman,FreeJo00
8,9,2009,2009-11-15,9,10,21.306,TAM,@,MIA,L 23-25,*,16,28,57.14,196,1,1,75.9,4,16,7.00,6.11,6,35,5.83,0,0,0,0,,0,0.0%,,,0,0,4,1,0,1,-13,0,,,,,,,,Josh Freeman,FreeJo00
9,10,2009,2009-11-22,10,11,21.313,TAM,,NOR,L 7-38,*,17,33,51.52,126,1,3,33.1,3,26,3.82,0.33,2,30,15.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
10,11,2009,2009-11-29,11,12,21.320,TAM,@,ATL,L 17-20,*,20,29,68.97,250,2,0,118.5,1,5,8.62,10.00,2,14,7.00,0,1,0,1,,0,0.0%,1.00,,0,0,1,0,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
11,12,2009,2009-12-06,12,13,21.327,TAM,@,CAR,L 6-16,*,23,44,52.27,321,0,5,36.5,2,6,7.30,2.18,3,30,10.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
12,13,2009,2009-12-13,13,14,21.334,TAM,,NYJ,L 3-26,*,14,33,42.42,93,0,3,12.1,3,12,2.82,-1.27,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-1,0,,,,,,,,Josh Freeman,FreeJo00
13,14,2009,2009-12-20,14,15,21.341,TAM,@,SEA,W 24-7,*,16,26,61.54,205,2,1,95.8,0,0,7.88,7.69,3,1,0.33,0,0,0,0,,0,0.0%,,1,0,2,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
14,15,2009,2009-12-27,15,16,21.348,TAM,@,NOR,W 20-17,*,21,31,67.74,271,0,2,68.1,3,8,8.74,5.84,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
15,16,2009,2010-01-03,16,17,21.355,TAM,,ATL,L 10-20,*,15,31,48.39,172,1,2,49.4,1,6,5.55,3.29,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Freeman,FreeJo00
17,17,2010,2010-09-12,1,1,22.242,TAM,,CLE,W 17-14,*,17,28,60.71,182,2,1,88.7,3,13,6.50,6.32,2,34,17.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
18,18,2010,2010-09-19,2,2,22.249,TAM,@,CAR,W 20-7,*,12,24,50.00,178,2,0,102.4,0,0,7.42,9.08,4,43,10.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
19,19,2010,2010-09-26,3,3,22.256,TAM,,PIT,L 13-38,*,20,31,64.52,184,0,1,67.1,3,16,5.94,4.48,6,15,2.50,0,0,0,0,,0,0.0%,,,0,0,0,0,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
20,20,2010,2010-10-10,4,5,22.270,TAM,@,CIN,W 24-21,*,20,33,60.61,280,1,1,85.4,3,18,8.48,7.73,3,20,6.67,0,0,0,0,,0,0.0%,,,0,0,2,0,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
21,21,2010,2010-10-17,5,6,22.277,TAM,,NOR,L 6-31,*,25,43,58.14,219,1,0,79.5,0,0,5.09,5.56,3,2,0.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
22,22,2010,2010-10-24,6,7,22.284,TAM,,STL,W 18-17,*,23,40,57.50,212,1,0,80.4,3,23,5.30,5.80,5,40,8.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
23,23,2010,2010-10-31,7,8,22.291,TAM,@,ARI,W 38-35,*,18,25,72.00,278,1,0,121.7,2,25,11.12,11.92,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
24,24,2010,2010-11-07,8,9,22.298,TAM,@,ATL,L 21-27,*,11,22,50.00,189,2,2,72.0,1,7,8.59,6.32,4,26,6.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
25,25,2010,2010-11-14,9,10,22.305,TAM,,CAR,W 31-16,*,18,24,75.00,241,2,0,134.2,1,6,10.04,11.71,5,19,3.80,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
26,26,2010,2010-11-21,10,11,22.312,TAM,@,SFO,W 21-0,*,13,20,65.00,136,2,0,117.9,2,6,6.80,8.80,5,15,3.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
27,27,2010,2010-11-28,11,12,22.319,TAM,@,BAL,L 10-17,*,17,37,45.95,162,1,0,67.6,0,0,4.38,4.92,6,27,4.50,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
28,28,2010,2010-12-05,12,13,22.326,TAM,,ATL,L 24-28,*,19,38,50.00,181,1,1,61.4,1,9,4.76,4.11,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
29,29,2010,2010-12-12,13,14,22.333,TAM,@,WAS,W 17-16,*,15,25,60.00,266,1,0,109.7,1,4,10.64,11.44,6,10,1.67,0,0,0,0,,0,0.0%,,1,0,2,1,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
30,30,2010,2010-12-19,14,15,22.340,TAM,,DET,L 20-23,*,21,32,65.63,251,1,0,99.9,3,25,7.84,8.47,5,29,5.80,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
31,31,2010,2010-12-26,15,16,22.347,TAM,,SEA,W 38-15,*,21,26,80.77,237,5,0,144.2,2,21,9.12,12.96,4,23,5.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,2,0,0,,,,,,,,Josh Freeman,FreeJo00
32,32,2010,2011-01-02,16,17,22.354,TAM,@,NOR,W 23-13,*,21,26,80.77,255,2,0,133.2,3,22,9.81,11.35,4,11,2.75,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Freeman,FreeJo00
34,33,2011,2011-09-11,1,1,23.241,TAM,,DET,L 20-27,*,28,43,65.12,259,1,1,79.5,2,7,6.02,5.44,4,26,6.50,0,1,0,-4,,0,0.0%,-4.00,,0,0,2,0,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
35,34,2011,2011-09-18,2,2,23.248,TAM,@,MIN,W 24-20,*,22,31,70.97,243,1,1,91.2,2,13,7.84,7.03,3,16,5.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
36,35,2011,2011-09-25,3,3,23.255,TAM,,ATL,W 16-13,*,22,32,68.75,180,0,2,56.8,0,0,5.63,2.81,10,35,3.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
37,36,2011,2011-10-03,4,4,23.263,TAM,,IND,W 24-17,*,25,39,64.10,287,1,0,94.7,2,13,7.36,7.87,6,27,4.50,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
38,37,2011,2011-10-09,5,5,23.269,TAM,@,SFO,L 3-48,*,17,33,51.52,187,0,2,43.4,2,6,5.67,2.94,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
39,38,2011,2011-10-16,6,6,23.276,TAM,,NOR,W 26-20,*,23,41,56.10,303,2,0,95.9,0,0,7.39,8.37,4,3,0.75,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
40,39,2011,2011-10-23,7,7,23.283,TAM,,CHI,L 18-24,*,29,51,56.86,264,2,4,51.4,1,14,5.18,2.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
41,40,2011,2011-11-06,8,9,23.297,TAM,@,NOR,L 16-27,*,27,37,72.97,281,1,0,103.5,1,0,7.59,8.14,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
42,41,2011,2011-11-13,9,10,23.304,TAM,,HOU,L 9-37,*,15,33,45.45,170,1,3,33.6,4,29,5.15,1.67,3,25,8.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
43,42,2011,2011-11-20,10,11,23.311,TAM,@,GNB,L 26-35,*,28,38,73.68,342,2,2,96.6,2,8,9.00,7.68,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
44,43,2011,2011-11-27,11,12,23.318,TAM,@,TEN,L 17-23,*,18,33,54.55,199,1,1,70.1,2,13,6.03,5.27,3,10,3.33,0,0,0,0,,0,0.0%,,,0,0,2,1,0,1,0,0,,,,,,,,Josh Freeman,FreeJo00
45,44,2011,2011-12-04,12,13,,TAM,,CAR,L 19-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Josh Freeman,FreeJo00
46,45,2011,2011-12-11,13,14,23.332,TAM,@,JAX,L 14-41,*,16,30,53.33,181,0,2,43.9,3,14,6.03,3.03,4,26,6.50,1,0,0,0,,0,0.0%,,,1,6,2,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
47,46,2011,2011-12-17,14,15,23.338,TAM,,DAL,L 15-31,*,17,27,62.96,148,1,0,89.7,3,16,5.48,6.22,4,37,9.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Josh Freeman,FreeJo00
48,47,2011,2011-12-24,15,16,23.345,TAM,@,CAR,L 16-48,*,28,38,73.68,274,1,1,91.3,3,16,7.21,6.55,6,4,0.67,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,-9,0,,,,,,,,Josh Freeman,FreeJo00
49,48,2011,2012-01-01,16,17,23.353,TAM,@,ATL,L 24-45,*,31,45,68.89,274,2,3,71.9,2,15,6.09,3.98,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,1,1,0,1,-4,0,,,,,,,,Josh Freeman,FreeJo00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Josh Freeman,FreeJo00
51,49,2012,2012-09-09,1,1,24.240,TAM,,CAR,W 16-10,*,16,24,66.67,138,1,0,95.5,2,10,5.75,6.58,7,13,1.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
52,50,2012,2012-09-16,2,2,24.247,TAM,@,NYG,L 34-41,*,15,28,53.57,243,2,2,76.9,2,15,8.68,6.89,0,0,,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
53,51,2012,2012-09-23,3,3,24.254,TAM,@,DAL,L 10-16,*,10,28,35.71,110,1,1,45.2,2,19,3.93,3.04,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,60,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
54,52,2012,2012-09-30,4,4,24.261,TAM,,WAS,L 22-24,*,24,39,61.54,299,1,1,83.2,1,6,7.67,7.03,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
55,53,2012,2012-10-14,5,6,24.275,TAM,,KAN,W 38-10,*,15,26,57.69,328,3,1,124.7,1,10,12.62,13.19,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,53,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
56,54,2012,2012-10-21,6,7,24.282,TAM,,NOR,L 28-35,*,24,42,57.14,420,3,0,115.2,2,9,10.00,11.43,1,13,13.00,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,0,0,73,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
57,55,2012,2012-10-25,7,8,24.286,TAM,@,MIN,W 36-17,*,19,36,52.78,262,3,0,104.2,1,5,7.28,8.94,3,-1,-0.33,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
58,56,2012,2012-11-04,8,9,24.296,TAM,@,OAK,W 42-32,*,18,30,60.00,247,2,0,108.6,1,10,8.23,9.57,5,22,4.40,0,0,0,0,,0,0.0%,,,0,0,2,1,0,0,-8,0,65,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
59,57,2012,2012-11-11,9,10,24.303,TAM,,SDG,W 34-24,*,14,20,70.00,210,2,0,137.5,1,5,10.50,12.50,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,43,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
60,58,2012,2012-11-18,10,11,24.310,TAM,@,CAR,W 27-21,*,25,46,54.35,248,3,2,73.5,1,12,5.39,4.74,5,27,5.40,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,,Josh Freeman,FreeJo00
