,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1994,1994-09-04,1,1,,WAS,,SEA,L 7-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Gus Frerotte,FrerGu00
1,2,1994,1994-09-11,2,2,,WAS,@,NOR,W 38-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
2,3,1994,1994-09-18,3,3,,WAS,@,NYG,L 23-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
3,4,1994,1994-09-25,4,4,,WAS,,ATL,L 20-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
4,5,1994,1994-10-02,5,5,,WAS,,DAL,L 7-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
5,6,1994,1994-10-09,6,6,,WAS,@,PHI,L 17-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
6,7,1994,1994-10-16,7,7,,WAS,,ARI,L 16-19,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
7,8,1994,1994-10-23,8,8,23.084,WAS,@,IND,W 41-27,*,17,32,53.13,226,2,0,96.6,0,0,7.06,8.31,3,1,0.33,0,0,0,1,0,0,1,-4,0,,Gus Frerotte,FrerGu00
8,9,1994,1994-10-30,9,9,23.091,WAS,,PHI,L 29-31,*,13,30,43.33,189,3,2,70.0,1,8,6.30,5.30,0,0,,0,0,0,1,1,0,0,0,0,,Gus Frerotte,FrerGu00
9,10,1994,1994-11-06,10,10,23.098,WAS,,SFO,L 22-37,*,15,32,46.88,167,0,2,36.8,2,10,5.22,2.41,1,0,0.00,0,0,0,2,1,0,1,0,0,,Gus Frerotte,FrerGu00
10,11,1994,1994-11-20,11,12,23.112,WAS,@,DAL,L 7-31,*,1,6,16.67,18,0,1,0.0,0,0,3.00,-4.50,0,0,,0,0,0,0,,0,0,0,0,,Gus Frerotte,FrerGu00
11,12,1994,1994-11-27,12,13,,WAS,,NYG,L 19-21,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
12,13,1994,1994-12-04,13,14,,WAS,@,TAM,L 21-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
13,14,1994,1994-12-11,14,15,,WAS,@,ARI,L 15-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
14,15,1994,1994-12-18,15,16,,WAS,,TAM,L 14-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Gus Frerotte,FrerGu00
