,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2011,2011-09-11,1,1,,JAX,,TEN,W 16-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Blaine Gabbert,GabbBl00
1,2,2011,2011-09-18,2,2,21.338,JAX,@,NYJ,L 3-32,,5,6,83.33,52,0,0,102.8,1,10,8.67,8.67,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
2,3,2011,2011-09-25,3,3,21.345,JAX,@,CAR,L 10-16,*,12,21,57.14,139,1,1,73.3,2,10,6.62,5.43,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,3,0,0,1,-6,0,,,,,,,,Blaine Gabbert,GabbBl00
3,4,2011,2011-10-02,4,4,21.352,JAX,,NOR,L 10-23,*,16,42,38.10,196,1,1,51.3,3,26,4.67,4.07,2,14,7.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
4,5,2011,2011-10-09,5,5,21.359,JAX,,CIN,L 20-30,*,15,28,53.57,221,1,0,91.5,3,21,7.89,8.61,5,11,2.20,0,0,0,0,,0,0.0%,,0,0,2,0,0,0,-26,0,,,,,,,,Blaine Gabbert,GabbBl00
5,6,2011,2011-10-16,6,6,22.001,JAX,@,PIT,L 13-17,*,12,26,46.15,109,1,0,70.8,5,33,4.19,4.96,3,16,5.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
6,7,2011,2011-10-24,7,7,22.009,JAX,,BAL,W 12-7,*,9,20,45.00,93,0,0,59.0,4,20,4.65,4.65,5,-1,-0.20,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,-3,0,,,,,,,,Blaine Gabbert,GabbBl00
7,8,2011,2011-10-30,8,8,22.015,JAX,@,HOU,L 14-24,*,10,30,33.33,97,1,2,26.7,1,7,3.23,0.90,4,14,3.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
8,9,2011,2011-11-13,9,10,22.029,JAX,@,IND,W 17-3,*,14,21,66.67,118,1,1,77.1,2,8,5.62,4.43,6,8,1.33,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
9,10,2011,2011-11-20,10,11,22.036,JAX,@,CLE,L 10-14,*,22,41,53.66,210,0,0,68.1,1,15,5.12,5.12,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
10,11,2011,2011-11-27,11,12,22.043,JAX,,HOU,L 13-20,*,13,29,44.83,136,0,1,44.6,6,35,4.69,3.14,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
11,12,2011,2011-12-05,12,13,22.051,JAX,,SDG,L 14-38,*,19,33,57.58,195,2,1,82.3,2,18,5.91,5.76,6,19,3.17,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-2,0,,,,,,,,Blaine Gabbert,GabbBl00
12,13,2011,2011-12-11,13,14,22.057,JAX,,TAM,W 41-14,*,19,33,57.58,217,2,2,72.4,1,8,6.58,5.06,4,-3,-0.75,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,-2,0,,,,,,,,Blaine Gabbert,GabbBl00
13,14,2011,2011-12-15,14,15,22.061,JAX,@,ATL,L 14-41,*,12,22,54.55,141,1,1,70.5,5,50,6.41,5.27,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
14,15,2011,2011-12-24,15,16,22.070,JAX,@,TEN,L 17-23,*,21,42,50.00,198,0,1,53.5,1,11,4.71,3.64,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
15,16,2011,2012-01-01,16,17,22.078,JAX,,IND,W 19-13,*,11,19,57.89,92,1,0,88.0,3,21,4.84,5.89,3,-3,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Blaine Gabbert,GabbBl00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Blaine Gabbert,GabbBl00
17,17,2012,2012-09-09,1,1,22.330,JAX,@,MIN,L 23-26,*,23,39,58.97,260,2,0,96.1,2,18,6.67,7.69,5,6,1.20,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,79,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
18,18,2012,2012-09-16,2,2,22.337,JAX,,HOU,L 7-27,*,7,19,36.84,53,1,0,62.8,3,24,2.79,3.84,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,38,88%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
19,19,2012,2012-09-23,3,3,22.344,JAX,@,IND,W 22-17,*,10,21,47.62,155,1,0,88.4,1,7,7.38,8.33,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,60,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
20,20,2012,2012-09-30,4,4,22.351,JAX,,CIN,L 10-27,*,23,34,67.65,186,1,1,78.8,6,43,5.47,4.74,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
21,21,2012,2012-10-07,5,5,22.358,JAX,,CHI,L 3-41,*,17,33,51.52,142,0,2,37.7,3,13,4.30,1.58,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,58,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
22,22,2012,2012-10-21,6,7,23.006,JAX,@,OAK,L 23-26,*,8,12,66.67,110,1,0,123.6,0,0,9.17,10.83,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,27,42%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
23,23,2012,2012-10-28,7,8,23.013,JAX,@,GNB,L 15-24,*,27,49,55.10,303,1,0,80.6,2,24,6.18,6.59,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
24,24,2012,2012-11-04,8,9,23.020,JAX,,DET,L 14-31,*,27,38,71.05,220,2,2,81.0,1,5,5.79,4.47,3,4,1.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,,Blaine Gabbert,GabbBl00
