,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 42_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1987,1987-10-26,6,7,21.310,MIN,,DEN,W 34-27,,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,Rich Gannon,GannRi00
1,2,1987,1987-11-15,9,10,21.330,MIN,,TAM,W 23-17,,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,Rich Gannon,GannRi00
2,3,1987,1987-11-22,10,11,21.337,MIN,,ATL,W 24-13,,2,6,33.33,18,0,1,2.8,0,0,3.00,-4.50,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
3,4,1987,1987-12-20,14,15,22.000,MIN,@,DET,W 17-14,,0,0,,0,0,0,,0,,,,,,,,,,,,,,,,0,0,,,,,,,,Rich Gannon,GannRi00
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rich Gannon,GannRi00
5,5,1988,1988-10-02,5,5,22.287,MIN,@,MIA,L 7-24,,7,15,46.67,90,0,0,66.0,2,15,6.00,6.00,2,15,7.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
6,6,1988,1988-10-23,8,8,22.308,MIN,@,TAM,W 49-20,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
7,7,1988,1988-11-06,10,10,22.322,MIN,,DET,W 44-17,,0,0,,0,0,0,,1,7,,,1,15,15.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rich Gannon,GannRi00
9,8,1990,1990-09-16,2,2,24.270,MIN,,NOR,W 32-3,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
10,9,1990,1990-09-30,4,4,24.284,MIN,,TAM,L 20-23,*,19,36,52.78,253,2,2,70.7,2,9,7.03,5.64,9,65,7.22,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
11,10,1990,1990-10-07,5,5,24.291,MIN,,DET,L 27-34,*,23,35,65.71,227,2,1,91.0,5,28,6.49,6.34,4,34,8.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
12,11,1990,1990-10-15,6,6,24.299,MIN,@,PHI,L 24-32,*,18,35,51.43,270,2,2,72.3,5,31,7.71,6.29,5,18,3.60,0,,0,0,,0,,,,0,0,3,,0,1,0,0,,Rich Gannon,GannRi00
13,12,1990,1990-10-28,7,8,24.312,MIN,@,GNB,L 10-24,*,19,41,46.34,230,1,5,32.6,1,11,5.61,0.61,3,25,8.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
14,13,1990,1990-11-04,8,9,24.319,MIN,,DEN,W 27-22,*,6,13,46.15,161,1,1,85.7,7,50,12.38,10.46,2,0,0.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
15,14,1990,1990-11-11,9,10,24.326,MIN,@,DET,W 17-7,*,12,17,70.59,146,0,1,72.2,3,20,8.59,5.94,9,17,1.89,1,,0,0,,0,,,,1,6,3,,0,3,-1,0,,Rich Gannon,GannRi00
16,15,1990,1990-11-18,10,11,24.333,MIN,@,SEA,W 24-21,*,19,33,57.58,177,2,0,92.6,3,16,5.36,6.58,3,14,4.67,0,,0,0,,0,,,,0,0,1,,0,0,0,0,,Rich Gannon,GannRi00
17,16,1990,1990-11-25,11,12,24.340,MIN,,CHI,W 41-13,*,12,19,63.16,146,3,0,126.3,1,1,7.68,10.84,3,19,6.33,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
18,17,1990,1990-12-02,12,13,24.347,MIN,,GNB,W 23-7,*,11,21,52.38,150,1,0,91.4,1,1,7.14,8.10,6,14,2.33,0,,0,0,,0,,,,0,0,1,,0,1,0,0,,Rich Gannon,GannRi00
19,18,1990,1990-12-09,13,14,24.354,MIN,@,NYG,L 15-23,*,13,29,44.83,144,0,2,31.4,3,9,4.97,1.86,6,33,5.50,0,,0,0,,0,,,,0,0,2,,0,1,-2,0,,Rich Gannon,GannRi00
20,19,1990,1990-12-16,14,15,24.361,MIN,@,TAM,L 13-26,*,2,10,20.00,8,0,1,0.0,0,0,0.80,-3.70,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
21,20,1990,1990-12-22,15,16,25.002,MIN,,RAI,L 24-28,,12,21,57.14,186,2,0,118.4,1,1,8.86,10.76,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
22,21,1990,1990-12-30,16,17,25.010,MIN,,SFO,L 17-20,*,16,37,43.24,180,0,1,47.1,2,11,4.86,3.65,2,29,14.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
23,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rich Gannon,GannRi00
24,22,1991,1991-09-01,1,1,,MIN,@,CHI,L 6-10,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rich Gannon,GannRi00
25,23,1991,1991-09-08,2,2,25.262,MIN,@,ATL,W 20-19,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,,0,0,0,,,0,0,0,,Rich Gannon,GannRi00
26,24,1991,1991-09-15,3,3,25.269,MIN,,SFO,W 17-14,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,,0,0,0,,,0,0,0,,Rich Gannon,GannRi00
27,25,1991,1991-09-22,4,4,25.276,MIN,@,NOR,L 0-26,,1,3,33.33,-2,0,0,42.4,0,0,-0.67,-0.67,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
28,26,1991,1991-09-29,5,5,25.283,MIN,,DEN,L 6-13,,4,7,57.14,29,0,0,67.0,0,0,4.14,4.14,2,13,6.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
29,27,1991,1991-10-06,6,6,25.290,MIN,@,DET,L 20-24,*,10,23,43.48,105,1,0,71.8,0,0,4.57,5.43,0,0,,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
30,28,1991,1991-10-13,7,7,25.297,MIN,,PHO,W 34-7,*,23,31,74.19,254,2,0,119.6,0,0,8.19,9.48,5,34,6.80,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Rich Gannon,GannRi00
31,29,1991,1991-10-20,8,8,25.304,MIN,@,NWE,L 23-26,*,35,63,55.56,317,1,0,74.6,2,14,5.03,5.35,3,18,6.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
32,30,1991,1991-10-27,9,9,25.311,MIN,@,PHO,W 28-0,*,17,26,65.38,142,1,1,76.1,0,0,5.46,4.50,7,37,5.29,0,,1,0,0.00,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
33,31,1991,1991-11-03,10,10,25.318,MIN,,TAM,W 28-13,*,19,28,67.86,160,1,0,94.3,3,7,5.71,6.43,3,6,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
34,32,1991,1991-11-11,11,11,25.326,MIN,,CHI,L 17-34,*,19,30,63.33,181,1,1,77.2,2,13,6.03,5.20,5,32,6.40,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
35,33,1991,1991-11-17,12,12,25.332,MIN,@,GNB,W 35-21,*,19,30,63.33,215,3,0,118.1,1,3,7.17,9.17,5,12,2.40,1,,0,0,,0,,,,1,6,0,,0,0,0,0,,Rich Gannon,GannRi00
36,34,1991,1991-11-24,13,13,25.339,MIN,,DET,L 14-34,*,19,30,63.33,243,0,3,49.0,6,38,8.10,3.60,2,11,5.50,0,,0,0,,0,,,,0,0,2,,0,0,0,0,,Rich Gannon,GannRi00
37,35,1991,1991-12-08,14,15,25.353,MIN,@,TAM,W 26-24,*,12,24,50.00,145,1,0,82.8,2,5,6.04,6.88,7,60,8.57,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
38,36,1991,1991-12-15,15,16,25.360,MIN,,RAM,W 20-14,*,13,20,65.00,152,0,0,87.9,3,11,7.60,7.60,2,4,2.00,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
39,37,1991,1991-12-21,16,17,26.001,MIN,,GNB,L 7-27,*,20,39,51.28,225,1,1,66.7,0,0,5.77,5.13,2,9,4.50,0,,0,0,,0,,,,0,0,0,,0,0,0,0,,Rich Gannon,GannRi00
40,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rich Gannon,GannRi00
