,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1999,1999-09-12,1,1,29.200,SFO,@,JAX,L 3-41,,5,9,55.56,45,0,1,29.6,2,14,5.00,0.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
1,2,1999,1999-09-19,2,2,,SFO,,NOR,W 28-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jeff Garcia,GarcJe00
2,3,1999,1999-09-27,3,3,29.215,SFO,@,ARI,W 24-10,,5,6,83.33,30,0,0,87.5,0,0,5.00,5.00,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
3,4,1999,1999-10-03,4,4,29.221,SFO,,TEN,W 24-22,*,21,33,63.64,243,2,0,106.0,1,0,7.36,8.58,8,8,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
4,5,1999,1999-10-10,5,5,29.228,SFO,@,STL,L 20-42,*,22,36,61.11,233,0,3,45.3,0,0,6.47,2.72,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
5,6,1999,1999-10-17,6,6,29.235,SFO,,CAR,L 29-31,*,22,45,48.89,236,1,0,72.1,2,19,5.24,5.69,4,24,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
6,7,1999,1999-10-24,7,7,29.242,SFO,@,MIN,L 16-40,*,14,31,45.16,188,0,2,38.1,2,17,6.06,3.16,5,35,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Jeff Garcia,GarcJe00
7,8,1999,1999-11-07,8,9,29.256,SFO,,PIT,L 6-27,*,7,18,38.89,39,0,0,47.0,0,0,2.17,2.17,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
8,9,1999,1999-11-14,9,10,,SFO,@,NOR,L 6-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jeff Garcia,GarcJe00
9,10,1999,1999-11-21,10,11,29.270,SFO,,STL,L 7-23,,8,15,53.33,89,0,2,31.7,3,22,5.93,-0.07,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,3,1,0,1,-1,0,,Jeff Garcia,GarcJe00
10,11,1999,1999-11-29,11,12,,SFO,,GNB,L 3-20,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Jeff Garcia,GarcJe00
11,12,1999,1999-12-05,12,13,29.284,SFO,@,CIN,L 30-44,*,33,49,67.35,437,3,1,107.3,0,0,8.92,9.22,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
12,13,1999,1999-12-12,13,14,29.291,SFO,,ATL,W 26-7,*,16,24,66.67,160,0,0,85.4,2,16,6.67,6.67,3,18,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
13,14,1999,1999-12-18,14,15,29.297,SFO,@,CAR,L 24-41,*,29,46,63.04,303,2,1,87.5,2,6,6.59,6.48,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
14,15,1999,1999-12-26,15,16,29.305,SFO,,WAS,L 20-26,*,17,29,58.62,168,1,1,72.2,0,0,5.79,4.93,4,40,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
15,16,1999,2000-01-03,16,17,29.313,SFO,@,ATL,L 29-34,*,26,34,76.47,373,2,0,131.1,1,10,10.97,12.15,6,36,6.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,,,,1,1,0,0,0,0,,Jeff Garcia,GarcJe00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Garcia,GarcJe00
17,17,2000,2000-09-03,1,1,30.192,SFO,@,ATL,L 28-36,*,23,36,63.89,253,3,1,100.8,1,6,7.03,7.44,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
18,18,2000,2000-09-10,2,2,30.199,SFO,,CAR,L 22-38,*,12,20,60.00,181,0,1,69.0,0,0,9.05,6.80,3,14,4.67,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
19,19,2000,2000-09-17,3,3,30.206,SFO,@,STL,L 24-41,*,21,34,61.76,290,3,2,94.0,0,0,8.53,7.65,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
20,20,2000,2000-09-24,4,4,30.213,SFO,@,DAL,W 41-24,*,16,26,61.54,178,4,0,121.5,0,0,6.85,9.92,6,43,7.17,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
21,21,2000,2000-10-01,5,5,30.220,SFO,,ARI,W 27-20,*,22,33,66.67,220,1,0,95.5,1,5,6.67,7.27,6,36,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
22,22,2000,2000-10-08,6,6,30.227,SFO,,OAK,L 28-34,*,28,41,68.29,336,4,0,125.7,0,0,8.20,10.15,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
23,23,2000,2000-10-15,7,7,30.234,SFO,@,GNB,L 28-31,*,27,42,64.29,336,4,0,120.7,2,17,8.00,9.90,4,6,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,-3,0,,Jeff Garcia,GarcJe00
24,24,2000,2000-10-22,8,8,30.241,SFO,@,CAR,L 16-34,*,25,39,64.10,307,2,1,94.7,3,24,7.87,7.74,2,12,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
25,25,2000,2000-10-29,9,9,30.248,SFO,,STL,L 24-34,*,26,44,59.09,243,2,0,89.5,2,10,5.52,6.43,4,51,12.75,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,2,0,0,2,-3,0,,Jeff Garcia,GarcJe00
26,26,2000,2000-11-05,10,10,30.255,SFO,@,NOR,L 15-31,*,22,36,61.11,262,1,2,69.4,0,0,7.28,5.33,4,24,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
27,27,2000,2000-11-12,11,11,30.262,SFO,,KAN,W 21-7,*,20,25,80.00,244,0,0,107.3,1,4,9.76,9.76,8,37,4.63,2,0,0,0,,0,0.0%,,,2,12,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
28,28,2000,2000-11-19,12,12,30.269,SFO,,ATL,W 16-6,*,16,31,51.61,210,0,0,73.3,0,0,6.77,6.77,9,50,5.56,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
29,29,2000,2000-12-03,13,14,30.283,SFO,@,SDG,W 45-17,*,18,32,56.25,323,2,0,111.8,2,7,10.09,11.34,3,19,6.33,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
30,30,2000,2000-12-10,14,15,30.290,SFO,,NOR,L 27-31,*,25,38,65.79,305,2,2,86.0,2,17,8.03,6.71,5,42,8.40,2,0,0,0,,0,0.0%,,,2,12,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
31,31,2000,2000-12-17,15,16,30.297,SFO,,CHI,W 17-0,*,36,44,81.82,402,2,0,119.9,4,23,9.14,10.05,8,15,1.88,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,3,0,0,1,0,0,,Jeff Garcia,GarcJe00
32,32,2000,2000-12-23,16,17,30.303,SFO,@,DEN,L 9-38,*,18,40,45.00,188,1,1,57.1,6,42,4.70,4.08,2,15,7.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,1,0,0,0,0,,Jeff Garcia,GarcJe00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Garcia,GarcJe00
34,33,2001,2001-09-09,1,1,31.197,SFO,,ATL,W 16-13,*,26,40,65.00,335,1,1,89.1,2,11,8.38,7.75,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
35,34,2001,2001-09-23,2,2,31.211,SFO,,STL,L 26-30,*,19,34,55.88,121,1,1,61.0,1,5,3.56,2.82,7,45,6.43,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,0,,0,0,0,0,,Jeff Garcia,GarcJe00
36,35,2001,2001-10-01,3,3,31.219,SFO,@,NYJ,W 19-17,*,16,20,80.00,141,1,0,112.7,2,15,7.05,8.05,8,18,2.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,1,0,0,1,-6,0,,Jeff Garcia,GarcJe00
37,36,2001,2001-10-07,4,4,31.225,SFO,,CAR,W 24-14,*,17,31,54.84,212,2,1,84.3,1,9,6.84,6.68,3,20,6.67,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,0,,0,1,9,0,,Jeff Garcia,GarcJe00
38,37,2001,2001-10-14,5,5,31.232,SFO,@,ATL,W 37-31,*,27,41,65.85,332,3,0,115.1,1,2,8.10,9.56,14,70,5.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,,3,1,0,1,-4,0,,Jeff Garcia,GarcJe00
39,38,2001,2001-10-28,6,7,31.246,SFO,@,CHI,L 31-37,*,21,29,72.41,269,2,2,95.3,3,2,9.28,7.55,7,22,3.14,0,0,0,0,,0,0.0%,,,0,0,0.0,,,,,,1,0,0,0,0,0,,Jeff Garcia,GarcJe00
