,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1990,1990-09-09,1,1,22.275,IND,@,BUF,L 10-26,*,13,24,54.17,160,1,0,88.9,3,25,6.67,7.50,0,0,,0,0,0,1,,0,0,0,0,,Jeff George,GeorJe00
1,2,1990,1990-09-16,2,2,22.282,IND,,NWE,L 14-16,*,12,24,50.00,160,1,4,45.8,2,17,6.67,0.00,3,8,2.67,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
2,3,1990,1990-09-23,3,3,22.289,IND,@,HOU,L 10-24,*,5,14,35.71,42,0,1,14.6,2,18,3.00,-0.21,0,0,,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
3,4,1990,1990-10-28,7,8,22.324,IND,,MIA,L 7-27,,8,15,53.33,77,0,1,40.1,2,16,5.13,2.13,0,0,,0,0,0,1,,0,1,0,0,,Jeff George,GeorJe00
4,5,1990,1990-11-05,8,9,22.332,IND,,NYG,L 7-24,*,23,37,62.16,160,0,0,71.9,3,34,4.32,4.32,0,0,,0,0,0,1,,0,0,0,0,,Jeff George,GeorJe00
5,6,1990,1990-11-11,9,10,22.338,IND,@,NWE,W 13-10,*,6,24,25.00,106,1,0,59.4,1,5,4.42,5.25,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
6,7,1990,1990-11-18,10,11,22.345,IND,,NYJ,W 17-14,*,14,22,63.64,249,2,1,113.6,4,24,11.32,11.09,1,-1,-1.00,0,0,0,0,,0,1,0,0,,Jeff George,GeorJe00
7,8,1990,1990-11-25,11,12,22.352,IND,@,CIN,W 34-20,*,21,31,67.74,251,3,0,124.5,1,14,8.10,10.03,3,-6,-2.00,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
8,9,1990,1990-12-02,12,13,22.359,IND,@,PHO,L 17-20,*,13,28,46.43,168,2,1,74.7,4,26,6.00,5.82,0,0,,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
9,10,1990,1990-12-09,13,14,23.001,IND,,BUF,L 7-31,*,13,25,52.00,93,0,3,21.3,5,41,3.72,-1.68,2,2,1.00,1,1,6,0,,0,0,0,0,,Jeff George,GeorJe00
10,11,1990,1990-12-16,14,15,23.008,IND,@,NYJ,W 29-21,*,17,27,62.96,212,1,0,99.6,3,35,7.85,8.59,0,0,,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
11,12,1990,1990-12-22,15,16,23.014,IND,,WAS,W 35-28,*,18,33,54.55,252,3,0,109.7,4,36,7.64,9.45,0,0,,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
12,13,1990,1990-12-30,16,17,23.022,IND,@,MIA,L 17-23,*,18,30,60.00,222,2,2,77.4,3,29,7.40,5.73,1,0,0.00,0,0,0,1,,0,0,0,0,,Jeff George,GeorJe00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jeff George,GeorJe00
14,14,1991,1991-09-01,1,1,23.267,IND,,NWE,L 7-16,*,27,42,64.29,301,1,2,73.6,4,30,7.17,5.50,2,2,1.00,0,0,0,1,,0,0,0,0,,Jeff George,GeorJe00
15,15,1991,1991-09-08,2,2,23.274,IND,@,MIA,L 6-17,*,17,31,54.84,98,0,0,61.0,2,17,3.16,3.16,1,5,5.00,0,0,0,0,,0,0,0,0,,Jeff George,GeorJe00
16,16,1991,1991-09-15,3,3,23.281,IND,@,RAI,L 0-16,*,21,32,65.63,220,0,0,85.4,3,27,6.88,6.88,2,-4,-2.00,0,0,0,1,,0,0,0,0,,Jeff George,GeorJe00
