,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1946,1946-11-17,11,11,24.346,CLE,,CHR,W 51-14,,7,16,43.75,131,4,0,112.2,,,8.19,13.19,0,0,,0,0,0,Otto Graham,GrahOt00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
2,2,1947,1947-11-23,12,12,25.352,CLE,@,NYY,T 28-28,,15,28,53.57,325,2,3,79.3,,,11.61,8.21,0,0,,0,0,0,Otto Graham,GrahOt00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
4,3,1948,1948-10-24,8,8,26.323,CLE,,NYY,W 35-7,,21,30,70.00,310,4,2,115.3,,,10.33,10.00,0,0,,0,0,0,Otto Graham,GrahOt00
5,4,1948,1948-11-28,13,13,26.358,CLE,@,SFO,W 31-28,,11,23,47.83,234,4,1,105.8,,,10.17,11.70,0,0,,0,0,0,Otto Graham,GrahOt00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
7,5,1949,1949-09-05,1,1,27.273,CLE,@,BUF,T 28-28,,27,40,67.50,330,4,1,115.6,,,8.25,9.13,0,0,,0,0,0,Otto Graham,GrahOt00
8,6,1949,1949-10-14,7,7,27.312,CLE,@,LAD,W 61-14,,15,24,62.50,362,6,0,145.8,,,15.08,20.08,0,0,,0,0,0,Otto Graham,GrahOt00
9,7,1949,1949-11-20,11,11,27.349,CLE,@,NYY,W 31-0,,19,34,55.88,382,1,1,93.0,,,11.24,10.50,0,0,,0,0,0,Otto Graham,GrahOt00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
11,8,1950,1950-09-16,1,1,28.284,CLE,@,PHI,W 35-10,*,21,38,55.26,346,3,2,90.5,,39,9.11,8.32,3,3,1.00,1,1,6,Otto Graham,GrahOt00
12,9,1950,1950-09-24,2,2,28.292,CLE,@,BCL,W 31-0,*,11,23,47.83,177,1,4,48.9,,33,7.70,0.74,2,8,4.00,0,0,0,Otto Graham,GrahOt00
13,10,1950,1950-10-01,3,3,28.299,CLE,,NYG,L 0-6,*,12,30,40.00,127,0,3,13.5,,12,4.23,-0.27,4,26,6.50,0,0,0,Otto Graham,GrahOt00
14,11,1950,1950-10-07,4,4,28.305,CLE,@,PIT,W 30-17,*,10,17,58.82,75,0,0,69.5,,30,4.41,4.41,4,5,1.25,2,2,12,Otto Graham,GrahOt00
15,12,1950,1950-10-15,5,5,28.313,CLE,,CRD,W 34-24,*,22,35,62.86,369,2,3,81.7,,20,10.54,7.83,7,24,3.43,1,1,6,Otto Graham,GrahOt00
16,13,1950,1950-10-22,6,6,28.320,CLE,@,NYG,L 13-17,*,10,18,55.56,118,0,3,36.1,,71,6.56,-0.94,10,14,1.40,1,1,6,Otto Graham,GrahOt00
17,14,1950,1950-10-29,7,7,28.327,CLE,,PIT,W 45-7,*,5,9,55.56,157,2,0,140.0,,24,17.44,21.89,3,5,1.67,1,1,6,Otto Graham,GrahOt00
18,15,1950,1950-11-05,8,8,28.334,CLE,@,CRD,W 10-7,*,10,21,47.62,114,0,2,24.8,,18,5.43,1.14,4,32,8.00,0,0,0,Otto Graham,GrahOt00
19,16,1950,1950-11-12,9,9,28.341,CLE,,SFO,W 34-14,*,7,17,41.18,74,1,0,74.1,,24,4.35,5.53,5,16,3.20,0,0,0,Otto Graham,GrahOt00
20,17,1950,1950-11-19,10,10,28.348,CLE,,WAS,W 20-14,*,6,13,46.15,65,1,2,47.4,,10,5.00,-0.38,6,9,1.50,0,0,0,Otto Graham,GrahOt00
21,18,1950,1950-12-03,11,12,28.362,CLE,,PHI,W 13-7,*,,,,,,,,,,,,5,-5,-1.00,0,0,0,Otto Graham,GrahOt00
22,19,1950,1950-12-10,12,13,29.004,CLE,@,WAS,W 45-21,*,23,32,71.88,321,4,1,130.3,,10,10.03,11.13,2,8,4.00,0,0,0,Otto Graham,GrahOt00
23,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
24,20,1951,1951-09-30,1,1,29.298,CLE,@,SFO,L 10-24,*,18,30,60.00,222,1,2,66.3,,50,7.40,5.07,5,13,2.60,0,0,0,Otto Graham,GrahOt00
25,21,1951,1951-10-07,2,2,29.305,CLE,@,RAM,W 38-23,*,10,19,52.63,219,1,2,71.9,,62,11.53,7.84,3,2,0.67,0,0,0,Otto Graham,GrahOt00
26,22,1951,1951-10-14,3,3,29.312,CLE,,WAS,W 45-0,*,8,15,53.33,135,0,0,84.0,,,9.00,9.00,2,-1,-0.50,1,1,6,Otto Graham,GrahOt00
27,23,1951,1951-10-21,4,4,29.319,CLE,,PIT,W 17-0,*,9,15,60.00,67,0,1,42.9,,21,4.47,1.47,4,-17,-4.25,0,0,0,Otto Graham,GrahOt00
28,24,1951,1951-10-28,5,5,29.326,CLE,,NYG,W 14-13,*,16,24,66.67,216,2,3,83.3,,32,9.00,5.04,8,26,3.25,0,0,0,Otto Graham,GrahOt00
29,25,1951,1951-11-04,6,6,29.333,CLE,@,CRD,W 34-17,*,15,21,71.43,210,1,0,119.1,,16,10.00,10.95,4,11,2.75,2,2,12,Otto Graham,GrahOt00
30,26,1951,1951-11-11,7,7,29.340,CLE,,PHI,W 20-17,*,14,30,46.67,192,2,1,76.0,,8,6.40,6.23,3,-9,-3.00,0,0,0,Otto Graham,GrahOt00
31,27,1951,1951-11-18,8,8,29.347,CLE,@,NYG,W 10-0,*,8,18,44.44,162,1,3,55.6,,35,9.00,2.61,2,-1,-0.50,0,0,0,Otto Graham,GrahOt00
32,28,1951,1951-11-25,9,9,29.354,CLE,,CHI,W 42-21,*,12,19,63.16,277,2,1,120.0,,52,14.58,14.32,3,4,1.33,0,0,0,Otto Graham,GrahOt00
33,29,1951,1951-12-02,10,10,29.361,CLE,,CRD,W 49-28,*,14,29,48.28,217,4,3,73.5,,26,7.48,5.59,,,,,1,6,Otto Graham,GrahOt00
34,30,1951,1951-12-09,11,11,30.003,CLE,@,PIT,W 28-0,*,12,18,66.67,128,1,0,105.8,,37,7.11,8.22,,,,,0,0,Otto Graham,GrahOt00
35,31,1951,1951-12-16,12,12,30.010,CLE,@,PHI,W 24-9,*,11,27,40.74,160,2,0,85.4,,32,5.93,7.41,1,1,1.00,0,0,0,Otto Graham,GrahOt00
36,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
37,32,1952,1952-09-28,1,1,30.297,CLE,,RAM,W 37-7,*,10,16,62.50,138,2,1,103.6,,10,8.63,8.31,4,10,2.50,0,0,0,Otto Graham,GrahOt00
38,33,1952,1952-10-04,2,2,30.303,CLE,@,PIT,W 21-20,*,21,49,42.86,401,3,4,58.3,,,8.18,5.73,3,2,0.67,0,0,0,Otto Graham,GrahOt00
39,34,1952,1952-10-12,3,3,30.311,CLE,,NYG,L 9-17,*,14,34,41.18,236,0,1,53.1,,46,6.94,5.62,1,5,5.00,0,0,0,Otto Graham,GrahOt00
40,35,1952,1952-10-19,4,4,30.318,CLE,@,PHI,W 49-7,*,18,30,60.00,290,4,2,104.2,,19,9.67,9.33,2,-2,-1.00,0,0,0,Otto Graham,GrahOt00
41,36,1952,1952-10-26,5,5,30.325,CLE,,WAS,W 19-15,*,11,29,37.93,190,0,1,46.6,,38,6.55,5.00,3,-1,-0.33,1,1,6,Otto Graham,GrahOt00
42,37,1952,1952-11-02,6,6,30.332,CLE,@,DET,L 6-17,*,13,32,40.63,165,0,3,18.4,,45,5.16,0.94,3,7,2.33,0,0,0,Otto Graham,GrahOt00
43,38,1952,1952-11-09,7,7,30.339,CLE,,CRD,W 28-13,*,18,24,75.00,249,2,0,135.6,,10,10.38,12.04,3,-5,-1.67,0,0,0,Otto Graham,GrahOt00
44,39,1952,1952-11-16,8,8,30.346,CLE,,PIT,W 29-28,*,21,40,52.50,239,2,2,66.6,,30,5.98,4.73,3,31,10.33,1,1,6,Otto Graham,GrahOt00
45,40,1952,1952-11-23,9,9,30.353,CLE,,PHI,L 20-28,*,14,36,38.89,227,2,2,56.1,,,6.31,4.92,1,-3,-3.00,0,0,0,Otto Graham,GrahOt00
46,41,1952,1952-11-30,10,10,30.360,CLE,@,WAS,W 48-24,*,9,20,45.00,195,2,3,74.0,,5,9.75,5.00,9,61,6.78,2,2,12,Otto Graham,GrahOt00
47,42,1952,1952-12-07,11,11,31.001,CLE,@,CRD,W 10-0,*,14,22,63.64,207,1,2,71.6,,32,9.41,6.23,3,26,8.67,0,0,0,Otto Graham,GrahOt00
48,43,1952,1952-12-14,12,12,31.008,CLE,@,NYG,L 34-37,*,18,32,56.25,279,2,3,67.1,1,7,8.72,5.75,7,-1,-0.14,0,0,0,Otto Graham,GrahOt00
49,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
50,44,1953,1953-09-27,1,1,31.295,CLE,@,GNB,W 27-0,*,18,24,75.00,292,0,1,97.9,,10,12.17,10.29,3,4,1.33,2,2,12,Otto Graham,GrahOt00
51,45,1953,1953-10-04,2,2,31.302,CLE,@,CRD,W 27-7,*,15,22,68.18,310,3,0,150.6,,44,14.09,16.82,1,3,3.00,0,0,0,Otto Graham,GrahOt00
52,46,1953,1953-10-10,3,3,31.308,CLE,,PHI,W 37-13,*,20,30,66.67,328,1,0,114.3,,46,10.93,11.60,2,8,4.00,0,0,0,Otto Graham,GrahOt00
53,47,1953,1953-10-18,4,4,31.316,CLE,@,WAS,W 30-14,*,16,32,50.00,235,1,1,71.7,,29,7.34,6.56,5,34,6.80,1,1,6,Otto Graham,GrahOt00
54,48,1953,1953-10-25,5,5,31.323,CLE,@,NYG,W 7-0,*,2,5,40.00,26,0,1,17.5,,17,5.20,-3.80,10,41,4.10,1,1,6,Otto Graham,GrahOt00
55,49,1953,1953-11-01,6,6,31.330,CLE,,WAS,W 27-3,*,13,19,68.42,194,0,1,79.7,,5,10.21,7.84,3,6,2.00,2,2,12,Otto Graham,GrahOt00
56,50,1953,1953-11-08,7,7,31.337,CLE,,PIT,W 34-16,*,12,18,66.67,218,1,2,87.0,,,12.11,8.22,3,4,1.33,0,0,0,Otto Graham,GrahOt00
57,51,1953,1953-11-15,8,8,31.344,CLE,,SFO,W 23-21,*,17,24,70.83,286,1,0,124.7,,6,11.92,12.75,3,30,10.00,0,0,0,Otto Graham,GrahOt00
58,52,1953,1953-11-22,9,9,31.351,CLE,@,PIT,W 20-16,*,16,28,57.14,200,2,1,88.4,,25,7.14,6.96,4,6,1.50,0,0,0,Otto Graham,GrahOt00
59,53,1953,1953-11-29,10,10,31.358,CLE,,CRD,W 27-16,*,19,28,67.86,276,0,0,99.7,,33,9.86,9.86,6,7,1.17,0,0,0,Otto Graham,GrahOt00
60,54,1953,1953-12-06,11,11,32.000,CLE,,NYG,W 62-14,,4,4,100.00,116,1,0,158.3,,,29.00,34.00,1,2,2.00,0,0,0,Otto Graham,GrahOt00
61,55,1953,1953-12-13,12,12,32.007,CLE,@,PHI,L 27-42,*,15,24,62.50,241,1,2,75.2,,30,10.04,7.13,2,-2,-1.00,0,0,0,Otto Graham,GrahOt00
62,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Otto Graham,GrahOt00
63,56,1954,1954-09-26,1,1,32.294,CLE,@,PHI,L 10-28,*,9,23,39.13,130,1,1,54.6,,35,5.65,4.57,3,9,3.00,0,0,0,Otto Graham,GrahOt00
64,57,1954,1954-10-10,2,3,32.308,CLE,,CRD,W 31-7,*,14,18,77.78,266,3,0,158.3,,13,14.78,18.11,1,-6,-6.00,0,0,0,Otto Graham,GrahOt00
