,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1967,1967-09-17,1,3,22.226,MIA,,DEN,W 35-21,,12,19,63.16,193,2,2,92.5,0,0,10.16,7.53,3,0,0.00,0,0,0,Bob Griese,GrieBo00
1,2,1967,1967-09-24,2,4,22.233,MIA,,KAN,L 0-24,*,11,22,50.00,101,0,2,25.0,0,0,4.59,0.50,4,13,3.25,0,0,0,Bob Griese,GrieBo00
2,3,1967,1967-10-01,3,5,22.240,MIA,@,NYJ,L 7-29,*,1,3,33.33,4,0,1,2.8,0,0,1.33,-13.67,2,10,5.00,0,0,0,Bob Griese,GrieBo00
3,4,1967,1967-10-22,6,8,22.261,MIA,,NYJ,L 14-33,,17,21,80.95,160,2,2,90.6,0,0,7.62,5.24,2,9,4.50,0,0,0,Bob Griese,GrieBo00
4,5,1967,1967-11-05,7,10,22.275,MIA,@,BUF,L 13-35,*,16,37,43.24,107,1,1,48.4,0,0,2.89,2.22,3,17,5.67,0,0,0,Bob Griese,GrieBo00
5,6,1967,1967-11-12,8,11,22.282,MIA,@,SDG,L 0-24,*,13,39,33.33,186,0,0,49.7,0,0,4.77,4.77,6,36,6.00,0,0,0,Bob Griese,GrieBo00
6,7,1967,1967-11-19,9,12,22.289,MIA,@,OAK,L 17-31,*,17,29,58.62,231,1,2,66.9,0,0,7.97,5.55,3,-5,-1.67,0,0,0,Bob Griese,GrieBo00
7,8,1967,1967-11-26,10,13,22.296,MIA,,BUF,W 17-14,*,17,33,51.52,222,1,3,45.3,0,0,6.73,3.24,1,0,0.00,0,0,0,Bob Griese,GrieBo00
8,9,1967,1967-12-03,11,14,22.303,MIA,@,HOU,L 14-17,*,14,29,48.28,178,2,0,90.9,0,0,6.14,7.52,1,0,0.00,0,0,0,Bob Griese,GrieBo00
9,10,1967,1967-12-10,12,15,22.310,MIA,,SDG,W 41-24,*,15,28,53.57,145,2,0,92.1,0,0,5.18,6.61,6,34,5.67,1,1,6,Bob Griese,GrieBo00
10,11,1967,1967-12-17,13,16,22.317,MIA,,BOS,W 41-32,*,17,30,56.67,270,3,0,120.1,0,0,9.00,11.00,3,26,8.67,0,0,0,Bob Griese,GrieBo00
11,12,1967,1967-12-23,14,17,22.323,MIA,,HOU,L 10-41,*,16,41,39.02,208,1,5,24.3,0,0,5.07,0.07,3,17,5.67,0,0,0,Bob Griese,GrieBo00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Bob Griese,GrieBo00
13,13,1968,1968-09-14,1,2,23.224,MIA,,HOU,L 10-24,*,13,28,46.43,165,1,3,37.6,0,0,5.89,1.79,3,-4,-1.33,0,0,0,Bob Griese,GrieBo00
