,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1976,1976-09-12,1,1,23.233,RAM,@,ATL,W 30-14,,1,1,100.00,47,1,0,158.3,,,47.00,67.00,1,0,0.00,0,0,0,Pat Haden,HadePa00
1,2,1976,1976-09-19,2,2,23.240,RAM,@,MIN,T 10-10,*,11,22,50.00,136,0,2,31.6,1,3,6.18,2.09,6,15,2.50,0,0,0,Pat Haden,HadePa00
2,3,1976,1976-10-17,6,6,23.268,RAM,,CHI,W 20-12,*,2,3,66.67,18,1,0,122.2,1,11,6.00,12.67,1,1,1.00,0,0,0,Pat Haden,HadePa00
3,4,1976,1976-10-24,7,7,23.275,RAM,@,NOR,W 16-10,,2,4,50.00,77,1,0,135.4,2,6,19.25,24.25,1,-3,-3.00,0,0,0,Pat Haden,HadePa00
4,5,1976,1976-10-31,8,8,23.282,RAM,,SEA,W 45-6,,2,3,66.67,26,1,0,133.3,,,8.67,15.33,1,12,12.00,0,0,0,Pat Haden,HadePa00
5,6,1976,1976-11-14,10,10,23.296,RAM,,STL,L 28-30,*,10,17,58.82,172,1,1,88.4,1,11,10.12,8.65,6,29,4.83,1,1,6,Pat Haden,HadePa00
6,7,1976,1976-11-21,11,11,23.303,RAM,@,SFO,W 23-3,*,3,8,37.50,61,1,0,104.7,5,35,7.63,10.13,4,-1,-0.25,1,1,6,Pat Haden,HadePa00
7,8,1976,1976-11-28,12,12,23.310,RAM,,NOR,W 33-14,*,14,21,66.67,126,2,1,94.5,2,10,6.00,5.76,3,26,8.67,1,1,6,Pat Haden,HadePa00
8,9,1976,1976-12-04,13,13,23.316,RAM,,ATL,W 59-0,*,13,21,61.90,214,0,0,96.1,1,10,10.19,10.19,2,5,2.50,1,1,6,Pat Haden,HadePa00
9,10,1976,1976-12-11,14,14,23.323,RAM,@,DET,W 20-17,*,2,5,40.00,19,0,0,51.2,,,3.80,3.80,,,,,0,0,Pat Haden,HadePa00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pat Haden,HadePa00
11,11,1977,1977-10-02,3,3,24.252,RAM,,SFO,W 34-14,,0,0,,0,0,,,1,7,,,0,0,,0,0,0,Pat Haden,HadePa00
12,12,1977,1977-10-10,4,4,24.260,RAM,@,CHI,L 23-24,,3,6,50.00,55,1,0,121.5,,,9.17,12.50,1,8,8.00,0,0,0,Pat Haden,HadePa00
13,13,1977,1977-10-16,5,5,24.266,RAM,,NOR,W 14-7,*,9,16,56.25,180,0,1,69.8,3,15,11.25,8.44,2,-4,-2.00,0,0,0,Pat Haden,HadePa00
14,14,1977,1977-10-24,6,6,24.274,RAM,,MIN,W 35-3,*,12,21,57.14,116,2,0,104.5,1,2,5.52,7.43,3,13,4.33,1,1,6,Pat Haden,HadePa00
15,15,1977,1977-10-30,7,7,24.280,RAM,@,NOR,L 26-27,*,17,26,65.38,261,2,0,124.0,3,19,10.04,11.58,1,5,5.00,0,0,0,Pat Haden,HadePa00
16,16,1977,1977-11-06,8,8,24.287,RAM,,TAM,W 31-0,*,10,21,47.62,123,2,0,97.9,,,5.86,7.76,,,,,0,0,Pat Haden,HadePa00
17,17,1977,1977-11-13,9,9,24.294,RAM,@,GNB,W 24-6,*,10,17,58.82,146,1,0,106.5,,,8.59,9.76,6,15,2.50,0,0,0,Pat Haden,HadePa00
18,18,1977,1977-11-20,10,10,24.301,RAM,@,SFO,W 23-10,*,5,13,38.46,92,1,0,89.3,1,6,7.08,8.62,8,21,2.63,0,0,0,Pat Haden,HadePa00
19,19,1977,1977-11-27,11,11,24.308,RAM,@,CLE,W 9-0,*,21,29,72.41,172,0,3,47.6,2,25,5.93,1.28,3,39,13.00,0,0,0,Pat Haden,HadePa00
20,20,1977,1977-12-04,12,12,24.315,RAM,,OAK,W 20-14,*,13,22,59.09,186,1,0,101.7,2,21,8.45,9.36,1,2,2.00,0,0,0,Pat Haden,HadePa00
21,21,1977,1977-12-11,13,13,24.322,RAM,,ATL,W 23-7,*,15,25,60.00,152,1,1,74.1,2,31,6.08,5.08,4,7,1.75,1,1,6,Pat Haden,HadePa00
22,22,1977,1977-12-17,14,14,24.328,RAM,@,WAS,L 14-17,*,7,20,35.00,68,0,1,24.6,2,25,3.40,1.15,,,,,0,0,Pat Haden,HadePa00
23,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pat Haden,HadePa00
24,23,1978,1978-09-03,1,1,25.223,RAM,@,PHI,W 16-14,*,14,33,42.42,154,0,0,56.9,5,37,4.67,4.67,2,3,1.50,0,0,0,Pat Haden,HadePa00
25,24,1978,1978-09-10,2,2,25.230,RAM,,ATL,W 10-0,*,19,36,52.78,237,0,2,50.3,2,21,6.58,4.08,1,7,7.00,0,0,0,Pat Haden,HadePa00
26,25,1978,1978-09-17,3,3,25.237,RAM,,DAL,W 27-14,*,14,25,56.00,227,2,2,79.9,1,8,9.08,7.08,,,,,0,0,Pat Haden,HadePa00
27,26,1978,1978-09-24,4,4,25.244,RAM,@,HOU,W 10-6,*,17,26,65.38,220,0,0,91.8,1,7,8.46,8.46,1,-2,-2.00,0,0,0,Pat Haden,HadePa00
