,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 39_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,2002,2002-09-08,1,1,23.322,DET,@,MIA,L 21-49,,4,11,36.36,41,0,0,47.9,0,0,3.73,3.73,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
1,2,2002,2002-09-15,2,2,23.329,DET,@,CAR,L 7-31,,3,7,42.86,11,0,1,10.7,0,0,1.57,-4.86,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
2,3,2002,2002-09-22,3,3,23.336,DET,,GNB,L 31-37,*,15,35,42.86,182,2,4,38.9,1,6,5.20,1.20,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
3,4,2002,2002-09-29,4,4,23.343,DET,,NOR,W 26-21,*,20,35,57.14,267,1,0,91.0,0,0,7.63,8.20,2,-3,-1.50,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
4,5,2002,2002-10-13,5,6,23.357,DET,@,MIN,L 24-31,*,25,41,60.98,309,2,1,90.4,1,8,7.54,7.41,1,0,0.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
5,6,2002,2002-10-20,6,7,23.364,DET,,CHI,W 23-20,*,16,29,55.17,199,0,0,76.7,2,29,6.86,6.86,2,7,3.50,0,0,0,0,,0,0.0%,,1,1,0,0,0,0,,Joey Harrington,HarrJo00
6,7,2002,2002-10-27,7,8,24.006,DET,@,BUF,L 17-24,*,20,42,47.62,199,1,1,59.5,0,0,4.74,4.14,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
7,8,2002,2002-11-03,8,9,24.013,DET,,DAL,W 9-7,*,14,33,42.42,104,0,2,25.3,1,8,3.15,0.42,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
8,9,2002,2002-11-10,9,10,24.020,DET,@,GNB,L 14-40,*,20,44,45.45,236,2,2,58.5,0,0,5.36,4.23,1,0,0.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
9,10,2002,2002-11-17,10,11,24.027,DET,,NYJ,L 14-31,*,15,30,50.00,171,2,1,75.8,0,0,5.70,5.53,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
10,11,2002,2002-11-24,11,12,24.034,DET,@,CHI,L 17-20,*,21,40,52.50,213,1,1,65.9,2,14,5.33,4.70,1,0,0.00,0,0,0,0,,0,0.0%,,1,0,0,0,0,0,,Joey Harrington,HarrJo00
11,12,2002,2002-11-28,12,13,24.038,DET,,NWE,L 12-20,*,22,44,50.00,210,0,3,35.2,0,0,4.77,1.70,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
12,13,2002,2002-12-08,13,14,24.048,DET,@,ARI,L 20-23,*,20,37,54.05,152,1,0,73.3,0,0,4.11,4.65,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
13,14,2002,2002-12-15,14,15,24.055,DET,,TAM,L 20-23,*,0,1,0.00,0,0,0,39.6,1,10,0.00,0.00,0,0,,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
14,15,2002,2002-12-22,15,16,,DET,@,ATL,L 15-36,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Joey Harrington,HarrJo00
15,16,2002,2002-12-29,16,17,,DET,,MIN,L 36-38,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Joey Harrington,HarrJo00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds,TD,Status,Joey Harrington,HarrJo00
17,17,2003,2003-09-07,1,1,24.321,DET,,ARI,W 42-24,*,17,30,56.67,195,4,0,116.0,,,6.50,9.17,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,,0,0,0,0,,Joey Harrington,HarrJo00
