,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1980,1980-09-07,1,1,22.357,DET,@,RAM,W 41-20,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
1,2,1980,1980-09-14,2,2,22.364,DET,@,GNB,W 29-7,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
2,3,1980,1980-09-21,3,3,23.005,DET,,STL,W 20-7,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
3,4,1980,1980-09-28,4,4,23.012,DET,,MIN,W 27-7,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
4,5,1980,1980-10-05,5,5,23.019,DET,@,ATL,L 28-43,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
5,6,1980,1980-10-12,6,6,23.026,DET,,NOR,W 24-13,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
6,7,1980,1980-10-19,7,7,23.033,DET,@,CHI,L 7-24,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
7,8,1980,1980-10-26,8,8,23.040,DET,@,KAN,L 17-20,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
8,9,1980,1980-11-02,9,9,23.047,DET,,SFO,W 17-13,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
9,10,1980,1980-11-16,11,11,23.061,DET,,BAL,L 9-10,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
10,11,1980,1980-11-23,12,12,23.068,DET,@,TAM,W 24-10,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
11,12,1980,1980-11-27,13,13,23.072,DET,,CHI,L 17-23,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
12,13,1980,1980-12-07,14,14,23.082,DET,@,STL,L 23-24,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
13,14,1980,1980-12-14,15,15,23.089,DET,,TAM,W 27-14,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
14,15,1980,1980-12-21,16,16,23.096,DET,,GNB,W 24-3,,,,,,,,,,,,,,,,,0,0,Eric Hipple,HippEr00
15,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Eric Hipple,HippEr00
16,16,1981,1981-09-06,1,1,23.355,DET,,SFO,W 24-17,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Eric Hipple,HippEr00
17,17,1981,1981-09-13,2,2,23.362,DET,@,SDG,L 23-28,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Eric Hipple,HippEr00
18,18,1981,1981-09-20,3,3,24.004,DET,@,MIN,L 24-26,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Eric Hipple,HippEr00
19,19,1981,1981-09-27,4,4,24.011,DET,,OAK,W 16-0,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Eric Hipple,HippEr00
20,20,1981,1981-10-04,5,5,24.018,DET,@,TAM,L 10-28,,4,15,26.67,102,0,2,15.8,0,0,6.80,0.80,2,4,2.00,0,0,0,Eric Hipple,HippEr00
21,21,1981,1981-10-11,6,6,24.025,DET,@,DEN,L 21-27,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Eric Hipple,HippEr00
22,22,1981,1981-10-19,7,7,24.033,DET,,CHI,W 48-17,*,14,25,56.00,336,4,0,140.4,1,10,13.44,16.64,4,13,3.25,2,2,12,Eric Hipple,HippEr00
23,23,1981,1981-10-25,8,8,24.039,DET,,GNB,W 31-27,*,20,36,55.56,271,1,1,77.4,4,33,7.53,6.83,5,20,4.00,2,2,12,Eric Hipple,HippEr00
24,24,1981,1981-11-01,9,9,24.046,DET,@,RAM,L 13-20,*,7,25,28.00,193,1,2,39.2,3,25,7.72,4.92,2,-7,-3.50,0,0,0,Eric Hipple,HippEr00
