,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1980,1980-09-28,4,4,22.038,DAL,@,GNB,W 28-7,,,,,,,,,,,,,,,,,0,0,Gary Hogeboom,HogeGa00
1,2,1980,1980-11-27,13,13,22.098,DAL,,SEA,W 51-7,,,,,,,,,,,,,,,,,0,0,Gary Hogeboom,HogeGa00
2,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Gary Hogeboom,HogeGa00
3,3,1981,1981-12-06,14,14,23.107,DAL,@,BAL,W 37-13,,,,,,,,,,,,,,,,,0,0,Gary Hogeboom,HogeGa00
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Gary Hogeboom,HogeGa00
5,4,1982,1982-09-13,1,1,24.023,DAL,,PIT,L 28-36,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Gary Hogeboom,HogeGa00
6,5,1982,1982-09-19,2,2,24.029,DAL,@,STL,W 24-7,,0,0,,0,0,0,,0,,,,0,0,,0,0,0,Gary Hogeboom,HogeGa00
7,6,1982,1982-11-25,4,12,24.096,DAL,,CLE,W 31-14,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,2,0,0.00,0,0,0,Gary Hogeboom,HogeGa00
8,7,1982,1982-12-13,6,14,24.114,DAL,@,HOU,W 37-7,,3,6,50.00,45,0,0,75.0,0,0,7.50,7.50,1,0,0.00,0,0,0,Gary Hogeboom,HogeGa00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Gary Hogeboom,HogeGa00
10,8,1983,1983-09-11,2,2,25.021,DAL,@,STL,W 34-17,,0,0,,0,0,0,,0,,,,1,-4,-4.00,0,0,0,Gary Hogeboom,HogeGa00
