,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1986,1986-09-08,1,1,25.139,NYG,@,DAL,L 28-31,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
1,2,1986,1986-09-14,2,2,25.145,NYG,,SDG,W 20-7,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
2,3,1986,1986-09-21,3,3,25.152,NYG,@,RAI,W 14-9,,0,0,,0,0,0,,,,,,1,1,1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Jeff Hostetler,HostJe00
3,4,1986,1986-09-28,4,4,25.159,NYG,,NOR,W 20-17,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
4,5,1986,1986-10-05,5,5,25.166,NYG,@,STL,W 13-6,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
5,6,1986,1986-10-12,6,6,25.173,NYG,,PHI,W 35-3,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
6,7,1986,1986-10-19,7,7,25.180,NYG,@,SEA,L 12-17,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
7,8,1986,1986-10-27,8,8,25.188,NYG,,WAS,W 27-20,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
8,9,1986,1986-11-02,9,9,25.194,NYG,,DAL,W 17-14,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
9,10,1986,1986-11-09,10,10,25.201,NYG,@,PHI,W 17-14,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
10,11,1986,1986-11-16,11,11,25.208,NYG,@,MIN,W 22-20,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
11,12,1986,1986-11-23,12,12,25.215,NYG,,DEN,W 19-16,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
12,13,1986,1986-12-01,13,13,25.223,NYG,@,SFO,W 21-17,,,,,,,,,,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Jeff Hostetler,HostJe00
14,14,1988,1988-09-05,1,1,27.136,NYG,,WAS,W 27-20,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
15,15,1988,1988-09-11,2,2,27.142,NYG,,SFO,L 17-20,,0,0,,0,0,0,,0,,,,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Jeff Hostetler,HostJe00
16,16,1988,1988-09-18,3,3,27.149,NYG,@,DAL,W 12-10,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
17,17,1988,1988-09-25,4,4,27.156,NYG,,RAM,L 31-45,,0,0,,0,0,0,,0,,,,0,0,,0,,1,10,10.00,0,,,0,0,0,,0,0,0,0,,Jeff Hostetler,HostJe00
18,18,1988,1988-10-02,5,5,27.163,NYG,@,WAS,W 24-23,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,,,0,0,,,,,,,,Jeff Hostetler,HostJe00
19,19,1988,1988-10-10,6,6,27.171,NYG,@,PHI,L 13-24,,4,6,66.67,33,0,0,80.6,0,0,5.50,5.50,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Jeff Hostetler,HostJe00
