,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1989,1989-10-29,8,8,24.198,WAS,@,RAI,L 24-37,,5,10,50.00,91,1,1,75.4,2,6,9.10,6.60,1,9,9.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
1,2,1989,1989-12-23,16,16,24.253,WAS,@,SEA,W 29-0,,0,0,,0,0,0,,1,3,,,4,1,0.25,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
2,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
3,3,1990,1990-09-23,3,3,25.162,WAS,,DAL,W 19-15,,5,13,38.46,58,0,0,52.7,3,20,4.46,4.46,3,-4,-1.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
4,4,1990,1990-09-30,4,4,25.169,WAS,@,PHO,W 38-10,*,20,25,80.00,257,2,0,136.2,0,0,10.28,11.88,2,0,0.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Stan Humphries,HumpSt00
5,5,1990,1990-10-14,5,6,25.183,WAS,,NYG,L 20-24,*,14,27,51.85,135,0,3,26.5,0,0,5.00,0.00,6,41,6.83,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
6,6,1990,1990-10-21,6,7,25.190,WAS,,PHI,W 13-7,*,14,31,45.16,200,0,0,66.6,0,0,6.45,6.45,6,23,3.83,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
7,7,1990,1990-10-28,7,8,25.197,WAS,@,NYG,L 10-21,*,19,28,67.86,141,0,3,40.0,2,18,5.04,0.21,4,22,5.50,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Stan Humphries,HumpSt00
8,8,1990,1990-11-04,8,9,25.204,WAS,@,DET,W 41-38,*,13,21,61.90,159,1,3,61.5,3,24,7.57,2.10,2,24,12.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
9,9,1990,1990-11-12,9,10,25.212,WAS,@,PHI,L 14-28,,6,11,54.55,65,0,1,34.3,1,0,5.91,1.82,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
11,10,1991,1991-09-01,1,1,,WAS,,DET,W 45-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
12,11,1991,1991-09-09,2,2,,WAS,@,DAL,W 33-31,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
13,12,1991,1991-09-15,3,3,,WAS,,PHO,W 34-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
14,13,1991,1991-09-22,4,4,,WAS,@,CIN,W 34-27,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
15,14,1991,1991-09-30,5,5,,WAS,,PHI,W 23-0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
16,15,1991,1991-10-06,6,6,,WAS,@,CHI,W 20-7,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
17,16,1991,1991-10-13,7,7,,WAS,,CLE,W 42-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
18,17,1991,1991-10-27,8,9,,WAS,@,NYG,W 17-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
19,18,1991,1991-11-03,9,10,,WAS,,HOU,W 16-13,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
20,19,1991,1991-11-10,10,11,,WAS,,ATL,W 56-17,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
21,20,1991,1991-11-17,11,12,,WAS,@,PIT,W 41-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
22,21,1991,1991-11-24,12,13,,WAS,,DAL,L 21-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
23,22,1991,1991-12-01,13,14,,WAS,@,RAM,W 27-6,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
24,23,1991,1991-12-08,14,15,,WAS,@,PHO,W 20-14,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Stan Humphries,HumpSt00
25,24,1991,1991-12-15,15,16,,WAS,,NYG,W 34-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
26,25,1991,1991-12-22,16,17,,WAS,@,PHI,L 22-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Stan Humphries,HumpSt00
27,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
28,26,1992,1992-09-06,1,1,27.145,SDG,,KAN,L 10-24,,7,10,70.00,62,0,1,46.7,0,0,6.20,1.70,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
29,27,1992,1992-09-13,2,2,27.152,SDG,@,DEN,L 13-21,*,23,45,51.11,231,1,2,55.0,5,44,5.13,3.58,1,7,7.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
30,28,1992,1992-09-20,3,3,27.159,SDG,,PIT,L 6-23,*,13,29,44.83,151,0,2,32.4,1,8,5.21,2.10,1,4,4.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
31,29,1992,1992-09-27,4,4,27.166,SDG,@,HOU,L 0-27,*,22,38,57.89,219,0,3,41.4,1,9,5.76,2.21,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
32,30,1992,1992-10-04,5,5,27.173,SDG,,SEA,W 17-6,*,15,28,53.57,200,2,0,100.3,2,5,7.14,8.57,1,4,4.00,0,,0,0,,0,0.0%,,0,0,1,,0,0,0,0,,Stan Humphries,HumpSt00
33,31,1992,1992-10-18,6,7,27.187,SDG,@,IND,W 34-14,*,12,17,70.59,205,0,1,86.6,1,25,12.06,9.41,2,1,0.50,1,,0,0,,0,0.0%,,1,6,1,,0,0,0,0,,Stan Humphries,HumpSt00
34,32,1992,1992-10-25,7,8,27.194,SDG,,DEN,W 24-21,*,20,27,74.07,355,2,1,125.2,3,15,13.15,12.96,5,1,0.20,1,,0,0,,0,0.0%,,1,6,3,,0,1,0,0,,Stan Humphries,HumpSt00
35,33,1992,1992-11-01,8,9,27.201,SDG,,IND,W 26-0,*,22,33,66.67,256,2,2,84.9,1,9,7.76,6.24,1,2,2.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
36,34,1992,1992-11-08,9,10,27.208,SDG,@,KAN,L 14-16,*,20,35,57.14,294,1,1,82.3,6,56,8.40,7.69,1,6,6.00,0,,0,0,,0,0.0%,,0,0,3,,0,1,0,0,,Stan Humphries,HumpSt00
37,35,1992,1992-11-15,10,11,27.215,SDG,@,CLE,W 14-13,*,19,32,59.38,234,2,1,89.8,1,10,7.31,7.16,1,-1,-1.00,0,,0,0,,0,0.0%,,0,0,1,,0,1,0,0,,Stan Humphries,HumpSt00
38,36,1992,1992-11-22,11,12,27.222,SDG,,TAM,W 29-14,*,13,28,46.43,126,1,0,71.4,0,0,4.50,5.21,2,29,14.50,1,,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,Stan Humphries,HumpSt00
39,37,1992,1992-11-29,12,13,27.229,SDG,,RAI,W 27-3,*,13,26,50.00,164,1,1,66.8,0,0,6.31,5.35,4,12,3.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
40,38,1992,1992-12-06,13,14,27.236,SDG,@,PHO,W 27-21,*,20,32,62.50,275,1,1,87.4,1,8,8.59,7.81,1,-1,-1.00,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
41,39,1992,1992-12-13,14,15,27.243,SDG,,CIN,W 27-10,*,19,28,67.86,209,1,2,71.9,1,0,7.46,4.96,4,10,2.50,1,,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,Stan Humphries,HumpSt00
42,40,1992,1992-12-20,15,16,27.250,SDG,@,RAI,W 36-14,*,17,32,53.13,237,2,0,98.0,2,9,7.41,8.66,4,5,1.25,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
43,41,1992,1992-12-27,16,17,27.257,SDG,@,SEA,W 31-14,*,8,14,57.14,138,0,0,90.8,3,20,9.86,9.86,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
44,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Stan Humphries,HumpSt00
45,42,1993,1993-09-05,1,1,28.144,SDG,,SEA,W 18-12,*,13,30,43.33,123,0,2,27.5,2,14,4.10,1.10,0,0,,0,,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,Stan Humphries,HumpSt00
