,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1973,1973-09-16,1,1,22.009,BAL,@,CLE,L 14-24,*,6,22,27.27,56,1,1,35.8,5,52,2.55,1.41,3,24,8.00,0,0,0,Bert Jones,JoneBe00
1,2,1973,1973-09-23,2,2,22.016,BAL,,NYJ,L 10-34,*,12,23,52.17,176,1,4,52.4,1,15,7.65,0.70,1,2,2.00,0,0,0,Bert Jones,JoneBe00
2,3,1973,1973-09-30,3,3,22.023,BAL,,NOR,W 14-10,*,7,16,43.75,91,1,4,43.5,,,5.69,-4.31,5,-10,-2.00,0,0,0,Bert Jones,JoneBe00
3,4,1973,1973-10-07,4,4,22.030,BAL,@,NWE,L 16-24,*,8,19,42.11,109,1,0,78.6,3,28,5.74,6.79,3,11,3.67,0,0,0,Bert Jones,JoneBe00
4,5,1973,1973-10-14,5,5,22.037,BAL,@,BUF,L 13-31,*,7,15,46.67,71,0,2,21.1,1,11,4.73,-1.27,3,7,2.33,0,0,0,Bert Jones,JoneBe00
5,6,1973,1973-10-28,7,7,22.051,BAL,,OAK,L 21-34,,0,2,0.00,0,0,0,39.6,1,2,0.00,0.00,,,,,0,0,Bert Jones,JoneBe00
6,7,1973,1973-11-11,9,9,22.065,BAL,@,MIA,L 0-44,,3,11,27.27,36,0,1,2.8,3,18,3.27,-0.82,2,22,11.00,0,0,0,Bert Jones,JoneBe00
7,8,1973,1973-11-18,10,10,22.072,BAL,@,WAS,L 14-22,,,,,,,,,,,,,1,2,2.00,0,0,0,Bert Jones,JoneBe00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Bert Jones,JoneBe00
9,9,1974,1974-09-15,1,1,23.008,BAL,@,PIT,L 0-30,,8,17,47.06,100,0,2,26.2,6,54,5.88,0.59,2,5,2.50,0,0,0,Bert Jones,JoneBe00
10,10,1974,1974-09-22,2,2,23.015,BAL,,GNB,L 13-20,,7,16,43.75,88,1,1,56.2,1,11,5.50,3.94,1,19,19.00,0,0,0,Bert Jones,JoneBe00
11,11,1974,1974-09-29,3,3,23.022,BAL,@,PHI,L 10-30,,12,22,54.55,141,1,1,70.5,1,8,6.41,5.27,1,18,18.00,0,0,0,Bert Jones,JoneBe00
12,12,1974,1974-10-06,4,4,23.029,BAL,@,NWE,L 3-42,*,22,41,53.66,215,0,1,58.5,5,35,5.24,4.15,6,21,3.50,0,0,0,Bert Jones,JoneBe00
13,13,1974,1974-10-13,5,5,23.036,BAL,,BUF,L 14-27,*,6,16,37.50,44,0,1,19.8,5,43,2.75,-0.06,2,9,4.50,1,1,6,Bert Jones,JoneBe00
14,14,1974,1974-10-20,6,6,23.043,BAL,@,NYJ,W 35-20,*,11,17,64.71,106,1,0,101.6,2,17,6.24,7.41,6,92,15.33,2,2,12,Bert Jones,JoneBe00
15,15,1974,1974-10-27,7,7,23.050,BAL,@,MIA,L 7-17,*,7,17,41.18,73,0,0,54.3,2,15,4.29,4.29,8,41,5.13,0,0,0,Bert Jones,JoneBe00
16,16,1974,1974-11-03,8,8,23.057,BAL,,CIN,L 14-24,*,9,18,50.00,108,0,1,45.6,2,26,6.00,3.50,4,28,7.00,0,0,0,Bert Jones,JoneBe00
17,17,1974,1974-12-01,12,12,23.085,BAL,@,BUF,L 0-6,*,11,27,40.74,170,0,1,46.8,8,72,6.30,4.63,1,1,1.00,0,0,0,Bert Jones,JoneBe00
18,18,1974,1974-12-08,13,13,23.092,BAL,,MIA,L 16-17,*,14,26,53.85,180,1,0,88.6,3,35,6.92,7.69,5,20,4.00,0,0,0,Bert Jones,JoneBe00
19,19,1974,1974-12-15,14,14,23.099,BAL,,NYJ,L 38-45,*,36,53,67.92,385,4,4,82.7,1,12,7.26,5.38,3,25,8.33,1,1,6,Bert Jones,JoneBe00
20,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Bert Jones,JoneBe00
21,20,1975,1975-09-21,1,1,24.014,BAL,@,CHI,W 35-7,*,15,24,62.50,177,2,0,112.7,4,41,7.38,9.04,4,41,10.25,0,0,0,Bert Jones,JoneBe00
22,21,1975,1975-09-28,2,2,24.021,BAL,,OAK,L 20-31,*,21,43,48.84,307,1,1,70.6,6,55,7.14,6.56,3,13,4.33,0,0,0,Bert Jones,JoneBe00
23,22,1975,1975-10-05,3,3,24.028,BAL,@,RAM,L 13-24,*,14,25,56.00,155,2,2,67.9,1,4,6.20,4.20,2,-5,-2.50,0,0,0,Bert Jones,JoneBe00
24,23,1975,1975-10-12,4,4,24.035,BAL,,BUF,L 31-38,*,11,23,47.83,155,2,1,80.9,1,2,6.74,6.52,4,46,11.50,0,0,0,Bert Jones,JoneBe00
