,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1957,1957-10-13,3,3,23.051,PHI,@,CLE,L 7-24,,4,10,40.00,17,0,1,8.3,,16,1.70,-2.80,2,-18,-9.00,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
1,2,1957,1957-10-20,4,4,23.058,PHI,,CLE,W 17-7,*,6,9,66.67,84,1,0,133.6,,,9.33,11.56,2,6,3.00,1,0,0,,0,1,6,Sonny Jurgensen,JurgSo00
2,3,1957,1957-10-27,5,5,23.065,PHI,@,PIT,L 0-6,,1,5,20.00,12,0,1,0.0,,21,2.40,-6.60,1,-2,-2.00,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
3,4,1957,1957-11-03,6,6,23.072,PHI,@,CRD,W 38-21,,2,3,66.67,8,0,0,70.1,,10,2.67,2.67,,,,,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
4,5,1957,1957-11-10,7,7,23.079,PHI,,DET,L 16-27,,1,4,25.00,15,0,1,3.1,,38,3.75,-7.50,1,1,1.00,1,0,0,,0,1,6,Sonny Jurgensen,JurgSo00
5,6,1957,1957-11-17,8,8,23.086,PHI,@,NYG,L 0-13,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,1,1,1.00,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
6,7,1957,1957-11-24,9,9,23.093,PHI,,WAS,W 21-12,*,9,14,64.29,211,3,2,107.7,,25,15.07,12.93,1,8,8.00,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
7,8,1957,1957-12-01,10,10,23.100,PHI,,PIT,W 7-6,*,4,5,80.00,56,1,0,152.9,,6,11.20,15.20,2,1,0.50,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
8,9,1957,1957-12-08,11,11,23.107,PHI,@,WAS,L 7-42,*,5,17,29.41,61,0,3,2.5,,,3.59,-4.35,,,,,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
9,10,1957,1957-12-14,12,12,23.113,PHI,,CRD,L 27-31,,1,2,50.00,6,0,0,56.2,,10,3.00,3.00,,,,,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
10,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
11,11,1958,1958-11-16,8,8,24.085,PHI,,CRD,W 49-21,,2,4,50.00,33,0,1,38.5,2,21,8.25,-3.00,1,1,1.00,0,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
12,12,1958,1958-12-14,12,12,24.113,PHI,@,WAS,L 0-20,,10,18,55.56,226,0,0,100.5,1,8,12.56,12.56,,,,,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
14,13,1959,1959-10-04,2,2,25.042,PHI,,NYG,W 49-21,,3,5,60.00,27,1,0,114.2,,,5.40,9.40,,,,,0,0,,0,0,0,Sonny Jurgensen,JurgSo00
15,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
16,14,1960,1960-09-25,1,1,26.033,PHI,,CLE,L 24-41,,5,6,83.33,57,1,0,145.8,1,8,9.50,12.83,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
17,15,1960,1960-10-16,4,4,26.054,PHI,,DET,W 28-10,,1,4,25.00,-3,0,0,39.6,,,-0.75,-0.75,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
18,16,1960,1960-11-06,6,7,26.075,PHI,,PIT,W 34-7,,2,4,50.00,25,0,0,69.8,,,6.25,6.25,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
19,17,1960,1960-12-11,11,12,26.110,PHI,@,PIT,L 21-27,,8,19,42.11,211,2,1,96.6,2,23,11.11,10.84,1,-4,-4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
20,18,1960,1960-12-18,12,13,26.117,PHI,@,WAS,W 38-28,,8,11,72.73,196,2,0,154.4,2,14,17.82,21.45,3,9,3.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
22,19,1961,1961-09-17,1,1,27.025,PHI,,CLE,W 27-20,*,11,17,64.71,183,2,1,115.6,3,25,10.76,10.47,1,1,1.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
23,20,1961,1961-09-24,2,2,27.032,PHI,,WAS,W 14-7,*,11,28,39.29,210,2,3,50.3,2,14,7.50,4.11,1,4,4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
24,21,1961,1961-10-01,3,3,27.039,PHI,,STL,L 27-30,*,24,36,66.67,399,3,2,108.4,4,28,11.08,10.25,4,4,1.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
25,22,1961,1961-10-08,4,4,27.046,PHI,,PIT,W 21-16,*,11,22,50.00,109,2,3,55.1,1,6,4.95,0.64,4,10,2.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
26,23,1961,1961-10-15,5,5,27.053,PHI,@,STL,W 20-7,*,17,32,53.13,233,2,0,97.5,3,21,7.28,8.53,3,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
27,24,1961,1961-10-22,6,6,27.060,PHI,@,DAL,W 43-7,*,10,15,66.67,154,0,0,100.4,,,10.27,10.27,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
28,25,1961,1961-10-29,7,7,27.067,PHI,@,WAS,W 27-24,*,27,41,65.85,436,3,2,105.3,2,23,10.63,9.90,2,-5,-2.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
29,26,1961,1961-11-05,8,8,27.074,PHI,,CHI,W 16-14,*,18,33,54.55,249,1,3,51.2,2,12,7.55,4.06,1,-4,-4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
30,27,1961,1961-11-12,9,9,27.081,PHI,@,NYG,L 21-38,*,15,33,45.45,188,2,3,46.0,2,12,5.70,2.82,1,3,3.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
31,28,1961,1961-11-19,10,10,27.088,PHI,@,CLE,L 24-45,*,18,32,56.25,230,2,1,86.7,,,7.19,7.03,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
32,29,1961,1961-11-26,11,11,27.095,PHI,,DAL,W 35-13,*,16,23,69.57,351,5,2,115.5,1,6,15.26,15.70,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
33,30,1961,1961-12-03,12,12,27.102,PHI,@,PIT,W 35-24,*,14,31,45.16,211,2,0,89.6,2,19,6.81,8.10,1,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
34,31,1961,1961-12-10,13,13,27.109,PHI,,NYG,L 24-28,*,16,31,51.61,367,3,2,99.8,5,36,11.84,10.87,1,14,14.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
35,32,1961,1961-12-17,14,14,27.116,PHI,@,DET,W 27-24,*,27,42,64.29,403,3,2,99.6,1,9,9.60,8.88,1,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
36,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
37,33,1962,1962-09-16,1,1,28.024,PHI,,STL,L 21-27,*,15,25,60.00,273,1,2,77.6,2,16,10.92,8.12,2,1,0.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
38,34,1962,1962-09-23,2,2,28.031,PHI,,NYG,L 13-29,*,33,57,57.89,396,1,3,63.2,2,15,6.95,4.93,1,-7,-7.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
39,35,1962,1962-09-30,3,3,28.038,PHI,,CLE,W 35-7,*,18,24,75.00,265,2,2,103.6,,,11.04,8.96,1,1,1.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
40,36,1962,1962-10-06,4,4,28.044,PHI,@,PIT,L 7-13,*,13,33,39.39,163,1,2,40.3,1,10,4.94,2.82,2,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
41,37,1962,1962-10-14,5,5,28.052,PHI,@,DAL,L 19-41,*,4,10,40.00,60,0,0,60.4,2,23,6.00,6.00,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
42,38,1962,1962-10-21,6,6,28.059,PHI,,WAS,L 21-27,,15,22,68.18,231,3,2,104.4,1,10,10.50,9.14,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
43,39,1962,1962-10-28,7,7,28.066,PHI,@,MIN,L 21-31,*,12,23,52.17,297,2,2,90.4,,,12.91,10.74,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
44,40,1962,1962-11-04,8,8,28.073,PHI,@,CLE,T 14-14,*,15,27,55.56,142,1,3,43.1,2,18,5.26,1.00,1,2,2.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
45,41,1962,1962-11-11,9,9,28.080,PHI,,GNB,L 0-49,*,4,13,30.77,35,0,1,8.2,1,9,2.69,-0.77,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
46,42,1962,1962-11-18,10,10,28.087,PHI,@,NYG,L 14-19,*,8,23,34.78,119,1,0,67.1,2,23,5.17,6.04,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
47,43,1962,1962-11-25,11,11,28.094,PHI,,DAL,W 28-14,*,13,21,61.90,342,1,2,82.0,3,29,16.29,12.95,4,20,5.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
48,44,1962,1962-12-02,12,12,28.101,PHI,@,WAS,W 37-14,*,14,19,73.68,261,2,1,128.7,1,19,13.74,13.47,2,13,6.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
49,45,1962,1962-12-09,13,13,28.108,PHI,,PIT,L 17-26,*,17,35,48.57,258,2,3,56.6,4,40,7.37,4.66,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
50,46,1962,1962-12-16,14,14,28.115,PHI,@,STL,L 35-45,*,15,34,44.12,419,5,3,93.0,,,12.32,11.29,4,14,3.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
51,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
52,47,1963,1963-09-15,1,1,29.023,PHI,,PIT,T 21-21,*,16,26,61.54,322,3,2,111.4,3,27,12.38,11.23,2,2,1.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
53,48,1963,1963-09-22,2,2,29.030,PHI,,STL,L 24-28,*,12,24,50.00,166,0,0,72.6,1,10,6.92,6.92,1,1,1.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
54,49,1963,1963-09-29,3,3,29.037,PHI,,NYG,L 14-37,*,5,10,50.00,50,0,4,25.0,0,0,5.00,-13.00,2,8,4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
55,50,1963,1963-10-06,4,4,29.044,PHI,,DAL,W 24-21,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
56,51,1963,1963-10-13,5,5,29.051,PHI,@,WAS,W 37-24,*,17,29,58.62,315,4,2,107.0,1,12,10.86,10.52,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
57,52,1963,1963-10-20,6,6,29.058,PHI,@,CLE,L 7-37,*,7,13,53.85,76,1,1,64.9,0,0,5.85,3.92,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
58,53,1963,1963-11-24,11,11,29.093,PHI,,WAS,L 10-13,*,19,37,51.35,209,1,1,66.2,2,6,5.65,4.97,3,7,2.33,0,,,,,0,0,Sonny Jurgensen,JurgSo00
59,54,1963,1963-12-08,13,13,29.107,PHI,@,STL,L 14-38,*,10,18,55.56,121,0,1,53.2,0,0,6.72,4.22,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
60,55,1963,1963-12-15,14,14,29.114,PHI,,MIN,L 13-34,*,13,26,50.00,154,2,2,62.0,6,56,5.92,4.00,5,20,4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
61,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
62,56,1964,1964-09-13,1,1,30.021,WAS,,CLE,L 13-27,*,17,30,56.67,235,0,0,81.9,2,24,7.83,7.83,2,10,5.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
63,57,1964,1964-09-20,2,2,30.028,WAS,@,DAL,L 18-24,*,6,21,28.57,75,0,1,22.1,4,28,3.57,1.43,1,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
64,58,1964,1964-09-25,3,3,30.033,WAS,@,NYG,L 10-13,*,14,24,58.33,157,1,0,91.8,2,14,6.54,7.38,2,23,11.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
65,59,1964,1964-10-04,4,4,30.042,WAS,,STL,L 17-23,*,12,24,50.00,170,1,2,52.4,8,66,7.08,4.17,2,7,3.50,0,,,,,0,0,Sonny Jurgensen,JurgSo00
66,60,1964,1964-10-11,5,5,30.049,WAS,,PHI,W 35-20,*,22,33,66.67,385,5,2,120.6,3,24,11.67,11.97,1,-5,-5.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
67,61,1964,1964-10-18,6,6,30.056,WAS,@,STL,L 24-38,*,11,25,44.00,159,2,1,75.2,0,0,6.36,6.16,2,3,1.50,1,,,,,1,6,Sonny Jurgensen,JurgSo00
68,62,1964,1964-10-25,7,7,30.063,WAS,,CHI,W 27-20,*,16,31,51.61,205,4,1,98.8,4,39,6.61,7.74,1,-4,-4.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
69,63,1964,1964-11-01,8,8,30.070,WAS,@,PHI,W 21-10,*,7,18,38.89,141,1,1,62.5,1,6,7.83,6.44,4,-5,-1.25,0,,,,,0,0,Sonny Jurgensen,JurgSo00
70,64,1964,1964-11-08,9,9,30.077,WAS,@,CLE,L 24-34,*,21,36,58.33,261,3,1,97.1,0,0,7.25,7.67,2,14,7.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
71,65,1964,1964-11-15,10,10,30.084,WAS,@,PIT,W 30-0,*,7,10,70.00,210,2,1,112.5,2,21,21.00,20.50,1,3,3.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
72,66,1964,1964-11-22,11,11,30.091,WAS,,DAL,W 28-16,*,20,33,60.61,307,1,1,88.8,0,0,9.30,8.55,4,0,0.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
73,67,1964,1964-11-29,12,12,30.098,WAS,,NYG,W 36-21,*,24,43,55.81,319,4,0,110.5,1,3,7.42,9.28,2,16,8.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
74,68,1964,1964-12-06,13,13,30.105,WAS,,PIT,L 7-14,*,17,35,48.57,136,0,1,46.8,5,34,3.89,2.60,1,-7,-7.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
75,69,1964,1964-12-13,14,14,30.112,WAS,@,BAL,L 17-45,*,13,22,59.09,174,0,1,65.3,6,43,7.91,5.86,2,2,1.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
76,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
77,70,1965,1965-09-19,1,1,31.027,WAS,,CLE,L 7-17,*,9,21,42.86,124,0,1,42.6,0,0,5.90,3.76,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
78,71,1965,1965-09-26,2,2,31.034,WAS,@,DAL,L 7-27,*,13,30,43.33,206,1,1,64.0,3,21,6.87,6.03,1,1,1.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
79,72,1965,1965-10-03,3,3,31.041,WAS,@,DET,L 10-14,*,6,11,54.55,19,0,4,20.5,3,25,1.73,-14.64,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
80,73,1965,1965-10-17,5,5,31.055,WAS,,BAL,L 7-38,*,21,40,52.50,205,0,2,46.4,2,24,5.13,2.88,3,45,15.00,1,,,,,1,6,Sonny Jurgensen,JurgSo00
81,74,1965,1965-10-24,6,6,31.062,WAS,@,STL,W 24-20,*,12,14,85.71,195,3,0,158.3,2,18,13.93,18.21,3,-9,-3.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
82,75,1965,1965-10-31,7,7,31.069,WAS,,PHI,W 23-21,*,23,35,65.71,293,2,1,98.9,0,0,8.37,8.23,3,-10,-3.33,0,,,,,0,0,Sonny Jurgensen,JurgSo00
83,76,1965,1965-11-07,8,8,31.076,WAS,@,NYG,W 23-7,*,10,20,50.00,125,0,1,49.0,1,3,6.25,4.00,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
84,77,1965,1965-11-14,9,9,31.083,WAS,@,PHI,L 14-21,*,16,29,55.17,177,2,1,82.1,6,40,6.10,5.93,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
85,78,1965,1965-11-21,10,10,31.090,WAS,@,PIT,W 31-3,*,9,23,39.13,121,1,1,53.0,2,34,5.26,4.17,1,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
86,79,1965,1965-11-28,11,11,31.097,WAS,,DAL,W 34-31,*,26,43,60.47,411,3,2,96.2,6,47,9.56,8.86,3,11,3.67,1,,,,,1,6,Sonny Jurgensen,JurgSo00
87,80,1965,1965-12-05,12,12,31.104,WAS,@,CLE,L 16-24,*,18,35,51.43,155,1,2,49.1,2,17,4.43,2.43,1,-17,-17.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
88,81,1965,1965-12-12,13,13,31.111,WAS,,NYG,L 10-27,*,15,34,44.12,184,0,0,61.4,1,9,5.41,5.41,2,2,1.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
89,82,1965,1965-12-19,14,14,31.118,WAS,,PIT,W 35-14,*,12,21,57.14,152,2,0,111.6,1,7,7.24,9.14,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
90,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Sonny Jurgensen,JurgSo00
91,83,1966,1966-09-11,1,1,32.019,WAS,,CLE,L 14-38,*,17,35,48.57,240,1,5,41.1,3,28,6.86,1.00,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
92,84,1966,1966-09-18,2,2,32.026,WAS,@,STL,L 7-23,*,18,32,56.25,197,1,0,85.0,1,7,6.16,6.78,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
93,85,1966,1966-09-25,3,3,32.033,WAS,@,PIT,W 33-27,*,20,33,60.61,235,2,2,77.2,1,7,7.12,5.61,3,5,1.67,0,,,,,0,0,Sonny Jurgensen,JurgSo00
94,86,1966,1966-10-02,4,4,32.040,WAS,,PIT,W 24-10,*,14,21,66.67,262,3,0,149.2,2,13,12.48,15.33,1,8,8.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
95,87,1966,1966-10-09,5,5,32.047,WAS,,ATL,W 33-20,*,17,26,65.38,286,2,0,128.0,0,0,11.00,12.54,1,-8,-8.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
96,88,1966,1966-10-16,6,6,32.054,WAS,@,NYG,L 10-13,*,9,20,45.00,125,1,2,42.7,1,12,6.25,2.75,1,0,0.00,0,,,,,0,0,Sonny Jurgensen,JurgSo00
97,89,1966,1966-10-23,7,7,32.061,WAS,,STL,W 26-20,*,20,35,57.14,246,2,1,86.1,1,11,7.03,6.89,,,,,,,,,0,0,Sonny Jurgensen,JurgSo00
