,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2013,2013-09-09,1,1,,HOU,@,SDG,W 31-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
1,2,2013,2013-09-15,2,2,,HOU,,TEN,W 30-24,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
2,3,2013,2013-09-22,3,3,,HOU,@,BAL,L 9-30,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
3,4,2013,2013-09-29,4,4,,HOU,,SEA,L 20-23,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
4,5,2013,2013-10-06,5,5,,HOU,@,SFO,L 3-34,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
5,6,2013,2013-10-13,6,6,,HOU,,STL,L 13-38,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Case Keenum,KeenCa00
6,7,2013,2013-10-20,7,7,25.245,HOU,@,KAN,L 16-17,*,15,25,60.00,271,1,0,110.6,5,50,10.84,11.64,3,10,3.33,0,0,0,2,1,0,0,0,0,56,100%,0,0%,0,0%,,Case Keenum,KeenCa00
7,8,2013,2013-11-03,8,9,25.259,HOU,,IND,L 24-27,*,20,34,58.82,350,3,0,123.4,1,10,10.29,12.06,3,26,8.67,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Case Keenum,KeenCa00
8,9,2013,2013-11-10,9,10,25.266,HOU,@,ARI,L 24-27,*,22,43,51.16,201,3,0,87.5,3,42,4.67,6.07,2,13,6.50,0,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,,Case Keenum,KeenCa00
