,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1985,1985-10-06,5,5,21.315,CLE,,NWE,W 24-20,,9,15,60.00,104,0,1,53.2,0,0,6.93,3.93,6,-10,-1.67,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
1,2,1985,1985-10-13,6,6,21.322,CLE,@,HOU,W 21-6,*,8,19,42.11,208,1,1,78.4,0,0,10.95,9.63,2,-2,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
2,3,1985,1985-10-20,7,7,21.329,CLE,,RAI,L 20-21,*,10,22,45.45,140,1,0,81.6,2,17,6.36,7.27,1,10,10.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
3,4,1985,1985-10-27,8,8,21.336,CLE,,WAS,L 7-14,*,7,17,41.18,84,0,2,17.4,0,0,4.94,-0.35,2,-2,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
4,5,1985,1985-11-03,9,9,21.343,CLE,@,PIT,L 9-10,*,13,19,68.42,96,0,0,80.2,1,9,5.05,5.05,4,-11,-2.75,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
5,6,1985,1985-11-10,10,10,21.350,CLE,@,CIN,L 10-27,*,16,32,50.00,229,1,2,57.9,3,16,7.16,4.97,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
6,7,1985,1985-11-17,11,11,21.357,CLE,,BUF,W 17-7,*,12,25,48.00,103,1,0,72.6,2,10,4.12,4.92,1,-2,-2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
7,8,1985,1985-11-24,12,12,21.364,CLE,,CIN,W 24-6,,1,1,100.00,-3,0,0,79.2,0,0,-3.00,-3.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
8,9,1985,1985-12-01,13,13,22.006,CLE,@,NYG,W 35-33,*,6,16,37.50,86,0,0,55.7,2,12,5.38,5.38,3,-1,-0.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
9,10,1985,1985-12-08,14,14,22.013,CLE,@,SEA,L 13-31,*,18,31,58.06,249,1,0,94.7,6,35,8.03,8.68,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
10,11,1985,1985-12-15,15,15,22.020,CLE,,HOU,W 28-21,*,14,28,50.00,161,3,0,103.4,1,5,5.75,7.89,3,-1,-0.33,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Bernie Kosar,KosaBe00
11,12,1985,1985-12-22,16,16,22.027,CLE,@,NYJ,L 10-37,*,10,23,43.48,121,0,1,42.1,2,17,5.26,3.30,3,7,2.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Bernie Kosar,KosaBe00
13,13,1986,1986-09-07,1,1,22.286,CLE,@,CHI,L 31-41,*,23,40,57.50,289,1,1,78.0,1,9,7.23,6.60,0,0,,0,,1,1,1.00,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
14,14,1986,1986-09-14,2,2,22.293,CLE,@,HOU,W 23-20,*,11,26,42.31,180,1,0,79.0,3,24,6.92,7.69,2,10,5.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
15,15,1986,1986-09-18,3,3,22.297,CLE,,CIN,L 13-30,*,28,40,70.00,293,0,0,90.9,4,38,7.33,7.33,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
16,16,1986,1986-09-28,4,4,22.307,CLE,,DET,W 24-21,*,17,27,62.96,139,0,0,76.0,1,4,5.15,5.15,1,-2,-2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
17,17,1986,1986-10-05,5,5,22.314,CLE,@,PIT,W 27-24,*,14,23,60.87,186,1,0,101.0,3,24,8.09,8.96,5,-3,-0.60,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
18,18,1986,1986-10-12,6,6,22.321,CLE,,KAN,W 20-7,*,22,35,62.86,287,2,1,95.8,1,2,8.20,8.06,1,-2,-2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
19,19,1986,1986-10-19,7,7,22.328,CLE,,GNB,L 14-17,*,28,36,77.78,222,2,1,99.3,3,19,6.17,6.03,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
20,20,1986,1986-10-26,8,8,22.335,CLE,@,MIN,W 23-20,*,9,18,50.00,101,0,1,44.0,5,51,5.61,3.11,1,-1,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Bernie Kosar,KosaBe00
