,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1977,1977-11-06,8,8,22.244,MIN,,STL,L 7-27,,1,3,33.33,6,0,0,42.4,,,2.00,2.00,,,,,,,,,0,0,Tommy Kramer,KramTo00
1,2,1977,1977-11-13,9,9,22.251,MIN,,CIN,W 42-10,,4,6,66.67,54,1,0,134.7,1,8,9.00,12.33,,,,,,,,,0,0,Tommy Kramer,KramTo00
2,3,1977,1977-11-20,10,10,22.258,MIN,@,CHI,L 7-10,,0,1,0.00,0,0,1,0.0,,,0.00,-45.00,,,,,,,,,0,0,Tommy Kramer,KramTo00
3,4,1977,1977-11-27,11,11,22.265,MIN,@,GNB,W 13-6,,,,,,,,,,,,,,,,,,,,,0,0,Tommy Kramer,KramTo00
4,5,1977,1977-12-04,12,12,22.272,MIN,,SFO,W 28-27,,9,13,69.23,188,3,0,151.4,1,7,14.46,19.08,4,-11,-2.75,0,,,,,0,0,Tommy Kramer,KramTo00
5,6,1977,1977-12-11,13,13,22.279,MIN,@,OAK,L 13-35,*,16,34,47.06,177,1,3,36.0,4,30,5.21,1.82,6,14,2.33,0,,,,,0,0,Tommy Kramer,KramTo00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Tommy Kramer,KramTo00
7,7,1978,1978-09-11,2,2,23.188,MIN,,DEN,W 12-9,,2,7,28.57,22,0,0,40.2,,,3.14,3.14,1,10,10.00,0,,,,,0,0,Tommy Kramer,KramTo00
8,8,1978,1978-09-17,3,3,23.194,MIN,,TAM,L 10-16,,2,6,33.33,9,0,1,2.8,,,1.50,-6.00,,,,,,,,,0,0,Tommy Kramer,KramTo00
9,9,1978,1978-10-15,7,7,23.222,MIN,,RAM,L 17-34,,1,3,33.33,19,0,0,56.2,1,11,6.33,6.33,,,,,,,,,0,0,Tommy Kramer,KramTo00
10,10,1978,1978-12-09,15,15,23.277,MIN,@,DET,L 14-45,,,,,,,,,,,,,,,,,,,,,0,0,Tommy Kramer,KramTo00
11,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Tommy Kramer,KramTo00
12,11,1979,1979-09-02,1,1,24.179,MIN,,SFO,W 28-22,*,21,34,61.76,297,4,0,129.2,1,10,8.74,11.09,2,5,2.50,0,,,,,0,0,Tommy Kramer,KramTo00
13,12,1979,1979-09-09,2,2,24.186,MIN,@,CHI,L 7-26,*,10,19,52.63,117,0,1,49.7,5,46,6.16,3.79,2,2,1.00,1,,,,,1,6,Tommy Kramer,KramTo00
14,13,1979,1979-09-16,3,3,24.193,MIN,,MIA,L 12-27,*,14,25,56.00,117,0,3,28.7,1,11,4.68,-0.72,3,27,9.00,0,0,3,,0,0,0,Tommy Kramer,KramTo00
15,14,1979,1979-09-23,4,4,24.200,MIN,,GNB,W 27-21,*,19,26,73.08,245,2,2,95.8,5,30,9.42,7.50,,,,,,,,,0,0,Tommy Kramer,KramTo00
16,15,1979,1979-09-30,5,5,24.207,MIN,@,DET,W 13-10,*,13,23,56.52,167,0,2,43.2,3,17,7.26,3.35,2,6,3.00,0,,,,,0,0,Tommy Kramer,KramTo00
17,16,1979,1979-10-07,6,6,24.214,MIN,,DAL,L 20-36,*,18,34,52.94,206,2,0,91.1,3,27,6.06,7.24,1,1,1.00,0,,,,,0,0,Tommy Kramer,KramTo00
18,17,1979,1979-10-15,7,7,24.222,MIN,@,NYJ,L 7-14,*,28,48,58.33,270,0,4,39.4,1,14,5.63,1.88,2,9,4.50,0,,,,,0,0,Tommy Kramer,KramTo00
19,18,1979,1979-10-21,8,8,24.228,MIN,,CHI,W 30-27,*,19,43,44.19,218,4,1,81.3,1,5,5.07,5.88,1,-5,-5.00,0,,,,,0,0,Tommy Kramer,KramTo00
20,19,1979,1979-10-28,9,9,24.235,MIN,,TAM,L 10-12,*,22,36,61.11,223,1,1,76.5,4,4,6.19,5.50,3,22,7.33,0,,,,,0,0,Tommy Kramer,KramTo00
21,20,1979,1979-11-04,10,10,24.242,MIN,@,STL,L 7-37,*,27,49,55.10,273,1,3,52.5,1,10,5.57,3.22,,,,,,,,,0,0,Tommy Kramer,KramTo00
22,21,1979,1979-11-11,11,11,24.249,MIN,@,GNB,L 7-19,*,27,38,71.05,262,1,2,76.9,5,32,6.89,5.05,,,,,,,,,0,0,Tommy Kramer,KramTo00
