,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1980,1980-12-21,16,16,22.062,SEA,,DEN,L 17-25,,0,2,0.00,0,0,0,39.6,1,6,0.00,0.00,,,,,,,,,,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Dave Krieg,KrieDa00
2,2,1981,1981-10-18,7,7,22.363,SEA,,NYG,L 0-32,,5,9,55.56,50,0,0,71.5,2,15,5.56,5.56,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
3,3,1981,1981-11-01,9,9,23.012,SEA,@,GNB,L 24-34,,2,5,40.00,25,0,1,16.7,2,14,5.00,-4.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
4,4,1981,1981-11-16,11,11,23.027,SEA,,SDG,W 44-23,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Dave Krieg,KrieDa00
5,5,1981,1981-11-29,13,13,23.040,SEA,,OAK,L 31-32,,5,11,45.45,79,1,0,100.2,1,4,7.18,9.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
6,6,1981,1981-12-06,14,14,23.047,SEA,,NYJ,W 27-23,*,20,26,76.92,264,2,3,94.6,1,8,10.15,6.50,5,30,6.00,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Dave Krieg,KrieDa00
7,7,1981,1981-12-13,15,15,23.054,SEA,@,DEN,L 13-23,*,18,40,45.00,219,1,0,70.7,2,20,5.48,5.98,4,21,5.25,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
8,8,1981,1981-12-20,16,16,23.061,SEA,,CLE,W 42-21,*,14,21,66.67,206,3,1,118.3,3,24,9.81,10.52,2,5,2.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Dave Krieg,KrieDa00
10,9,1982,1982-09-12,1,1,23.327,SEA,,CLE,L 7-21,*,22,38,57.89,203,0,1,61.6,8,63,5.34,4.16,1,4,4.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
11,10,1982,1982-09-19,2,2,23.334,SEA,@,HOU,L 21-23,*,15,22,68.18,156,1,0,103.6,6,46,7.09,8.00,2,2,1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
12,11,1982,1983-01-02,9,17,24.074,SEA,,DEN,W 13-11,,12,18,66.67,142,1,1,85.9,2,8,7.89,6.50,3,-9,-3.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
13,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Dave Krieg,KrieDa00
14,12,1983,1983-10-23,8,8,25.003,SEA,,PIT,L 21-27,,13,20,65.00,214,2,0,134.2,1,4,10.70,12.70,1,8,8.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
15,13,1983,1983-10-30,9,9,25.010,SEA,@,RAI,W 34-21,*,13,22,59.09,156,1,1,77.1,4,20,7.09,5.95,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
16,14,1983,1983-11-06,10,10,25.017,SEA,,DEN,W 27-19,*,14,23,60.87,216,2,1,102.8,0,0,9.39,9.17,6,21,3.50,1,,0,0,,0,,,1,6,0,,0,0,0,0,,Dave Krieg,KrieDa00
17,15,1983,1983-11-13,11,11,25.024,SEA,@,STL,L 28-33,*,13,26,50.00,216,3,1,100.8,6,51,8.31,8.88,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
18,16,1983,1983-11-20,12,12,25.031,SEA,@,DEN,L 27-38,*,31,42,73.81,418,3,4,89.3,5,38,9.95,7.10,1,8,8.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
19,17,1983,1983-11-27,13,13,25.038,SEA,,KAN,W 51-48,*,16,31,51.61,280,3,1,101.5,6,40,9.03,9.52,3,9,3.00,0,,1,11,11.00,0,,,0,0,0,,0,0,0,0,,Dave Krieg,KrieDa00
