,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1968,1968-09-15,1,1,21.272,DET,@,DAL,L 13-59,*,15,31,48.39,231,2,4,55.4,5,42,7.45,2.94,1,5,5.00,0,0,0,Greg Landry,LandGr00
1,2,1968,1968-09-22,2,2,21.279,DET,,CHI,W 42-0,,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,2,10,5.00,1,1,6,Greg Landry,LandGr00
2,3,1968,1968-10-13,5,5,21.300,DET,@,CHI,W 28-10,,0,1,0.00,0,0,0,39.6,1,8,0.00,0.00,1,2,2.00,0,0,0,Greg Landry,LandGr00
3,4,1968,1968-11-28,12,12,21.346,DET,,PHI,L 0-12,*,7,15,46.67,66,0,3,19.7,0,0,4.40,-4.60,3,22,7.33,0,0,0,Greg Landry,LandGr00
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Greg Landry,LandGr00
5,5,1969,1969-09-28,2,2,22.284,DET,,NYG,W 24-0,,2,3,66.67,24,0,0,91.0,0,0,8.00,8.00,,,,,0,0,Greg Landry,LandGr00
6,6,1969,1969-10-05,3,3,22.291,DET,@,CLE,W 28-21,,2,3,66.67,25,0,1,52.8,2,22,8.33,-6.67,,,,,0,0,Greg Landry,LandGr00
7,7,1969,1969-10-12,4,4,22.298,DET,,GNB,L 17-28,,3,8,37.50,21,0,0,45.8,1,10,2.63,2.63,1,8,8.00,0,0,0,Greg Landry,LandGr00
8,8,1969,1969-10-19,5,5,22.305,DET,,CHI,W 13-7,*,9,21,42.86,121,1,1,57.8,3,24,5.76,4.57,5,57,11.40,0,0,0,Greg Landry,LandGr00
9,9,1969,1969-10-26,6,6,22.312,DET,@,MIN,L 10-24,*,14,28,50.00,116,0,4,21.4,6,56,4.14,-2.29,8,40,5.00,0,0,0,Greg Landry,LandGr00
10,10,1969,1969-11-02,7,7,22.319,DET,@,SFO,W 26-14,*,3,13,23.08,42,1,0,66.2,4,41,3.23,4.77,1,9,9.00,0,0,0,Greg Landry,LandGr00
11,11,1969,1969-11-09,8,8,22.326,DET,,ATL,W 27-21,*,9,14,64.29,103,1,1,80.4,3,33,7.36,5.57,6,47,7.83,0,0,0,Greg Landry,LandGr00
12,12,1969,1969-11-16,9,9,22.333,DET,,STL,W 20-0,*,14,21,66.67,200,1,0,113.2,1,11,9.52,10.48,2,11,5.50,0,0,0,Greg Landry,LandGr00
13,13,1969,1969-11-23,10,10,22.340,DET,@,GNB,W 16-10,*,12,24,50.00,108,0,1,45.1,3,11,4.50,2.63,8,57,7.13,1,1,6,Greg Landry,LandGr00
14,14,1969,1969-11-27,11,11,22.344,DET,,MIN,L 0-27,*,12,25,48.00,93,0,2,24.2,7,57,3.72,0.12,2,14,7.00,0,0,0,Greg Landry,LandGr00
15,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Greg Landry,LandGr00
16,15,1970,1970-09-20,1,1,23.276,DET,@,GNB,W 40-0,,0,0,,0,0,0,,1,5,,,1,76,76.00,0,0,0,Greg Landry,LandGr00
17,16,1970,1970-09-27,2,2,23.283,DET,,CIN,W 38-3,,3,4,75.00,55,0,0,116.7,1,10,13.75,13.75,2,8,4.00,1,1,6,Greg Landry,LandGr00
18,17,1970,1970-10-11,4,4,23.297,DET,@,WAS,L 10-31,,5,5,100.00,76,0,0,118.7,,,15.20,15.20,,,,,0,0,Greg Landry,LandGr00
19,18,1970,1970-10-18,5,5,23.304,DET,@,CLE,W 41-24,,1,1,100.00,13,0,0,118.7,,,13.00,13.00,,,,,0,0,Greg Landry,LandGr00
20,19,1970,1970-11-01,7,7,23.318,DET,,MIN,L 17-30,,6,8,75.00,53,0,0,92.2,1,5,6.63,6.63,3,26,8.67,0,0,0,Greg Landry,LandGr00
21,20,1970,1970-11-08,8,8,23.325,DET,@,NOR,L 17-19,,3,6,50.00,36,0,0,68.7,,,6.00,6.00,3,20,6.67,0,0,0,Greg Landry,LandGr00
22,21,1970,1970-11-15,9,9,23.332,DET,@,MIN,L 20-24,*,10,17,58.82,102,1,2,56.1,6,43,6.00,1.88,4,25,6.25,0,0,0,Greg Landry,LandGr00
23,22,1970,1970-11-22,10,10,23.339,DET,,SFO,W 28-7,*,11,17,64.71,111,3,0,122.8,,,6.53,10.06,4,29,7.25,0,0,0,Greg Landry,LandGr00
24,23,1970,1970-11-26,11,11,23.343,DET,,OAK,W 28-14,*,10,15,66.67,176,3,0,146.1,4,39,11.73,15.73,7,77,11.00,0,0,0,Greg Landry,LandGr00
25,24,1970,1970-12-06,12,12,23.353,DET,,STL,W 16-3,*,11,21,52.38,157,0,1,57.0,6,38,7.48,5.33,5,18,3.60,0,0,0,Greg Landry,LandGr00
26,25,1970,1970-12-14,13,13,23.361,DET,@,RAM,W 28-23,*,16,23,69.57,198,1,1,92.3,5,34,8.61,7.52,3,49,16.33,0,0,0,Greg Landry,LandGr00
27,26,1970,1970-12-20,14,14,24.002,DET,,GNB,W 20-0,*,7,19,36.84,95,1,1,49.2,2,24,5.00,3.68,3,22,7.33,0,0,0,Greg Landry,LandGr00
28,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Greg Landry,LandGr00
29,27,1971,1971-09-20,1,1,24.276,DET,,MIN,L 13-16,*,8,26,30.77,61,1,0,53.0,,,2.35,3.12,6,35,5.83,0,0,0,Greg Landry,LandGr00
30,28,1971,1971-09-26,2,2,24.282,DET,@,NWE,W 34-7,*,11,18,61.11,198,1,0,117.4,3,23,11.00,12.11,3,22,7.33,0,0,0,Greg Landry,LandGr00
31,29,1971,1971-10-03,3,3,24.289,DET,,ATL,W 41-38,*,7,12,58.33,123,2,1,98.3,3,28,10.25,9.83,9,30,3.33,0,0,0,Greg Landry,LandGr00
32,30,1971,1971-10-10,4,4,24.296,DET,,GNB,W 31-28,*,18,29,62.07,302,4,1,122.4,,,10.41,11.62,7,36,5.14,0,0,0,Greg Landry,LandGr00
33,31,1971,1971-10-17,5,5,24.303,DET,@,HOU,W 31-7,*,9,16,56.25,197,1,1,95.1,4,42,12.31,10.75,5,74,14.80,0,0,0,Greg Landry,LandGr00
