,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,,
0,1,1948,1948-09-26,1,2,21.282,CHI,@,GNB,W 45-7,,1,3,33.33,34,1,0,116.7,,,11.33,18.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
1,2,1948,1948-10-04,2,3,21.290,CHI,@,CRD,W 28-17,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
2,3,1948,1948-10-10,3,4,21.296,CHI,,RAM,W 42-21,,1,1,100.00,35,0,0,118.7,,,35.00,35.00,2,5,2.50,0,,,,,,,0,0,Bobby Layne,LaynBo00
3,4,1948,1948-10-17,4,5,21.303,CHI,,DET,W 28-0,,2,8,25.00,3,0,1,0.0,,,0.38,-5.25,2,12,6.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
4,5,1948,1948-10-31,6,7,21.317,CHI,,NYG,W 35-14,,0,4,0.00,0,0,0,39.6,,,0.00,0.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
5,6,1948,1948-11-14,8,9,21.331,CHI,,GNB,W 7-6,,2,4,50.00,47,1,0,132.3,,,11.75,16.75,1,2,2.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
6,7,1948,1948-11-21,9,10,21.338,CHI,@,BOS,W 51-17,,9,18,50.00,113,1,0,88.4,,,6.28,7.39,6,51,8.50,1,,,,,,,1,6,Bobby Layne,LaynBo00
7,8,1948,1948-11-28,10,11,21.345,CHI,,WAS,W 48-13,,1,10,10.00,0,0,1,0.0,,,0.00,-4.50,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
8,9,1948,1948-12-05,11,12,21.352,CHI,@,DET,W 42-14,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Bobby Layne,LaynBo00
10,10,1949,1949-09-30,2,2,22.285,NYY,,NYG,L 14-38,,12,20,60.00,120,0,0,77.1,,,6.00,6.00,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
11,11,1949,1949-10-07,3,3,22.292,NYY,,GNB,L 0-19,,11,20,55.00,97,0,0,68.1,,,4.85,4.85,4,-3,-0.75,0,,,,,,,0,0,Bobby Layne,LaynBo00
12,12,1949,1949-10-16,4,4,22.301,NYY,@,WAS,L 14-38,,13,27,48.15,124,0,0,61.3,,,4.59,4.59,1,11,11.00,1,,,,,,,1,6,Bobby Layne,LaynBo00
13,13,1949,1949-10-23,5,5,22.308,NYY,@,PIT,L 13-24,,17,37,45.95,226,0,2,43.3,,,6.11,3.68,12,48,4.00,1,,,,,,,1,6,Bobby Layne,LaynBo00
14,14,1949,1949-10-30,6,6,22.315,NYY,,WAS,T 14-14,,11,20,55.00,157,2,1,93.1,,,7.85,7.60,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
15,15,1949,1949-11-06,7,7,22.322,NYY,@,NYG,W 31-24,,23,39,58.97,333,2,1,93.2,,,8.54,8.41,1,27,27.00,0,,,,,,,0,0,Bobby Layne,LaynBo00
16,16,1949,1949-11-13,8,8,22.329,NYY,,CRD,L 20-65,,14,33,42.42,213,1,6,34.8,,,6.45,-1.12,,,,,,,,,,,0,0,Bobby Layne,LaynBo00
