,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1952,1952-09-29,1,1,22.266,WAS,@,CRD,W 23-7,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,3,9,3.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
1,2,1952,1952-10-05,2,2,22.272,WAS,@,GNB,L 20-35,,5,13,38.46,112,1,1,63.6,,52,8.62,6.69,1,10,10.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
2,3,1952,1952-10-12,3,3,22.279,WAS,,CRD,L 6-17,,9,17,52.94,51,0,0,58.7,,,3.00,3.00,2,0,0.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
3,4,1952,1952-10-19,4,4,22.286,WAS,@,PIT,W 28-24,,2,5,40.00,52,1,1,78.7,,,10.40,5.40,1,2,2.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
4,5,1952,1952-10-26,5,5,22.293,WAS,@,CLE,L 15-19,*,7,17,41.18,123,0,0,66.5,,28,7.24,7.24,6,6,1.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
5,6,1952,1952-11-02,6,6,22.300,WAS,,PIT,L 23-24,*,14,23,60.87,253,2,2,91.4,,,11.00,8.83,8,45,5.63,1,1,6,0,0,,,Eddie LeBaron,LeBaEd00
6,7,1952,1952-11-09,7,7,22.307,WAS,@,PHI,L 20-38,*,3,10,30.00,16,0,2,0.0,,,1.60,-7.40,5,12,2.40,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
7,8,1952,1952-11-16,8,8,22.314,WAS,,SFO,L 17-23,*,10,18,55.56,127,1,1,73.1,,34,7.06,5.67,7,42,6.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
8,9,1952,1952-11-23,9,9,22.321,WAS,,NYG,L 10-14,*,13,29,44.83,175,0,4,25.0,,,6.03,-0.17,3,10,3.33,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
9,10,1952,1952-11-30,10,10,22.328,WAS,,CLE,L 24-48,*,11,16,68.75,116,3,1,103.1,,18,7.25,8.19,3,10,3.33,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
10,11,1952,1952-12-07,11,11,22.335,WAS,@,NYG,W 27-17,*,13,20,65.00,260,4,1,127.1,,,13.00,14.75,1,10,10.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
11,12,1952,1952-12-14,12,12,22.342,WAS,,PHI,W 27-21,,8,24,33.33,135,2,2,46.4,,,5.63,3.54,3,8,2.67,1,1,6,0,0,,,Eddie LeBaron,LeBaEd00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Eddie LeBaron,LeBaEd00
13,13,1953,1953-09-27,1,1,23.263,WAS,@,CRD,W 24-13,,2,8,25.00,4,0,0,39.6,,10,0.50,0.50,,,,,0,0,0,0,,,Eddie LeBaron,LeBaEd00
14,14,1953,1953-10-02,2,2,23.268,WAS,@,PHI,T 21-21,*,2,5,40.00,25,0,0,56.2,,21,5.00,5.00,1,6,6.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
15,15,1953,1953-10-11,3,3,23.277,WAS,,NYG,W 13-9,,0,5,0.00,0,0,1,0.0,,,0.00,-9.00,,,,,0,0,0,0,,,Eddie LeBaron,LeBaEd00
16,16,1953,1953-10-18,4,4,23.284,WAS,,CLE,L 14-30,,0,1,0.00,0,0,1,0.0,,,0.00,-45.00,2,2,1.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
17,17,1953,1953-10-25,5,5,23.291,WAS,@,BAL,L 17-27,,6,12,50.00,80,0,2,31.9,,,6.67,-0.83,3,11,3.67,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
18,18,1953,1953-11-01,6,6,23.298,WAS,@,CLE,L 3-27,*,14,35,40.00,233,0,4,23.6,,28,6.66,1.51,2,26,13.00,0,0,0,0,0,,,Eddie LeBaron,LeBaEd00
