,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2003,2003-09-07,1,1,,JAX,@,CAR,L 23-24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Byron Leftwich,LeftBy00
1,2,2003,2003-09-14,2,2,23.243,JAX,,BUF,L 17-38,,7,8,87.50,92,1,0,154.2,0,0,11.50,14.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
2,3,2003,2003-09-21,3,3,23.250,JAX,@,IND,L 13-23,,4,5,80.00,32,1,0,132.9,0,0,6.40,10.40,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
3,4,2003,2003-09-28,4,4,23.257,JAX,@,HOU,L 20-24,*,17,36,47.22,231,1,3,42.7,0,0,6.42,3.22,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
4,5,2003,2003-10-05,5,5,23.264,JAX,,SDG,W 27-21,*,19,28,67.86,336,2,0,132.4,3,23,12.00,13.43,2,-1,-0.50,0,0,0,0,,0,0.0%,,0,0,2,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
5,6,2003,2003-10-12,6,6,23.271,JAX,,MIA,L 10-24,*,24,42,57.14,256,0,3,45.3,4,12,6.10,2.88,5,24,4.80,1,0,0,0,,0,0.0%,,1,6,2,1,0,2,0,0,,,,,,,,Byron Leftwich,LeftBy00
6,7,2003,2003-10-26,7,8,23.285,JAX,,TEN,L 17-30,*,15,27,55.56,158,1,2,54.2,2,5,5.85,3.26,0,0,,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
7,8,2003,2003-11-02,8,9,23.292,JAX,@,BAL,L 17-24,*,22,34,64.71,208,1,1,79.0,4,22,6.12,5.38,0,0,,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
8,9,2003,2003-11-09,9,10,23.299,JAX,,IND,W 28-23,*,12,22,54.55,179,1,0,96.6,0,0,8.14,9.05,3,6,2.00,1,0,0,0,,0,0.0%,,1,6,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
9,10,2003,2003-11-16,10,11,23.306,JAX,@,TEN,L 3-10,*,15,31,48.39,151,0,2,35.8,1,6,4.87,1.97,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
10,11,2003,2003-11-23,11,12,23.313,JAX,@,NYJ,L 10-13,*,17,33,51.52,172,0,1,54.1,1,0,5.21,3.85,0,0,,0,0,0,0,,0,0.0%,,0,0,0,,0,0,0,0,,,,,,,,Byron Leftwich,LeftBy00
