,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1981,1981-09-06,1,1,22.201,STL,,MIA,L 7-20,,14,30,46.67,151,0,1,48.1,3,26,5.03,3.53,0,0,,0,0,0,,0,0,0,Neil Lomax,LomaNe00
1,2,1981,1981-09-13,2,2,22.208,STL,@,DAL,L 17-30,*,14,41,34.15,295,1,2,48.3,4,33,7.20,5.49,2,18,9.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
2,3,1981,1981-09-20,3,3,22.215,STL,,WAS,W 40-30,,0,0,,0,0,0,,0,,,,1,-2,-2.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
3,4,1981,1981-09-27,4,4,22.222,STL,@,TAM,L 10-20,,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,0,0,,0,0,0,Neil Lomax,LomaNe00
4,5,1981,1981-10-11,6,6,22.236,STL,@,NYG,L 14-34,,2,3,66.67,26,0,0,93.7,2,20,8.67,8.67,1,8,8.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
5,6,1981,1981-10-18,7,7,22.243,STL,@,ATL,L 20-41,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,1,1,1.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
6,7,1981,1981-11-01,9,9,22.257,STL,@,WAS,L 21-42,,3,8,37.50,29,0,0,48.4,0,0,3.63,3.63,0,0,,0,0,0,,0,0,0,Neil Lomax,LomaNe00
7,8,1981,1981-11-08,10,10,22.264,STL,,PHI,L 10-52,,0,3,0.00,0,0,1,0.0,3,24,0.00,-15.00,0,0,,0,0,0,,0,0,0,Neil Lomax,LomaNe00
8,9,1981,1981-11-15,11,11,22.271,STL,,BUF,W 24-0,*,13,23,56.52,102,1,1,64.0,2,22,4.43,3.35,3,15,5.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
9,10,1981,1981-11-22,12,12,22.278,STL,@,BAL,W 35-24,*,12,21,57.14,219,0,0,93.2,1,8,10.43,10.43,4,24,6.00,1,0,0,,0,1,6,Neil Lomax,LomaNe00
10,11,1981,1981-11-29,13,13,22.285,STL,@,NWE,W 27-20,*,20,28,71.43,280,1,0,115.2,3,25,10.00,10.71,1,2,2.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
11,12,1981,1981-12-06,14,14,22.292,STL,,NOR,W 30-3,*,13,19,68.42,173,0,1,75.1,4,38,9.11,6.74,2,19,9.50,1,0,0,,0,1,6,Neil Lomax,LomaNe00
12,13,1981,1981-12-13,15,15,22.299,STL,,NYG,L 10-20,*,16,31,51.61,163,1,1,64.3,3,33,5.26,4.45,2,6,3.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
13,14,1981,1981-12-20,16,16,22.306,STL,@,PHI,L 0-38,*,11,26,42.31,129,0,3,18.4,7,57,4.96,-0.23,2,13,6.50,0,0,0,,0,0,0,Neil Lomax,LomaNe00
14,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Neil Lomax,LomaNe00
15,15,1982,1982-09-12,1,1,23.207,STL,@,NOR,W 21-7,*,10,18,55.56,92,1,0,88.2,6,38,5.11,6.22,5,7,1.40,0,0,0,,0,0,0,Neil Lomax,LomaNe00
16,16,1982,1982-09-19,2,2,23.214,STL,,DAL,L 7-24,*,22,38,57.89,291,1,1,80.0,5,42,7.66,7.00,3,18,6.00,0,0,0,,0,0,0,Neil Lomax,LomaNe00
17,17,1982,1982-11-21,3,11,23.277,STL,,SFO,L 20-31,*,9,23,39.13,82,1,0,64.0,1,8,3.57,4.43,2,5,2.50,0,0,0,,0,0,0,Neil Lomax,LomaNe00
18,18,1982,1982-11-28,4,12,23.284,STL,@,ATL,W 23-20,*,10,15,66.67,109,0,0,87.9,1,13,7.27,7.27,6,38,6.33,1,0,0,,0,1,6,Neil Lomax,LomaNe00
19,19,1982,1982-12-05,5,13,23.291,STL,@,PHI,W 23-20,*,13,22,59.09,148,0,0,79.4,3,20,6.73,6.73,4,22,5.50,0,1,10,10.00,0,0,0,Neil Lomax,LomaNe00
