,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2012,2012-09-09,1,1,22.363,IND,@,CHI,L 21-41,*,23,45,51.11,309,1,3,52.9,3,16,6.87,4.31,2,9,4.50,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,66,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
1,2,2012,2012-09-16,2,2,23.004,IND,,MIN,W 23-20,*,20,31,64.52,224,2,0,107.5,2,30,7.23,8.52,4,21,5.25,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
2,3,2012,2012-09-23,3,3,23.011,IND,,JAX,L 17-22,*,22,46,47.83,313,2,1,75.7,0,0,6.80,6.70,4,50,12.50,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,80,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
3,4,2012,2012-10-07,4,5,23.025,IND,,GNB,W 30-27,*,31,55,56.36,362,2,1,81.0,4,17,6.58,6.49,6,24,4.00,1,0,0,0,,0,0.0%,,1,6,1,0,0,0,0,0,96,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
4,5,2012,2012-10-14,5,6,23.032,IND,@,NYJ,L 9-35,*,22,44,50.00,280,0,2,51.3,4,23,6.36,4.32,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,71,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
5,6,2012,2012-10-21,6,7,23.039,IND,,CLE,W 17-13,*,16,29,55.17,186,0,0,74.8,3,13,6.41,6.41,3,12,4.00,2,0,0,0,,0,0.0%,,2,12,1,1,0,0,0,0,72,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
6,7,2012,2012-10-28,7,8,23.046,IND,@,TEN,W 19-13,*,26,38,68.42,297,1,1,89.5,2,11,7.82,7.16,6,28,4.67,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,76,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
7,8,2012,2012-11-04,8,9,23.053,IND,,MIA,W 23-20,*,30,48,62.50,433,2,0,105.6,1,14,9.02,9.85,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,0,0,0,80,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
8,9,2012,2012-11-08,9,10,23.057,IND,@,JAX,W 27-10,*,18,26,69.23,227,0,1,80.1,2,6,8.73,7.00,7,11,1.57,2,0,0,0,,0,0.0%,,2,12,1,1,0,0,0,0,67,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
9,10,2012,2012-11-18,10,11,23.067,IND,@,NWE,L 24-59,*,27,50,54.00,334,2,3,63.2,1,5,6.68,4.78,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,1,1,0,0,0,0,78,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
10,11,2012,2012-11-25,11,12,23.074,IND,,BUF,W 20-13,*,20,37,54.05,240,1,1,71.9,4,15,6.49,5.81,6,20,3.33,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
11,12,2012,2012-12-02,12,13,23.081,IND,@,DET,W 35-33,*,24,54,44.44,391,4,3,70.8,2,19,7.24,6.22,3,33,11.00,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,0,0,77,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
12,13,2012,2012-12-09,13,14,23.088,IND,,TEN,W 27-23,*,16,34,47.06,196,1,2,50.6,4,25,5.76,3.71,5,7,1.40,0,0,0,0,,0,0.0%,,0,0,1,0,0,1,-3,0,70,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
13,14,2012,2012-12-16,14,15,23.095,IND,@,HOU,L 17-29,*,13,27,48.15,186,2,0,95.6,5,38,6.89,8.37,2,10,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Andrew Luck,LuckAn00
