,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
0,1,1940,1940-09-22,1,3,23.306,CHI,@,GNB,W 41-10,,,,,,,,,,,,,,,,,0,0,1,15,0,,Sid Luckman,LuckSi00
1,2,1940,1940-10-20,5,7,23.334,CHI,,BKN,W 16-7,,,,,,,,,,,,,,,,,0,0,1,0,0,,Sid Luckman,LuckSi00
2,3,1940,1940-10-27,6,8,23.341,CHI,@,NYG,W 37-21,,,,,,,,,,,,,,,,,0,0,1,2,0,,Sid Luckman,LuckSi00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sid Luckman,LuckSi00
4,4,1941,1941-11-09,7,10,24.353,CHI,,RAM,W 31-13,,,,,,,,,,,,,,,,,0,0,1,3,0,,Sid Luckman,LuckSi00
5,5,1941,1941-11-23,9,12,25.002,CHI,@,DET,W 24-7,,,,,,,,,,,,,,,,,0,0,1,12,0,,Sid Luckman,LuckSi00
6,6,1941,1941-12-07,11,14,25.016,CHI,@,CRD,W 34-24,,,,,,,,,,,,,,,,,0,0,1,37,0,,Sid Luckman,LuckSi00
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sid Luckman,LuckSi00
8,7,1942,1942-10-25,5,7,25.338,CHI,,PHI,W 45-14,,,,,,,,,,,,,,,,,0,0,2,24,0,,Sid Luckman,LuckSi00
9,8,1942,1942-11-15,8,10,25.359,CHI,,GNB,W 38-7,,,,,,,,,,,,,,,,,1,6,1,54,1,,Sid Luckman,LuckSi00
10,9,1942,1942-11-22,9,11,26.001,CHI,@,DET,W 42-0,,,,,,,,,,,,,,,,,0,0,1,18,0,,Sid Luckman,LuckSi00
11,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Sid Luckman,LuckSi00
12,10,1943,1943-09-26,1,2,26.309,CHI,@,GNB,T 21-21,,,,,,,,,,,,,,,,,0,0,1,20,0,,Sid Luckman,LuckSi00
13,11,1943,1943-10-17,4,5,26.330,CHI,,PHI,W 48-21,,,,,,,,,,,,,,,,,0,0,1,19,0,,Sid Luckman,LuckSi00
