,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1987,1987-09-13,1,1,23.200,GNB,,RAI,L 0-20,,2,7,28.57,15,0,0,39.6,0,0,2.14,2.14,0,0,,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
1,2,1987,1987-09-20,2,2,23.207,GNB,,DEN,T 17-17,*,10,21,47.62,121,1,0,81.6,3,21,5.76,6.71,3,16,5.33,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
2,3,1987,1987-10-25,6,7,23.242,GNB,@,DET,W 34-33,*,19,29,65.52,323,1,1,100.2,3,30,11.14,10.28,1,2,2.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
3,4,1987,1987-11-01,7,8,23.249,GNB,,TAM,L 17-23,*,4,14,28.57,43,0,0,39.9,3,14,3.07,3.07,6,51,8.50,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
4,5,1987,1987-11-15,9,10,23.263,GNB,@,SEA,L 13-24,,4,16,25.00,80,0,1,21.9,0,0,5.00,2.19,1,4,4.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
5,6,1987,1987-11-22,10,11,23.270,GNB,@,KAN,W 23-3,*,2,11,18.18,74,0,0,55.1,0,0,6.73,6.73,0,0,,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
6,7,1987,1987-12-27,15,16,23.305,GNB,@,NOR,L 24-33,*,14,29,48.28,219,3,1,93.9,1,12,7.55,8.07,4,54,13.50,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Don Majkowski,MajkDo00
8,8,1988,1988-09-04,1,1,24.192,GNB,,RAM,L 7-34,,5,10,50.00,49,1,1,57.9,1,11,4.90,2.40,1,24,24.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
9,9,1988,1988-09-18,3,3,24.206,GNB,@,MIA,L 17-24,,11,19,57.89,105,0,0,73.4,0,0,5.53,5.53,1,5,5.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
10,10,1988,1988-10-02,5,5,24.220,GNB,@,TAM,L 24-27,,1,1,100.00,56,0,0,118.7,0,0,56.00,56.00,0,0,,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
11,11,1988,1988-10-09,6,6,24.227,GNB,,NWE,W 45-3,*,18,26,69.23,210,1,0,106.2,3,18,8.08,8.85,6,8,1.33,1,1,6,0,,0,0,0,0,,Don Majkowski,MajkDo00
12,12,1988,1988-10-16,7,7,24.234,GNB,@,MIN,W 34-14,*,19,32,59.38,243,0,1,70.2,2,13,7.59,6.19,11,29,2.64,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
13,13,1988,1988-10-23,8,8,24.241,GNB,,WAS,L 17-20,*,8,26,30.77,134,2,0,74.8,3,11,5.15,6.69,3,38,12.67,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
14,14,1988,1988-10-30,9,9,24.248,GNB,@,BUF,L 0-28,*,11,29,37.93,93,0,1,32.7,6,39,3.21,1.66,2,12,6.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
15,15,1988,1988-11-06,10,10,24.255,GNB,@,ATL,L 0-20,*,14,32,43.75,162,0,2,33.6,1,3,5.06,2.25,5,36,7.20,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
16,16,1988,1988-11-13,11,11,24.262,GNB,,IND,L 13-20,*,24,41,58.54,216,1,0,80.9,5,17,5.27,5.76,2,4,2.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
17,17,1988,1988-11-20,12,12,24.269,GNB,,DET,L 9-19,*,30,44,68.18,327,1,1,88.0,3,23,7.43,6.86,2,18,9.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
18,18,1988,1988-11-27,13,13,24.276,GNB,@,CHI,L 0-16,*,14,30,46.67,184,0,2,38.8,4,17,6.13,3.13,1,9,9.00,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
19,19,1988,1988-12-11,15,15,24.290,GNB,,MIN,W 18-6,,5,10,50.00,85,1,1,72.9,1,8,8.50,6.00,7,15,2.14,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
20,20,1988,1988-12-18,16,16,24.297,GNB,@,PHO,W 26-17,*,18,36,50.00,255,2,2,68.6,2,16,7.08,5.69,6,27,4.50,0,0,0,0,,0,0,0,0,,Don Majkowski,MajkDo00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Don Majkowski,MajkDo00
