,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 47_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2015,2015-09-13,1,1,21.318,TEN,@,TAM,W 42-14,*,13,15,86.67,209,4,0,158.3,2,24,13.93,19.27,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,45,80%,0,0%,0,0%,,Marcus Mariota,MariMa01
1,2,2015,2015-09-20,2,2,21.325,TEN,@,CLE,L 14-28,*,21,37,56.76,257,2,0,96.3,7,38,6.95,8.03,3,19,6.33,0,0,0,0,,0,0.0%,,0,0,3,2,0,0,0,0,80,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
2,3,2015,2015-09-27,3,3,21.332,TEN,,IND,L 33-35,*,27,44,61.36,367,2,2,84.2,3,22,8.34,7.20,0,0,,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,81,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
3,4,2015,2015-10-11,4,5,21.346,TEN,,BUF,L 13-14,*,21,32,65.63,187,0,1,68.1,2,8,5.84,4.44,5,47,9.40,0,0,0,0,,0,0.0%,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
4,5,2015,2015-10-18,5,6,21.353,TEN,,MIA,L 10-38,*,21,33,63.64,219,1,2,67.6,5,37,6.64,4.52,0,0,,0,0,0,0,,0,0.0%,,0,0,2,2,0,0,0,0,59,86%,0,0%,0,0%,,Marcus Mariota,MariMa01
5,6,2015,2015-10-25,6,7,,TEN,,ATL,L 7-10,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Mariota,MariMa01
6,7,2015,2015-11-01,7,8,,TEN,@,HOU,L 6-20,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Marcus Mariota,MariMa01
7,8,2015,2015-11-08,8,9,22.009,TEN,@,NOR,W 34-28,*,28,39,71.79,371,4,0,135.7,0,0,9.51,11.56,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0,0,0,1,0,0,71,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
8,9,2015,2015-11-15,9,10,22.016,TEN,,CAR,L 10-27,*,16,24,66.67,185,0,1,72.4,1,7,7.71,5.83,5,24,4.80,0,0,0,0,,0,0.0%,,0,0,2,0,0,1,-10,0,46,100%,0,0%,0,0%,,Marcus Mariota,MariMa01
