,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1987,1987-12-13,13,14,22.126,ATL,@,RAM,L 0-33,,10,20,50.00,170,0,1,58.3,0,0,8.50,6.25,2,13,6.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
1,2,1987,1987-12-20,14,15,22.133,ATL,@,SFO,L 7-35,*,13,36,36.11,186,0,4,14.1,3,21,5.17,0.17,1,3,3.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
2,3,1987,1987-12-27,15,16,22.140,ATL,,DET,L 13-30,*,16,36,44.44,196,1,4,31.5,2,16,5.44,1.00,1,5,5.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
4,4,1988,1988-09-04,1,1,23.026,ATL,@,DET,L 17-31,*,24,36,66.67,205,1,1,79.1,2,22,5.69,5.00,4,49,12.25,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
5,5,1988,1988-09-11,2,2,23.033,ATL,,NOR,L 21-29,*,15,29,51.72,179,2,1,79.5,3,33,6.17,6.00,4,14,3.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
6,6,1988,1988-09-18,3,3,23.040,ATL,@,SFO,W 34-17,*,12,24,50.00,175,0,2,39.4,1,4,7.29,3.54,5,17,3.40,1,,,,,,,1,6,0,,0,0,0,0,,Chris Miller,MillCh00
7,7,1988,1988-09-25,4,4,23.047,ATL,@,DAL,L 20-26,*,10,21,47.62,218,2,1,96.9,4,28,10.38,10.14,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
8,8,1988,1988-10-23,8,8,23.075,ATL,,NYG,L 16-23,*,14,30,46.67,138,0,1,46.3,2,11,4.60,3.10,3,14,4.67,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
9,9,1988,1988-10-30,9,9,23.082,ATL,@,PHI,W 27-24,*,10,23,43.48,235,3,0,120.5,4,33,10.22,12.83,2,9,4.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
10,10,1988,1988-11-06,10,10,23.089,ATL,,GNB,W 20-0,*,15,25,60.00,177,1,2,61.6,0,0,7.08,4.28,3,11,3.67,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
11,11,1988,1988-11-13,11,11,23.096,ATL,,SDG,L 7-10,*,18,38,47.37,201,1,1,61.4,1,13,5.29,4.63,3,7,2.33,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
12,12,1988,1988-11-20,12,12,23.103,ATL,@,RAI,W 12-6,*,18,29,62.07,165,0,0,77.5,2,15,5.69,5.69,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
13,13,1988,1988-11-27,13,13,23.110,ATL,,TAM,W 17-10,*,14,24,58.33,121,1,1,68.2,1,13,5.04,4.00,5,7,1.40,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
14,14,1988,1988-12-04,14,14,23.117,ATL,,SFO,L 3-13,*,13,27,48.15,156,0,1,50.8,3,22,5.78,4.11,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
15,15,1988,1988-12-11,15,15,23.124,ATL,@,RAM,L 7-22,*,7,18,38.89,57,0,1,24.5,0,0,3.17,0.67,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
16,16,1988,1988-12-18,16,16,23.131,ATL,@,NOR,L 9-10,*,14,27,51.85,106,0,0,61.7,1,13,3.93,3.93,2,10,5.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
17,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
18,17,1989,1989-09-10,1,1,24.032,ATL,,RAM,L 21-31,*,23,37,62.16,299,2,0,105.6,5,28,8.08,9.16,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
19,18,1989,1989-09-17,2,2,24.039,ATL,,DAL,W 27-21,*,21,29,72.41,255,0,0,99.1,2,12,8.79,8.79,2,-1,-0.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
20,19,1989,1989-09-24,3,3,24.046,ATL,@,IND,L 9-13,*,10,21,47.62,100,0,0,61.6,2,16,4.76,4.76,2,5,2.50,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
21,20,1989,1989-10-01,4,4,24.053,ATL,@,GNB,L 21-23,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,Chris Miller,MillCh00
22,21,1989,1989-10-08,5,5,24.060,ATL,@,RAM,L 14-26,*,28,39,71.79,340,1,1,96.1,2,25,8.72,8.08,2,2,1.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
23,22,1989,1989-10-15,6,6,24.067,ATL,,NWE,W 16-15,*,19,34,55.88,265,0,1,68.9,4,25,7.79,6.47,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
24,23,1989,1989-10-22,7,7,24.074,ATL,@,PHO,L 20-34,*,24,44,54.55,249,1,0,78.7,2,9,5.66,6.11,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
25,24,1989,1989-10-29,8,8,24.081,ATL,@,NOR,L 13-20,*,15,32,46.88,135,1,0,69.1,6,44,4.22,4.84,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
26,25,1989,1989-11-05,9,9,24.088,ATL,,BUF,W 30-28,*,10,23,43.48,220,1,0,92.7,2,7,9.57,10.43,1,7,7.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
27,26,1989,1989-11-12,10,10,24.095,ATL,@,SFO,L 3-45,*,17,32,53.13,149,0,0,65.8,2,24,4.66,4.66,0,0,,0,,,,1,1,100.0,0,3,0,,0,0,0,0,,Chris Miller,MillCh00
28,27,1989,1989-11-19,11,11,24.102,ATL,,NOR,L 17-26,*,18,38,47.37,232,2,1,73.6,4,42,6.11,5.97,1,0,0.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
29,28,1989,1989-11-26,12,12,24.109,ATL,@,NYJ,L 7-27,*,13,41,31.71,158,1,1,42.5,2,11,3.85,3.24,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
30,29,1989,1989-12-03,13,13,24.116,ATL,,SFO,L 10-23,*,17,32,53.13,231,1,2,60.8,2,17,7.22,5.03,1,0,0.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
31,30,1989,1989-12-10,14,14,24.123,ATL,@,MIN,L 17-43,*,11,23,47.83,182,2,1,85.8,3,32,7.91,7.70,1,7,7.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
32,31,1989,1989-12-17,15,15,24.130,ATL,,WAS,L 30-31,*,17,35,48.57,310,2,2,74.7,2,16,8.86,7.43,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
33,32,1989,1989-12-24,16,16,24.137,ATL,,DET,L 24-31,*,37,66,56.06,334,2,1,73.7,1,10,5.06,4.98,0,0,,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Chris Miller,MillCh00
35,33,1990,1990-09-09,1,1,25.031,ATL,,HOU,W 47-27,*,19,30,63.33,225,1,1,83.3,3,19,7.50,6.67,2,6,3.00,0,,,,,,,0,0,0,,0,0,0,0,,Chris Miller,MillCh00
36,34,1990,1990-09-16,2,2,25.038,ATL,@,DET,L 14-21,*,18,31,58.06,196,1,0,87.6,3,23,6.32,6.97,1,0,0.00,0,,,,,,,0,0,1,,0,0,0,0,,Chris Miller,MillCh00
37,35,1990,1990-09-23,3,3,25.045,ATL,@,SFO,L 13-19,*,25,41,60.98,337,1,2,74.9,4,17,8.22,6.51,2,0,0.00,0,,,,,,,0,0,1,,0,1,0,0,,Chris Miller,MillCh00
