,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 35_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1993,1993-09-05,1,1,23.170,SEA,@,SDG,L 12-18,*,20,27,74.07,154,0,1,72.1,4,13,5.70,4.04,3,36,12.00,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
1,2,1993,1993-09-12,2,2,23.177,SEA,,RAI,L 13-17,*,14,22,63.64,149,0,2,45.5,5,29,6.77,2.68,5,27,5.40,0,,0,0,1,,0,0,0,0,,Rick Mirer,MireRi00
2,3,1993,1993-09-19,3,3,23.184,SEA,@,NWE,W 17-14,*,12,16,75.00,117,1,1,89.8,4,24,7.31,5.75,2,21,10.50,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
3,4,1993,1993-09-26,4,4,23.191,SEA,@,CIN,W 19-10,*,18,30,60.00,181,0,0,77.2,2,15,6.03,6.03,9,17,1.89,0,,0,0,1,,0,0,0,0,,Rick Mirer,MireRi00
4,5,1993,1993-10-03,5,5,23.198,SEA,,SDG,W 31-14,*,25,40,62.50,282,1,0,91.9,2,12,7.05,7.55,3,15,5.00,1,,1,6,0,,0,0,0,0,,Rick Mirer,MireRi00
5,6,1993,1993-10-17,6,7,23.212,SEA,@,DET,L 10-30,*,23,39,58.97,189,1,3,47.9,3,23,4.85,1.90,3,10,3.33,0,,0,0,3,,0,0,0,0,,Rick Mirer,MireRi00
6,7,1993,1993-10-24,7,8,23.219,SEA,,NWE,W 10-9,*,22,43,51.16,203,1,2,52.8,1,9,4.72,3.09,7,12,1.71,0,,0,0,2,,0,2,0,0,,Rick Mirer,MireRi00
7,8,1993,1993-10-31,8,9,23.226,SEA,@,DEN,L 17-28,*,16,30,53.33,201,0,2,46.7,4,17,6.70,3.70,2,4,2.00,0,,0,0,1,,0,0,-11,0,,Rick Mirer,MireRi00
8,9,1993,1993-11-07,9,10,23.233,SEA,@,HOU,L 14-24,*,12,20,60.00,175,1,1,84.4,2,14,8.75,7.50,5,23,4.60,0,,0,0,0,,0,0,0,0,,Rick Mirer,MireRi00
9,10,1993,1993-11-14,10,11,23.240,SEA,,CLE,W 22-5,*,11,27,40.74,114,1,0,66.0,2,10,4.22,4.96,2,-3,-1.50,0,,0,0,1,,0,1,0,0,,Rick Mirer,MireRi00
10,11,1993,1993-11-28,11,13,23.254,SEA,,DEN,L 9-17,*,17,37,45.95,188,1,1,59.3,6,27,5.08,4.41,3,18,6.00,0,,0,0,0,,0,1,0,0,,Rick Mirer,MireRi00
11,12,1993,1993-12-05,12,14,23.261,SEA,,KAN,L 16-31,*,18,30,60.00,287,0,2,64.2,3,12,9.57,6.57,2,19,9.50,0,,0,0,2,,0,1,0,0,,Rick Mirer,MireRi00
12,13,1993,1993-12-12,13,15,23.268,SEA,@,RAI,L 23-27,*,20,36,55.56,171,1,1,65.9,1,2,4.75,4.06,9,52,5.78,1,,1,6,0,,0,0,0,0,,Rick Mirer,MireRi00
13,14,1993,1993-12-19,14,16,23.275,SEA,,PHO,L 27-30,*,15,30,50.00,165,1,0,77.8,2,12,5.50,6.17,5,18,3.60,1,,1,6,0,,0,0,0,0,,Rick Mirer,MireRi00
