,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1956,1956-09-30,1,1,22.136,SFO,,NYG,L 21-38,,3,6,50.00,64,0,0,88.2,,,10.67,10.67,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
1,2,1956,1956-10-07,2,2,22.143,SFO,,RAM,W 33-30,,3,7,42.86,18,0,0,50.3,,,2.57,2.57,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
2,3,1956,1956-10-14,3,3,22.150,SFO,@,CHI,L 7-31,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
3,4,1956,1956-10-21,4,4,22.157,SFO,@,DET,L 17-20,,2,6,33.33,28,0,1,9.7,,,4.67,-2.83,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
4,5,1956,1956-10-28,5,5,22.164,SFO,,CHI,L 21-38,*,7,12,58.33,148,1,1,95.1,,18,12.33,10.25,1,8,8.00,0,0,0,0,0,,,Earl Morrall,MorrEa00
5,6,1956,1956-11-04,6,6,22.171,SFO,,DET,L 13-17,*,11,20,55.00,161,0,0,81.5,,8,8.05,8.05,3,4,1.33,0,0,0,0,0,,,Earl Morrall,MorrEa00
6,7,1956,1956-11-11,7,7,22.178,SFO,@,RAM,L 6-30,*,11,20,55.00,186,0,3,47.1,,10,9.30,2.55,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
7,8,1956,1956-11-18,8,8,22.185,SFO,@,GNB,W 17-16,*,1,4,25.00,16,0,0,43.7,,,4.00,4.00,1,-4,-4.00,0,0,0,0,0,,,Earl Morrall,MorrEa00
8,9,1956,1956-11-25,9,9,22.192,SFO,@,PHI,T 10-10,,0,1,0.00,0,0,1,0.0,,,0.00,-45.00,,,,,0,0,0,0,,,Earl Morrall,MorrEa00
9,10,1956,1956-12-08,11,11,22.205,SFO,,GNB,W 38-20,,,,,,,,,,,,,1,2,2.00,0,0,0,0,0,,,Earl Morrall,MorrEa00
