,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1964,1964-09-13,1,1,23.033,RAM,@,PIT,W 26-14,*,8,23,34.78,55,1,0,58.1,5,28,2.39,3.26,2,21,10.50,0,,,,,0,0,Bill Munson,MunsBi00
1,2,1964,1964-09-19,2,2,23.039,RAM,,DET,T 17-17,*,18,32,56.25,224,2,2,72.9,4,33,7.00,5.44,2,5,2.50,0,,,,,0,0,Bill Munson,MunsBi00
2,3,1964,1964-09-27,3,3,23.047,RAM,,MIN,W 22-13,*,9,18,50.00,170,1,1,78.5,3,14,9.44,8.06,,,,,,,,,0,0,Bill Munson,MunsBi00
3,4,1964,1964-10-04,4,4,23.054,RAM,@,BAL,L 20-35,*,18,32,56.25,256,1,1,79.7,6,51,8.00,7.22,2,31,15.50,0,,,,,0,0,Bill Munson,MunsBi00
4,5,1964,1964-10-11,5,5,23.061,RAM,@,CHI,L 17-38,*,4,15,26.67,42,0,4,0.0,2,27,2.80,-9.20,1,0,0.00,0,,,,,0,0,Bill Munson,MunsBi00
5,6,1964,1964-11-01,8,8,23.082,RAM,@,DET,L 17-37,,3,7,42.86,46,0,1,25.6,0,0,6.57,0.14,,,,,,,,,0,0,Bill Munson,MunsBi00
6,7,1964,1964-11-08,9,9,23.089,RAM,,PHI,W 20-10,,3,6,50.00,87,0,0,95.8,1,1,14.50,14.50,1,9,9.00,0,,,,,0,0,Bill Munson,MunsBi00
7,8,1964,1964-11-22,11,11,23.103,RAM,,BAL,L 7-24,,7,11,63.64,92,1,0,120.3,5,46,8.36,10.18,3,10,3.33,0,,,,,0,0,Bill Munson,MunsBi00
8,9,1964,1964-11-29,12,12,23.110,RAM,@,MIN,L 13-34,*,11,27,40.74,166,1,2,43.1,1,8,6.15,3.56,6,62,10.33,0,,,,,0,0,Bill Munson,MunsBi00
9,10,1964,1964-12-06,13,13,23.117,RAM,@,SFO,L 7-28,*,19,36,52.78,245,1,2,60.5,10,62,6.81,4.86,1,4,4.00,0,,,,,0,0,Bill Munson,MunsBi00
10,11,1964,1964-12-13,14,14,23.124,RAM,,GNB,T 24-24,*,8,16,50.00,150,1,2,64.1,5,37,9.38,5.00,1,8,8.00,0,,,,,0,0,Bill Munson,MunsBi00
11,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Munson,MunsBi00
12,12,1965,1965-09-19,1,1,24.039,RAM,@,DET,L 0-20,*,8,19,42.11,85,0,3,16.2,4,31,4.47,-2.63,4,16,4.00,0,,,,,0,0,Bill Munson,MunsBi00
13,13,1965,1965-09-26,2,2,24.046,RAM,,CHI,W 30-28,*,27,45,60.00,295,2,0,94.2,0,0,6.56,7.44,6,32,5.33,1,,,,,1,6,Bill Munson,MunsBi00
14,14,1965,1965-10-03,3,3,24.053,RAM,,MIN,L 35-38,*,13,18,72.22,161,3,1,116.0,0,0,8.94,9.78,,,,,,,,,0,0,Bill Munson,MunsBi00
15,15,1965,1965-10-10,4,4,24.060,RAM,@,CHI,L 6-31,*,11,26,42.31,145,0,2,28.5,1,5,5.58,2.12,5,5,1.00,0,,,,,0,0,Bill Munson,MunsBi00
16,16,1965,1965-10-17,5,5,24.067,RAM,,SFO,L 21-45,*,17,34,50.00,155,0,1,50.5,5,41,4.56,3.24,1,10,10.00,0,,,,,0,0,Bill Munson,MunsBi00
17,17,1965,1965-10-24,6,6,24.074,RAM,@,BAL,L 20-35,*,13,25,52.00,170,2,1,83.7,1,8,6.80,6.60,2,13,6.50,0,,,,,0,0,Bill Munson,MunsBi00
18,18,1965,1965-10-31,7,7,24.081,RAM,,DET,L 7-31,*,16,29,55.17,225,1,3,52.3,3,24,7.76,3.79,1,-9,-9.00,0,,,,,0,0,Bill Munson,MunsBi00
19,19,1965,1965-11-07,8,8,24.088,RAM,@,MIN,L 13-24,*,23,40,57.50,266,1,1,75.6,7,66,6.65,6.03,5,72,14.40,0,,,,,0,0,Bill Munson,MunsBi00
20,20,1965,1965-11-14,9,9,24.095,RAM,@,GNB,L 3-6,*,7,16,43.75,69,0,1,30.5,5,43,4.31,1.50,2,18,9.00,0,,,,,0,0,Bill Munson,MunsBi00
21,21,1965,1965-11-21,10,10,24.102,RAM,@,SFO,L 27-30,*,9,15,60.00,130,1,1,82.6,0,0,8.67,7.00,,,,,,,,,0,0,Bill Munson,MunsBi00
22,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Munson,MunsBi00
23,22,1966,1966-09-30,4,4,25.050,RAM,,SFO,W 34-3,,2,5,40.00,15,0,0,47.9,0,0,3.00,3.00,,,,,,,,,0,0,Bill Munson,MunsBi00
24,23,1966,1966-10-16,6,6,25.066,RAM,@,MIN,L 7-35,,7,11,63.64,64,0,0,79.4,2,9,5.82,5.82,,,,,,,,,0,0,Bill Munson,MunsBi00
25,24,1966,1966-10-23,7,7,25.073,RAM,@,CHI,L 10-17,,6,13,46.15,54,0,0,57.9,2,13,4.15,4.15,1,2,2.00,0,,,,,0,0,Bill Munson,MunsBi00
26,25,1966,1966-10-30,8,8,25.080,RAM,,BAL,L 3-17,,12,17,70.59,118,0,1,65.3,2,10,6.94,4.29,2,-1,-0.50,0,,,,,0,0,Bill Munson,MunsBi00
27,26,1966,1966-11-13,10,10,25.094,RAM,,NYG,W 55-14,,3,4,75.00,33,2,0,138.5,0,0,8.25,18.25,1,2,2.00,0,,,,,0,0,Bill Munson,MunsBi00
28,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Munson,MunsBi00
29,27,1967,1967-09-22,2,2,26.042,RAM,,MIN,W 39-3,,3,6,50.00,18,1,1,56.2,1,12,3.00,-1.17,,,,,,,,,0,0,Bill Munson,MunsBi00
30,28,1967,1967-10-01,3,3,26.051,RAM,@,DAL,W 35-13,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,0,0,Bill Munson,MunsBi00
31,29,1967,1967-11-12,9,9,26.093,RAM,,PHI,W 33-17,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,2,-22,-11.00,0,,,,,0,0,Bill Munson,MunsBi00
32,30,1967,1967-11-19,10,10,26.100,RAM,@,ATL,W 31-3,,2,2,100.00,20,0,0,108.3,0,0,10.00,10.00,,,,,,,,,0,0,Bill Munson,MunsBi00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Munson,MunsBi00
34,31,1968,1968-09-22,2,2,27.042,DET,,CHI,W 42-0,*,15,23,65.22,279,3,1,128.4,4,25,12.13,12.78,4,23,5.75,1,,,,,1,6,Bill Munson,MunsBi00
