,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1963,1963-09-22,2,2,22.236,PIT,,NYG,W 31-0,,0,2,0.00,0,0,0,39.6,1,11,0.00,0.00,,,,,,,,,0,0,Bill Nelsen,NelsBi00
1,2,1963,1963-12-15,14,14,22.320,PIT,@,NYG,L 17-33,,,,,,,,,0,0,,,1,-6,-6.00,0,,,,,0,0,Bill Nelsen,NelsBi00
2,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Nelsen,NelsBi00
3,3,1964,1964-09-13,1,1,23.228,PIT,,RAM,L 14-26,,0,3,0.00,0,0,1,0.0,0,0,0.00,-15.00,,,,,,,,,0,0,Bill Nelsen,NelsBi00
4,4,1964,1964-10-25,7,7,23.270,PIT,,PHI,L 10-34,,2,4,50.00,37,0,0,82.3,1,9,9.25,9.25,,,,,,,,,0,0,Bill Nelsen,NelsBi00
5,5,1964,1964-11-08,9,9,23.284,PIT,@,STL,L 30-34,,10,19,52.63,170,2,1,96.4,2,16,8.95,8.68,1,-1,-1.00,0,,,,,0,0,Bill Nelsen,NelsBi00
6,6,1964,1964-11-15,10,10,23.291,PIT,,WAS,L 0-30,*,4,15,26.67,69,0,1,18.5,2,22,4.60,1.60,2,18,9.00,0,,,,,0,0,Bill Nelsen,NelsBi00
7,7,1964,1964-11-22,11,11,23.298,PIT,@,NYG,W 44-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,0,0,Bill Nelsen,NelsBi00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Nelsen,NelsBi00
9,8,1965,1965-09-19,1,1,24.233,PIT,,GNB,L 9-41,*,7,26,26.92,122,0,3,7.1,3,19,4.69,-0.50,3,5,1.67,0,,,,,0,0,Bill Nelsen,NelsBi00
10,9,1965,1965-09-26,2,2,24.240,PIT,@,SFO,L 17-27,*,10,20,50.00,174,0,2,40.4,1,16,8.70,4.20,1,1,1.00,0,,,,,0,0,Bill Nelsen,NelsBi00
11,10,1965,1965-10-03,3,3,24.247,PIT,,NYG,L 13-23,*,17,28,60.71,263,0,2,62.1,3,13,9.39,6.18,1,1,1.00,0,,,,,0,0,Bill Nelsen,NelsBi00
12,11,1965,1965-10-09,4,4,24.253,PIT,@,CLE,L 19-24,*,9,20,45.00,92,0,0,58.7,2,15,4.60,4.60,6,4,0.67,1,,,,,1,6,Bill Nelsen,NelsBi00
13,12,1965,1965-10-17,5,5,24.261,PIT,,STL,L 7-20,*,6,20,30.00,51,0,1,18.7,7,67,2.55,0.30,2,15,7.50,0,,,,,0,0,Bill Nelsen,NelsBi00
14,13,1965,1965-10-24,6,6,24.268,PIT,@,PHI,W 20-14,*,6,16,37.50,79,1,1,48.7,2,7,4.94,3.38,2,7,3.50,0,,,,,0,0,Bill Nelsen,NelsBi00
15,14,1965,1965-10-31,7,7,24.275,PIT,,DAL,W 22-13,*,18,35,51.43,272,3,1,94.0,4,27,7.77,8.20,2,7,3.50,0,1,-5,-5.00,0,0,0,Bill Nelsen,NelsBi00
16,15,1965,1965-11-07,8,8,24.282,PIT,@,STL,L 17-21,*,15,26,57.69,216,1,1,81.6,2,15,8.31,7.35,2,-1,-0.50,0,,,,,0,0,Bill Nelsen,NelsBi00
17,16,1965,1965-11-14,9,9,24.289,PIT,@,DAL,L 17-24,*,11,25,44.00,172,0,2,34.1,4,25,6.88,3.28,5,10,2.00,0,,,,,0,0,Bill Nelsen,NelsBi00
18,17,1965,1965-11-28,11,11,24.303,PIT,,CLE,L 21-42,*,9,22,40.91,285,3,0,127.8,7,64,12.95,15.68,1,14,14.00,0,,,,,0,0,Bill Nelsen,NelsBi00
19,18,1965,1965-12-05,12,12,24.310,PIT,@,NYG,L 10-35,*,11,27,40.74,164,0,2,30.5,7,65,6.07,2.74,1,21,21.00,0,,,,,0,0,Bill Nelsen,NelsBi00
20,19,1965,1965-12-12,13,13,24.317,PIT,,PHI,L 13-47,*,2,5,40.00,27,0,2,18.3,0,0,5.40,-12.60,,,,,,,,,0,0,Bill Nelsen,NelsBi00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Nelsen,NelsBi00
22,20,1966,1966-09-11,1,1,25.225,PIT,,NYG,T 34-34,*,16,27,59.26,265,3,0,129.4,3,24,9.81,12.04,2,5,2.50,0,,,,,0,0,Bill Nelsen,NelsBi00
23,21,1966,1966-09-18,2,2,25.232,PIT,,DET,W 17-3,*,2,4,50.00,6,0,0,56.2,2,20,1.50,1.50,1,9,9.00,0,,,,,0,0,Bill Nelsen,NelsBi00
24,22,1966,1966-12-04,12,13,25.309,PIT,@,PHI,L 23-27,*,11,25,44.00,195,0,0,71.2,4,40,7.80,7.80,1,-1,-1.00,0,,,,,0,0,Bill Nelsen,NelsBi00
25,23,1966,1966-12-11,13,14,25.316,PIT,@,NYG,W 47-28,*,17,31,54.84,322,2,1,99.1,4,30,10.39,10.23,2,5,2.50,0,,,,,0,0,Bill Nelsen,NelsBi00
26,24,1966,1966-12-18,14,15,25.323,PIT,@,ATL,W 57-33,*,17,25,68.00,334,2,0,137.5,2,27,13.36,14.96,,,,,,,,,0,0,Bill Nelsen,NelsBi00
27,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Nelsen,NelsBi00
28,25,1967,1967-09-17,1,1,26.231,PIT,,CHI,W 41-13,*,14,23,60.87,223,2,1,104.1,4,34,9.70,9.48,2,-9,-4.50,0,,,,,0,0,Bill Nelsen,NelsBi00
29,26,1967,1967-09-24,2,2,26.238,PIT,,STL,L 14-28,*,8,25,32.00,130,1,3,24.2,5,33,5.20,0.60,1,-5,-5.00,0,,,,,0,0,Bill Nelsen,NelsBi00
30,27,1967,1967-10-29,7,7,26.273,PIT,@,NOR,W 14-10,,5,6,83.33,41,1,0,134.7,0,0,6.83,10.17,,,,,,,,,0,0,Bill Nelsen,NelsBi00
31,28,1967,1967-11-05,8,8,26.280,PIT,,CLE,L 14-34,,10,22,45.45,214,2,1,91.9,3,25,9.73,9.50,2,-14,-7.00,0,,,,,0,0,Bill Nelsen,NelsBi00
32,29,1967,1967-11-12,9,9,26.287,PIT,@,STL,T 14-14,*,17,32,53.13,233,1,1,74.1,4,41,7.28,6.50,2,-5,-2.50,0,,,,,0,0,Bill Nelsen,NelsBi00
33,30,1967,1967-11-19,10,10,26.294,PIT,@,NYG,L 20-28,*,16,42,38.10,240,2,1,63.6,3,30,5.71,5.60,1,11,11.00,0,,,,,0,0,Bill Nelsen,NelsBi00
34,31,1967,1967-11-26,11,11,26.301,PIT,,MIN,L 27-41,*,4,15,26.67,44,1,2,22.2,3,23,2.93,-1.73,1,3,3.00,0,,,,,0,0,Bill Nelsen,NelsBi00
35,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Bill Nelsen,NelsBi00
36,32,1968,1968-09-22,2,2,27.237,CLE,@,DAL,L 7-28,,2,2,100.00,3,0,0,79.2,1,5,1.50,1.50,,,,,,,,,0,0,Bill Nelsen,NelsBi00
37,33,1968,1968-09-29,3,3,27.244,CLE,,RAM,L 6-24,,1,2,50.00,-6,0,0,56.2,0,0,-3.00,-3.00,,,,,,,,,0,0,Bill Nelsen,NelsBi00
38,34,1968,1968-10-05,4,4,27.250,CLE,,PIT,W 31-24,*,16,25,64.00,190,1,1,83.7,0,0,7.60,6.60,2,-3,-1.50,0,,,,,0,0,Bill Nelsen,NelsBi00
39,35,1968,1968-10-13,5,5,27.258,CLE,,STL,L 21-27,*,17,39,43.59,324,2,2,68.7,1,13,8.31,7.03,1,1,1.00,1,,,,,1,6,Bill Nelsen,NelsBi00
40,36,1968,1968-10-20,6,6,27.265,CLE,@,BAL,W 30-20,*,15,23,65.22,137,3,0,120.8,2,11,5.96,8.57,4,32,8.00,0,,,,,0,0,Bill Nelsen,NelsBi00
41,37,1968,1968-10-27,7,7,27.272,CLE,,ATL,W 30-7,*,18,27,66.67,248,1,0,108.3,0,0,9.19,9.93,,,,,,,,,0,0,Bill Nelsen,NelsBi00
42,38,1968,1968-11-03,8,8,27.279,CLE,@,SFO,W 33-21,*,11,33,33.33,148,2,2,43.5,1,10,4.48,2.97,,,,,,,,,0,0,Bill Nelsen,NelsBi00
43,39,1968,1968-11-10,9,9,27.286,CLE,,NOR,W 35-17,*,10,24,41.67,262,4,3,82.3,2,17,10.92,8.63,1,0,0.00,0,,,,,0,0,Bill Nelsen,NelsBi00
44,40,1968,1968-11-17,10,10,27.293,CLE,@,PIT,W 45-24,*,18,27,66.67,258,3,1,119.1,0,0,9.56,10.11,1,-2,-2.00,0,,,,,0,0,Bill Nelsen,NelsBi00
45,41,1968,1968-11-24,11,11,27.300,CLE,,PHI,W 47-13,*,10,21,47.62,177,1,0,92.8,1,9,8.43,9.38,1,0,0.00,0,,,,,0,0,Bill Nelsen,NelsBi00
46,42,1968,1968-12-01,12,12,27.307,CLE,,NYG,W 45-10,*,13,25,52.00,204,1,0,92.7,1,10,8.16,8.96,,,,,,,,,0,0,Bill Nelsen,NelsBi00
47,43,1968,1968-12-08,13,13,27.314,CLE,@,WAS,W 24-21,*,12,22,54.55,205,1,1,82.6,0,0,9.32,8.18,1,1,1.00,0,,,,,0,0,Bill Nelsen,NelsBi00
48,44,1968,1968-12-14,14,14,27.320,CLE,@,STL,L 16-27,*,9,23,39.13,216,0,0,73.8,2,27,9.39,9.39,2,1,0.50,0,,,,,0,0,Bill Nelsen,NelsBi00
