,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2011,2011-09-11,1,1,22.123,CAR,@,ARI,L 21-28,*,24,37,64.86,422,2,1,110.4,4,19,11.41,11.27,8,18,2.25,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
1,2,2011,2011-09-18,2,2,22.130,CAR,,GNB,L 23-30,*,28,46,60.87,432,1,3,72.0,4,28,9.39,6.89,10,53,5.30,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
2,3,2011,2011-09-25,3,3,22.137,CAR,,JAX,W 16-10,*,18,34,52.94,158,1,0,75.4,0,0,4.65,5.24,7,27,3.86,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
3,4,2011,2011-10-02,4,4,22.144,CAR,@,CHI,L 29-34,*,27,46,58.70,374,1,1,83.1,0,0,8.13,7.59,8,35,4.38,2,0,0,0,,0,0.0%,,,2,12,1,0,0,1,-3,0,,,,,,,,Cam Newton,NewtCa00
4,5,2011,2011-10-09,5,5,22.151,CAR,,NOR,L 27-30,*,16,31,51.61,224,2,1,83.3,1,5,7.23,7.06,7,27,3.86,1,0,0,0,,0,0.0%,,,1,6,1,0,0,1,0,0,,,,,,,,Cam Newton,NewtCa00
5,6,2011,2011-10-16,6,6,22.158,CAR,@,ATL,L 17-31,*,21,35,60.00,237,0,3,44.6,1,8,6.77,2.91,7,47,6.71,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
6,7,2011,2011-10-23,7,7,22.165,CAR,,WAS,W 33-20,*,18,23,78.26,256,1,0,127.5,4,24,11.13,12.00,10,59,5.90,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
7,8,2011,2011-10-30,8,8,22.172,CAR,,MIN,L 21-24,*,22,35,62.86,290,3,0,117.6,3,25,8.29,10.00,6,53,8.83,0,0,0,0,,0,0.0%,,,0,0,2,2,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
8,9,2011,2011-11-13,9,10,22.186,CAR,,TEN,L 3-30,*,23,40,57.50,212,0,1,61.7,5,46,5.30,4.18,7,55,7.86,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-1,0,,,,,,,,Cam Newton,NewtCa00
9,10,2011,2011-11-20,10,11,22.193,CAR,@,DET,L 35-49,*,22,38,57.89,280,1,4,50.2,1,8,7.37,3.16,7,37,5.29,2,0,0,0,,0,0.0%,,,2,12,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
10,11,2011,2011-11-27,11,12,22.200,CAR,@,IND,W 27-19,*,20,27,74.07,208,0,0,95.9,3,32,7.70,7.70,9,53,5.89,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
11,12,2011,2011-12-04,12,13,22.207,CAR,@,TAM,W 38-19,*,12,21,57.14,204,1,0,106.1,2,9,9.71,10.67,14,54,3.86,3,1,1,27,27.00,0,100.0%,27.00,,3,18,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
12,13,2011,2011-12-11,13,14,22.214,CAR,,ATL,L 23-31,*,19,39,48.72,276,2,2,67.9,2,17,7.08,5.79,7,36,5.14,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
13,14,2011,2011-12-18,14,15,22.221,CAR,@,HOU,W 28-13,*,13,23,56.52,149,2,0,105.2,2,10,6.48,8.22,7,55,7.86,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
14,15,2011,2011-12-24,15,16,22.227,CAR,,TAM,W 48-16,*,12,17,70.59,171,3,0,142.4,1,8,10.06,13.59,6,65,10.83,1,0,0,0,,0,0.0%,,,1,6,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
15,16,2011,2012-01-01,16,17,22.235,CAR,@,NOR,L 17-45,*,15,25,60.00,158,1,1,75.1,2,21,6.32,5.32,6,32,5.33,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Cam Newton,NewtCa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
17,17,2012,2012-09-09,1,1,23.121,CAR,@,TAM,L 10-16,*,23,33,69.70,303,1,2,83.3,3,12,9.18,7.06,5,4,0.80,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,50,100%,0,0%,0,0%,,Cam Newton,NewtCa00
18,18,2012,2012-09-16,2,2,23.128,CAR,,NOR,W 35-27,*,14,20,70.00,253,1,0,129.2,1,9,12.65,13.65,13,71,5.46,1,0,0,0,,0,0.0%,,,1,6,1,1,0,0,-4,0,63,100%,0,0%,0,0%,,Cam Newton,NewtCa00
19,19,2012,2012-09-20,3,3,23.132,CAR,,NYG,L 7-36,*,16,30,53.33,242,0,3,40.6,2,21,8.07,3.57,6,6,1.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,54,93%,0,0%,0,0%,,Cam Newton,NewtCa00
20,20,2012,2012-09-30,4,4,23.142,CAR,@,ATL,L 28-30,*,15,24,62.50,215,2,0,119.3,3,10,8.96,10.63,9,86,9.56,1,0,0,0,,0,0.0%,,,1,6,2,0,0,0,0,0,64,100%,0,0%,0,0%,,Cam Newton,NewtCa00
21,21,2012,2012-10-07,5,5,23.149,CAR,,SEA,L 12-16,*,12,29,41.38,141,0,0,56.8,4,33,4.86,4.86,7,42,6.00,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,,Cam Newton,NewtCa00
22,22,2012,2012-10-21,6,7,23.163,CAR,,DAL,L 14-19,*,21,37,56.76,233,1,1,73.4,2,17,6.30,5.62,6,64,10.67,0,1,0,6,,0,0.0%,6.00,,0,0,1,1,0,0,0,0,62,100%,0,0%,0,0%,,Cam Newton,NewtCa00
23,23,2012,2012-10-28,7,8,23.170,CAR,@,CHI,L 22-23,*,20,39,51.28,314,0,2,57.0,2,17,8.05,5.74,5,37,7.40,0,0,0,0,,0,0.0%,,,0,0,2,0,0,0,0,0,82,100%,0,0%,0,0%,,Cam Newton,NewtCa00
24,24,2012,2012-11-04,8,9,23.177,CAR,@,WAS,W 21-13,*,13,23,56.52,201,1,0,100.1,0,0,8.74,9.61,8,37,4.63,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,54,100%,0,0%,0,0%,,Cam Newton,NewtCa00
25,25,2012,2012-11-11,9,10,23.184,CAR,,DEN,L 14-36,*,21,36,58.33,241,2,2,74.0,7,43,6.69,5.31,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,0,0,70,100%,0,0%,0,0%,,Cam Newton,NewtCa00
26,26,2012,2012-11-18,10,11,23.191,CAR,,TAM,L 21-27,*,16,29,55.17,252,1,0,95.8,2,18,8.69,9.38,11,40,3.64,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Cam Newton,NewtCa00
27,27,2012,2012-11-26,11,12,23.199,CAR,@,PHI,W 30-22,*,18,28,64.29,306,2,0,125.0,2,17,10.93,12.36,14,52,3.71,2,0,0,0,,0,0.0%,,,2,12,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Cam Newton,NewtCa00
28,28,2012,2012-12-02,12,13,23.205,CAR,@,KAN,L 21-27,*,15,27,55.56,232,3,0,121.2,2,12,8.59,10.81,7,78,11.14,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,51,100%,0,0%,0,0%,,Cam Newton,NewtCa00
29,29,2012,2012-12-09,13,14,23.212,CAR,,ATL,W 30-20,*,23,35,65.71,287,2,0,110.1,1,7,8.20,9.34,9,116,12.89,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,70,100%,0,0%,0,0%,,Cam Newton,NewtCa00
30,30,2012,2012-12-16,14,15,23.219,CAR,@,SDG,W 31-7,*,19,33,57.58,231,2,0,99.4,2,14,7.00,8.21,4,7,1.75,0,0,0,0,,0,0.0%,,,0,0,1,0,0,1,-4,0,77,100%,0,0%,0,0%,,Cam Newton,NewtCa00
31,31,2012,2012-12-23,15,16,23.226,CAR,,OAK,W 17-6,*,18,29,62.07,170,1,1,75.4,2,11,5.86,5.00,12,60,5.00,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Cam Newton,NewtCa00
32,32,2012,2012-12-30,16,17,23.233,CAR,@,NOR,W 44-38,*,16,33,48.48,248,0,1,61.2,1,3,7.52,6.15,7,34,4.86,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,71,93%,0,0%,0,0%,,Cam Newton,NewtCa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Cam Newton,NewtCa00
34,33,2013,2013-09-08,1,1,24.120,CAR,,SEA,L 7-12,*,16,23,69.57,125,1,0,97.2,1,6,5.43,6.30,5,38,7.60,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,52,100%,0,0%,0,0%,,Cam Newton,NewtCa00
35,34,2013,2013-09-15,2,2,24.127,CAR,@,BUF,L 23-24,*,21,38,55.26,229,2,1,79.8,6,46,6.03,5.89,4,15,3.75,0,0,0,0,,0,0.0%,,,0,0,0,0,0,0,0,0,79,100%,0,0%,0,0%,,Cam Newton,NewtCa00
36,35,2013,2013-09-22,3,3,24.134,CAR,,NYG,W 38-0,*,15,27,55.56,223,3,1,104.4,1,15,8.26,8.81,7,45,6.43,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,71,93%,0,0%,0,0%,,Cam Newton,NewtCa00
37,36,2013,2013-10-06,4,5,24.148,CAR,@,ARI,L 6-22,*,21,39,53.85,308,0,3,47.8,7,50,7.90,4.44,4,25,6.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,68,100%,0,0%,0,0%,,Cam Newton,NewtCa00
38,37,2013,2013-10-13,5,6,24.155,CAR,@,MIN,W 35-10,*,20,26,76.92,242,3,0,143.4,1,6,9.31,11.62,9,30,3.33,1,0,0,0,,0,0.0%,,,1,6,0,0,0,0,0,0,65,93%,0,0%,0,0%,,Cam Newton,NewtCa00
39,38,2013,2013-10-20,6,7,24.162,CAR,,STL,W 30-15,*,15,17,88.24,204,1,0,136.3,2,24,12.00,13.18,10,26,2.60,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-3,0,58,98%,0,0%,0,0%,,Cam Newton,NewtCa00
