,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1958,1958-10-05,2,2,22.193,CLE,@,PIT,W 45-12,,3,7,42.86,45,1,2,64.6,,16,6.43,-3.57,,,,,0,0,Jim Ninowski,NinoJi00
1,2,1958,1958-10-19,4,4,22.207,CLE,,PIT,W 27-10,,1,2,50.00,34,0,0,95.8,,11,17.00,17.00,2,1,0.50,0,0,0,Jim Ninowski,NinoJi00
2,3,1958,1958-11-09,7,7,22.228,CLE,,DET,L 10-30,*,4,8,50.00,60,0,1,35.4,,5,7.50,1.88,,,,,0,0,Jim Ninowski,NinoJi00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
4,4,1959,1959-10-25,5,5,23.213,CLE,,WAS,W 34-7,,3,5,60.00,41,0,0,86.2,,10,8.20,8.20,1,11,11.00,0,0,0,Jim Ninowski,NinoJi00
5,5,1959,1959-12-06,11,11,23.255,CLE,@,NYG,L 7-48,,0,5,0.00,0,0,1,0.0,,,0.00,-9.00,,,,,0,0,Jim Ninowski,NinoJi00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Ninowski,NinoJi00
7,6,1960,1960-10-02,1,2,24.190,DET,@,GNB,L 9-28,*,18,32,56.25,203,0,1,62.4,,,6.34,4.94,5,17,3.40,0,0,0,Jim Ninowski,NinoJi00
8,7,1960,1960-10-09,2,3,24.197,DET,,SFO,L 10-14,*,13,22,59.09,135,0,1,58.0,,,6.14,4.09,4,19,4.75,0,0,0,Jim Ninowski,NinoJi00
9,8,1960,1960-10-16,3,4,24.204,DET,@,PHI,L 10-28,*,7,22,31.82,99,0,3,7.8,3,26,4.50,-1.64,4,19,4.75,0,0,0,Jim Ninowski,NinoJi00
10,9,1960,1960-10-23,4,5,24.211,DET,,BAL,W 30-17,*,7,17,41.18,145,0,0,71.9,1,13,8.53,8.53,3,6,2.00,1,1,6,Jim Ninowski,NinoJi00
11,10,1960,1960-10-30,5,6,24.218,DET,@,RAM,L 35-48,*,22,45,48.89,242,0,5,25.6,,,5.38,0.38,8,25,3.13,3,3,18,Jim Ninowski,NinoJi00
