,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2005,2005-09-11,1,1,22.301,CHI,@,WAS,L 7-9,*,15,28,53.57,141,0,1,52.8,3,16,5.04,3.43,0,0,,0,0,0,2,1,0,1,0,0,,,,,,,,Kyle Orton,OrtoKy00
1,2,2005,2005-09-18,2,2,22.308,CHI,,DET,W 38-6,*,14,21,66.67,150,1,0,103.3,2,12,7.14,8.10,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
2,3,2005,2005-09-25,3,3,22.315,CHI,,CIN,L 7-24,*,17,39,43.59,149,0,5,14.7,0,0,3.82,-1.95,1,0,0.00,0,0,0,1,0,0,1,-1,0,,,,,,,,Kyle Orton,OrtoKy00
3,4,2005,2005-10-09,4,5,22.329,CHI,@,CLE,L 10-20,*,16,26,61.54,117,1,0,84.9,4,27,4.50,5.27,3,14,4.67,0,0,0,2,1,0,0,-9,0,,,,,,,,Kyle Orton,OrtoKy00
4,5,2005,2005-10-16,5,6,22.336,CHI,,MIN,W 28-3,*,16,25,64.00,117,2,1,84.9,3,20,4.68,4.48,4,4,1.00,0,0,0,1,1,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
5,6,2005,2005-10-23,6,7,22.343,CHI,,BAL,W 10-6,*,15,29,51.72,145,1,0,77.5,2,12,5.00,5.69,2,-2,-1.00,0,0,0,1,0,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
6,7,2005,2005-10-30,7,8,22.350,CHI,@,DET,W 19-13,*,17,31,54.84,230,1,0,89.4,2,12,7.42,8.06,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
7,8,2005,2005-11-06,8,9,22.357,CHI,@,NOR,W 20-17,*,12,26,46.15,137,1,2,43.3,2,6,5.27,2.58,1,6,6.00,0,0,0,1,1,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
8,9,2005,2005-11-13,9,10,22.364,CHI,,SFO,W 17-9,*,8,13,61.54,67,0,1,42.8,0,0,5.15,1.69,3,-3,-1.00,0,0,0,0,,0,0,0,0,,,,,,,,Kyle Orton,OrtoKy00
