,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1989,1989-10-01,4,4,23.199,DET,,PIT,L 3-23,*,15,30,50.00,160,0,1,52.1,2,11,5.33,3.83,0,0,,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
1,2,1989,1989-10-15,6,6,23.213,DET,@,TAM,W 17-16,*,17,31,54.84,268,1,2,67.7,4,31,8.65,6.39,10,78,7.80,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
2,3,1989,1989-10-22,7,7,23.220,DET,,MIN,L 7-20,*,19,36,52.78,240,0,2,50.7,8,42,6.67,4.17,8,25,3.13,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
3,4,1989,1989-10-29,8,8,23.227,DET,@,GNB,L 20-23,*,14,28,50.00,201,1,1,70.7,1,9,7.18,6.29,4,26,6.50,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
4,5,1989,1989-11-05,9,9,23.234,DET,@,HOU,L 31-35,*,18,29,62.07,273,1,1,90.2,3,16,9.41,8.55,1,3,3.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
5,6,1989,1989-11-12,10,10,23.241,DET,,GNB,W 31-22,*,7,15,46.67,77,2,1,74.2,4,23,5.13,4.80,6,0,0.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
6,7,1989,1989-11-19,11,11,23.248,DET,@,CIN,L 7-42,*,5,8,62.50,83,0,0,97.4,1,5,10.38,10.38,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
7,8,1989,1989-12-03,13,13,23.262,DET,,NOR,W 21-14,*,8,18,44.44,177,0,1,56.9,4,27,9.83,7.33,3,17,5.67,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rodney Peete,PeetRo00
9,9,1990,1990-09-09,1,1,24.177,DET,,TAM,L 21-38,*,10,21,47.62,143,1,1,66.2,5,31,6.81,5.62,4,11,2.75,0,0,0,2,,0,0,0,0,,Rodney Peete,PeetRo00
10,10,1990,1990-09-16,2,2,24.184,DET,,ATL,W 21-14,*,13,26,50.00,167,2,2,64.1,2,9,6.42,4.50,2,14,7.00,0,0,0,1,,0,0,0,0,,Rodney Peete,PeetRo00
11,11,1990,1990-09-23,3,3,24.191,DET,@,TAM,L 20-23,*,17,26,65.38,169,1,0,96.5,3,17,6.50,7.27,8,97,12.13,1,1,6,1,,0,0,0,0,,Rodney Peete,PeetRo00
12,12,1990,1990-09-30,4,4,24.198,DET,,GNB,L 21-24,*,17,34,50.00,200,1,0,78.1,1,6,5.88,6.47,6,50,8.33,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
13,13,1990,1990-10-28,7,8,24.226,DET,@,NOR,W 27-10,*,16,25,64.00,246,1,0,109.7,5,32,9.84,10.64,3,38,12.67,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
14,14,1990,1990-11-04,8,9,24.233,DET,,WAS,L 38-41,*,8,17,47.06,135,2,0,113.6,1,8,7.94,10.29,2,47,23.50,1,1,6,1,,0,0,0,0,,Rodney Peete,PeetRo00
15,15,1990,1990-12-02,12,13,24.261,DET,@,CHI,L 17-23,*,8,18,44.44,101,0,0,62.5,1,18,5.61,5.61,3,7,2.33,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
16,16,1990,1990-12-10,13,14,24.269,DET,,RAI,L 31-38,*,11,24,45.83,178,1,1,67.7,4,7,7.42,6.38,6,21,3.50,1,1,6,2,,0,1,0,0,,Rodney Peete,PeetRo00
17,17,1990,1990-12-16,14,15,24.275,DET,,CHI,W 38-21,*,18,27,66.67,316,4,2,115.1,1,6,11.70,11.33,5,32,6.40,0,0,0,1,,0,0,0,0,,Rodney Peete,PeetRo00
18,18,1990,1990-12-22,15,16,24.281,DET,@,GNB,W 24-17,*,13,28,46.43,184,0,1,53.3,0,0,6.57,4.96,5,35,7.00,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
19,19,1990,1990-12-30,16,17,24.289,DET,@,SEA,L 10-30,*,11,25,44.00,135,0,1,44.6,4,39,5.40,3.60,3,11,3.67,0,0,0,1,,0,0,0,0,,Rodney Peete,PeetRo00
20,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Rodney Peete,PeetRo00
21,20,1991,1991-09-01,1,1,25.169,DET,@,WAS,L 0-45,*,8,22,36.36,75,0,3,7.0,3,14,3.41,-2.73,1,16,16.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
22,21,1991,1991-09-08,2,2,25.176,DET,,GNB,W 23-14,*,25,38,65.79,271,1,0,95.4,0,0,7.13,7.66,4,25,6.25,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
23,22,1991,1991-09-15,3,3,25.183,DET,,MIA,W 17-13,*,13,24,54.17,173,1,1,73.8,2,9,7.21,6.17,5,16,3.20,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
24,23,1991,1991-09-22,4,4,25.190,DET,@,IND,W 33-24,*,17,23,73.91,167,0,2,57.7,0,0,7.26,3.35,8,26,3.25,1,1,6,0,,0,0,0,0,,Rodney Peete,PeetRo00
25,24,1991,1991-09-29,5,5,25.197,DET,,TAM,W 31-3,*,12,22,54.55,159,1,1,73.9,2,12,7.23,6.09,3,34,11.33,0,0,0,2,,0,1,-1,0,,Rodney Peete,PeetRo00
26,25,1991,1991-10-06,6,6,25.204,DET,,MIN,W 24-20,*,24,38,63.16,281,2,1,92.1,3,5,7.39,7.26,2,8,4.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
27,26,1991,1991-10-20,7,8,25.218,DET,@,SFO,L 3-35,*,14,24,58.33,183,0,1,65.1,0,0,7.63,5.75,1,-2,-2.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
28,27,1991,1991-10-27,8,9,25.225,DET,,DAL,W 34-10,*,3,3,100.00,30,0,0,108.3,1,2,10.00,10.00,1,2,2.00,0,0,0,0,,0,0,0,0,,Rodney Peete,PeetRo00
29,28,1991,1991-11-03,9,10,,DET,@,CHI,L 10-20,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
30,29,1991,1991-11-10,10,11,,DET,@,TAM,L 21-30,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Rodney Peete,PeetRo00
