,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,,
0,1,1957,1957-10-13,3,3,22.266,CLE,,PHI,W 24-7,,0,2,0.00,0,0,0,39.6,,18,0.00,0.00,2,2,1.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
1,2,1957,1957-10-20,4,4,22.273,CLE,@,PHI,L 7-17,,7,13,53.85,78,0,1,39.9,,12,6.00,2.54,1,5,5.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
2,3,1957,1957-10-27,5,5,22.280,CLE,@,CRD,W 17-7,*,3,9,33.33,11,0,1,2.8,,,1.22,-3.78,2,9,4.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
3,4,1957,1957-11-10,7,7,22.294,CLE,,PIT,W 24-0,,1,1,100.00,12,0,0,116.7,,,12.00,12.00,2,4,2.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
4,5,1957,1957-11-24,9,9,22.308,CLE,,RAM,W 45-31,,6,9,66.67,62,0,0,86.3,,,6.89,6.89,6,18,3.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
5,6,1957,1957-12-01,10,10,22.315,CLE,,CRD,W 31-0,,1,5,20.00,8,0,1,0.0,,8,1.60,-7.40,1,-1,-1.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
6,7,1957,1957-12-08,11,11,22.322,CLE,@,DET,L 7-20,*,12,21,57.14,190,1,1,83.4,,8,9.05,7.86,5,13,2.60,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
7,8,1957,1957-12-15,12,12,22.329,CLE,@,NYG,W 34-28,*,11,16,68.75,229,1,1,106.2,,39,14.31,12.75,7,68,9.71,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
8,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
9,9,1958,1958-09-28,1,1,23.251,CLE,@,RAM,W 30-27,*,13,25,52.00,141,2,2,62.2,,25,5.64,3.64,2,15,7.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
10,10,1958,1958-10-05,2,2,23.258,CLE,@,PIT,W 45-12,*,13,14,92.86,197,2,0,158.3,,7,14.07,16.93,1,-8,-8.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
11,11,1958,1958-10-12,3,3,23.265,CLE,,CRD,W 35-28,*,7,15,46.67,122,0,1,47.1,,,8.13,5.13,4,-22,-5.50,1,0,0,,0,,,,,,,1,6,Milt Plum,PlumMi00
12,12,1958,1958-10-19,4,4,23.272,CLE,,PIT,W 27-10,*,8,18,44.44,138,3,2,71.1,,16,7.67,6.00,1,-1,-1.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
13,13,1958,1958-10-26,5,5,23.279,CLE,@,CRD,W 38-24,*,10,14,71.43,126,0,0,99.1,,16,9.00,9.00,3,6,2.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
14,14,1958,1958-11-02,6,6,23.286,CLE,,NYG,L 17-21,*,4,14,28.57,26,0,2,0.0,,9,1.86,-4.57,3,12,4.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
15,15,1958,1958-11-09,7,7,23.293,CLE,,DET,L 10-30,,6,9,66.67,63,1,0,123.8,,,7.00,9.22,2,1,0.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
16,16,1958,1958-11-16,8,8,23.300,CLE,@,WAS,W 20-10,*,12,27,44.44,193,0,3,29.3,,7,7.15,2.15,5,24,4.80,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
17,17,1958,1958-11-23,9,9,23.307,CLE,,PHI,W 28-14,*,8,11,72.73,143,1,0,145.1,,,13.00,14.82,3,27,9.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
18,18,1958,1958-11-30,10,10,23.314,CLE,,WAS,W 21-14,*,10,19,52.63,219,1,0,111.5,,13,11.53,12.58,5,23,4.60,1,0,0,,0,,,,,,,1,6,Milt Plum,PlumMi00
19,19,1958,1958-12-07,11,11,23.321,CLE,@,PHI,W 21-14,*,5,11,45.45,111,1,1,74.4,,19,10.09,7.82,6,29,4.83,2,0,0,,0,,,,,,,2,12,Milt Plum,PlumMi00
20,20,1958,1958-12-14,12,12,23.328,CLE,@,NYG,L 10-13,*,6,12,50.00,140,0,0,92.4,,33,11.67,11.67,2,1,0.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
21,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
22,21,1959,1959-09-26,1,1,24.249,CLE,@,PIT,L 7-17,*,13,23,56.52,146,0,1,57.5,,11,6.35,4.39,4,12,3.00,1,0,0,,0,,,,,,,1,6,Milt Plum,PlumMi00
23,22,1959,1959-10-04,2,2,24.257,CLE,@,CRD,W 34-7,*,11,14,78.57,154,2,0,152.1,,15,11.00,13.86,1,1,1.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
24,23,1959,1959-10-11,3,3,24.264,CLE,,NYG,L 6-10,*,18,37,48.65,211,1,1,64.1,,7,5.70,5.03,2,4,2.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
25,24,1959,1959-10-18,4,4,24.271,CLE,,CRD,W 17-7,*,12,22,54.55,126,1,0,86.6,,,5.73,6.64,1,1,1.00,0,1,20,20.00,0,,,,,,,0,0,Milt Plum,PlumMi00
26,25,1959,1959-10-25,5,5,24.278,CLE,,WAS,W 34-7,*,13,18,72.22,253,4,0,153.9,,44,14.06,18.50,1,-1,-1.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
27,26,1959,1959-11-01,6,6,24.285,CLE,@,BAL,W 38-31,*,14,23,60.87,200,0,2,52.8,,,8.70,4.78,2,-4,-2.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
28,27,1959,1959-11-08,7,7,24.292,CLE,,PHI,W 28-7,*,12,20,60.00,146,1,0,99.2,,18,7.30,8.30,2,-5,-2.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
29,28,1959,1959-11-15,8,8,24.299,CLE,@,WAS,W 31-17,*,17,25,68.00,170,1,0,100.4,,16,6.80,7.60,1,-2,-2.00,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
30,29,1959,1959-11-22,9,9,24.306,CLE,,PIT,L 20-21,*,17,29,58.62,269,3,0,124.1,,8,9.28,11.34,,,,,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
31,30,1959,1959-11-29,10,10,24.313,CLE,,SFO,L 20-21,*,11,26,42.31,116,0,2,23.9,,17,4.46,1.00,3,-8,-2.67,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
32,31,1959,1959-12-06,11,11,24.320,CLE,@,NYG,L 7-48,*,6,15,40.00,36,0,2,8.3,,10,2.40,-3.60,2,5,2.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
33,32,1959,1959-12-13,12,12,24.327,CLE,@,PHI,W 28-21,*,12,14,85.71,165,1,0,139.6,,11,11.79,13.21,2,17,8.50,0,0,0,,0,,,,,,,0,0,Milt Plum,PlumMi00
34,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
35,33,1960,1960-09-25,1,1,25.249,CLE,@,PHI,W 41-24,*,9,11,81.82,67,1,0,122.3,,,6.09,7.91,4,10,2.50,1,,,,,,,,,,,1,6,Milt Plum,PlumMi00
36,34,1960,1960-10-02,2,2,25.256,CLE,,PIT,W 28-20,*,10,14,71.43,308,1,0,137.5,,12,22.00,23.43,5,-7,-1.40,1,,,,,,,,,,,1,6,Milt Plum,PlumMi00
37,35,1960,1960-10-16,3,4,25.270,CLE,@,DAL,W 48-7,*,6,8,75.00,106,2,0,156.2,2,39,13.25,18.25,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
38,36,1960,1960-10-23,4,5,25.277,CLE,,PHI,L 29-31,*,16,22,72.73,289,2,0,145.1,3,40,13.14,14.95,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
39,37,1960,1960-10-30,5,6,25.284,CLE,@,WAS,W 31-10,*,14,19,73.68,204,1,0,125.8,,81,10.74,11.79,1,6,6.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
40,38,1960,1960-11-06,6,7,25.291,CLE,,NYG,L 13-17,*,13,25,52.00,101,1,0,75.6,1,12,4.04,4.84,3,-35,-11.67,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
41,39,1960,1960-11-13,7,8,25.298,CLE,,STL,W 28-27,*,11,15,73.33,194,2,0,154.9,,26,12.93,15.60,1,0,0.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
42,40,1960,1960-11-20,8,9,25.305,CLE,@,PIT,L 10-14,*,23,37,62.16,328,1,0,99.8,,36,8.86,9.41,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
43,41,1960,1960-11-27,9,10,25.312,CLE,@,STL,T 17-17,*,13,19,68.42,108,2,0,117.9,,4,5.68,7.79,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
44,42,1960,1960-12-04,10,11,25.319,CLE,,WAS,W 27-16,*,10,28,35.71,212,3,1,84.2,,25,7.57,8.11,1,1,1.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
45,43,1960,1960-12-11,11,12,25.326,CLE,,CHI,W 42-0,*,7,12,58.33,84,1,0,107.6,,,7.00,8.67,1,3,3.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
46,44,1960,1960-12-18,12,13,25.333,CLE,@,NYG,W 48-34,*,19,40,47.50,296,4,4,66.2,,,7.40,4.90,1,-2,-2.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
47,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,XPM,XPA,XP%,FGM,FGA,FG%,TD,Pts,Milt Plum,PlumMi00
48,45,1961,1961-09-17,1,1,26.240,CLE,@,PHI,L 20-27,*,18,30,60.00,329,2,1,106.1,,,10.97,10.80,1,0,0.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
49,46,1961,1961-09-24,2,2,26.247,CLE,,STL,W 20-17,*,16,32,50.00,134,2,3,43.0,,,4.19,1.22,2,-16,-8.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
50,47,1961,1961-10-01,3,3,26.254,CLE,,DAL,W 25-7,*,8,17,47.06,100,2,1,80.5,,,5.88,5.59,4,21,5.25,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
51,48,1961,1961-10-08,4,4,26.261,CLE,,WAS,W 31-7,*,16,26,61.54,184,1,0,95.7,1,7,7.08,7.85,0,-4,,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
52,49,1961,1961-10-15,5,5,26.268,CLE,,GNB,L 17-49,*,17,26,65.38,187,2,1,96.2,3,22,7.19,7.00,3,0,0.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
53,50,1961,1961-10-22,6,6,26.275,CLE,@,PIT,W 30-28,,6,8,75.00,88,0,0,110.4,,,11.00,11.00,1,0,0.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
54,51,1961,1961-10-29,7,7,26.282,CLE,@,STL,W 21-10,*,5,9,55.56,117,1,0,137.5,2,15,13.00,15.22,2,-3,-1.50,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
55,52,1961,1961-11-05,8,8,26.289,CLE,,PIT,L 13-17,*,10,19,52.63,140,0,1,54.7,3,36,7.37,5.00,,,,,,,,,,,,,,,0,0,Milt Plum,PlumMi00
56,53,1961,1961-11-12,9,9,26.296,CLE,@,WAS,W 17-6,*,12,15,80.00,92,1,0,114.4,1,5,6.13,7.47,1,8,8.00,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
57,54,1961,1961-11-19,10,10,26.303,CLE,,PHI,W 45-24,*,16,21,76.19,246,1,0,130.3,,,11.71,12.67,2,-21,-10.50,0,,,,,,,,,,,0,0,Milt Plum,PlumMi00
