,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1971,1971-09-19,1,1,23.288,NWE,,OAK,W 20-6,*,6,15,40.00,127,2,1,82.5,,,8.47,8.13,1,0,0.00,0,0,0,Jim Plunkett,PlunJi00
1,2,1971,1971-09-26,2,2,23.295,NWE,,DET,L 7-34,*,6,17,35.29,113,1,2,39.2,1,12,6.65,2.53,4,10,2.50,0,0,0,Jim Plunkett,PlunJi00
2,3,1971,1971-10-03,3,3,23.302,NWE,,BAL,L 3-23,*,9,20,45.00,62,0,1,31.7,,,3.10,0.85,6,36,6.00,0,0,0,Jim Plunkett,PlunJi00
3,4,1971,1971-10-10,4,4,23.309,NWE,,NYJ,W 20-0,*,10,22,45.45,141,2,0,97.0,1,11,6.41,8.23,1,3,3.00,0,0,0,Jim Plunkett,PlunJi00
4,5,1971,1971-10-17,5,5,23.316,NWE,@,MIA,L 3-41,*,14,35,40.00,134,0,2,27.6,7,52,3.83,1.26,2,14,7.00,0,0,0,Jim Plunkett,PlunJi00
5,6,1971,1971-10-24,6,6,23.323,NWE,@,DAL,L 21-44,*,16,29,55.17,228,2,1,89.4,5,45,7.86,7.69,2,15,7.50,0,0,0,Jim Plunkett,PlunJi00
6,7,1971,1971-10-31,7,7,23.330,NWE,@,SFO,L 10-27,*,7,19,36.84,102,1,0,72.7,4,33,5.37,6.42,4,22,5.50,0,0,0,Jim Plunkett,PlunJi00
7,8,1971,1971-11-07,8,8,23.337,NWE,,HOU,W 28-20,*,14,30,46.67,157,1,0,73.9,4,51,5.23,5.90,5,18,3.60,0,0,0,Jim Plunkett,PlunJi00
8,9,1971,1971-11-14,9,9,23.344,NWE,,BUF,W 38-33,*,9,16,56.25,218,4,1,114.6,4,38,13.63,15.81,2,1,0.50,0,0,0,Jim Plunkett,PlunJi00
9,10,1971,1971-11-21,10,10,23.351,NWE,@,CLE,L 7-27,*,13,32,40.63,169,1,4,28.8,,,5.28,0.28,1,5,5.00,0,0,0,Jim Plunkett,PlunJi00
10,11,1971,1971-11-28,11,11,23.358,NWE,@,BUF,L 20-27,*,10,22,45.45,138,1,3,41.7,4,33,6.27,1.05,4,33,8.25,0,0,0,Jim Plunkett,PlunJi00
11,12,1971,1971-12-05,12,12,24.000,NWE,,MIA,W 34-13,*,16,23,69.57,223,2,0,129.4,,,9.70,11.43,4,1,0.25,0,0,0,Jim Plunkett,PlunJi00
12,13,1971,1971-12-12,13,13,24.007,NWE,@,NYJ,L 6-13,*,18,31,58.06,176,0,1,60.7,4,26,5.68,4.23,7,52,7.43,0,0,0,Jim Plunkett,PlunJi00
13,14,1971,1971-12-19,14,14,24.014,NWE,@,BAL,W 21-17,*,10,17,58.82,170,2,0,132.0,2,18,10.00,12.35,2,0,0.00,0,0,0,Jim Plunkett,PlunJi00
14,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Jim Plunkett,PlunJi00
15,15,1972,1972-09-17,1,1,24.287,NWE,,CIN,L 7-31,*,9,17,52.94,117,0,2,35.3,4,34,6.88,1.59,3,20,6.67,0,0,0,Jim Plunkett,PlunJi00
16,16,1972,1972-09-24,2,2,24.294,NWE,,ATL,W 21-20,*,12,29,41.38,195,1,0,76.1,1,11,6.72,7.41,6,23,3.83,0,0,0,Jim Plunkett,PlunJi00
17,17,1972,1972-10-01,3,3,24.301,NWE,,WAS,W 24-23,*,17,33,51.52,255,2,0,97.4,1,2,7.73,8.94,1,-1,-1.00,0,0,0,Jim Plunkett,PlunJi00
18,18,1972,1972-10-08,4,4,24.308,NWE,@,BUF,L 14-38,*,13,30,43.33,198,0,3,26.1,2,24,6.60,2.10,1,6,6.00,0,0,0,Jim Plunkett,PlunJi00
