,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1947,1947-09-19,4,4,20.311,BUF,@,CHR,W 31-14,,18,31,58.06,294,4,1,116.1,,,9.48,10.61,0,0,,0,0,0,George Ratterman,RattGe00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,George Ratterman,RattGe00
2,2,1948,1948-10-24,8,8,21.347,BUF,@,LAD,W 35-21,,17,27,62.96,310,1,3,75.2,,,11.48,7.22,0,0,,0,0,0,George Ratterman,RattGe00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,George Ratterman,RattGe00
4,3,1949,1949-10-09,6,6,22.331,BUF,@,LAD,L 28-42,,18,35,51.43,319,2,3,66.3,,,9.11,6.40,0,0,,0,0,0,George Ratterman,RattGe00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,George Ratterman,RattGe00
6,4,1950,1950-09-17,1,1,23.309,NYY,@,SFO,W 21-17,*,10,18,55.56,75,1,1,61.1,,16,4.17,2.78,1,0,0.00,0,0,0,George Ratterman,RattGe00
7,5,1950,1950-09-22,2,2,23.314,NYY,@,RAM,L 28-45,*,8,20,40.00,128,1,1,57.9,,15,6.40,5.15,1,1,1.00,1,1,6,George Ratterman,RattGe00
8,6,1950,1950-09-29,3,3,23.321,NYY,,DET,W 44-21,*,15,29,51.72,264,4,2,94.0,,,9.10,8.76,2,2,1.00,0,0,0,George Ratterman,RattGe00
9,7,1950,1950-10-08,4,4,23.330,NYY,@,GNB,W 44-31,*,10,24,41.67,212,3,2,78.5,,11,8.83,7.58,,,,,0,0,George Ratterman,RattGe00
10,8,1950,1950-10-12,5,5,23.334,NYY,,SFO,W 29-24,*,18,35,51.43,280,3,3,71.1,,28,8.00,5.86,1,3,3.00,0,0,0,George Ratterman,RattGe00
11,9,1950,1950-10-19,6,6,23.341,NYY,,GNB,W 35-17,*,12,23,52.17,244,2,2,82.5,,13,10.61,8.43,1,-9,-9.00,0,0,0,George Ratterman,RattGe00
12,10,1950,1950-10-29,7,7,23.351,NYY,,CHI,W 38-27,*,10,18,55.56,276,2,1,114.4,,,15.33,15.06,1,1,1.00,1,1,6,George Ratterman,RattGe00
13,11,1950,1950-11-12,8,9,24.000,NYY,@,CHI,L 20-28,*,12,28,42.86,210,2,1,78.0,,,7.50,7.32,,,,,0,0,George Ratterman,RattGe00
14,12,1950,1950-11-19,9,10,24.007,NYY,,RAM,L 35-43,*,17,33,51.52,202,2,6,51.1,,15,6.12,-0.85,1,2,2.00,1,1,6,George Ratterman,RattGe00
15,13,1950,1950-11-23,10,11,24.011,NYY,@,DET,L 14-49,*,7,18,38.89,97,1,2,35.9,,6,5.39,1.50,,,,,0,0,George Ratterman,RattGe00
16,14,1950,1950-12-03,11,12,24.021,NYY,@,NYG,L 7-51,*,12,27,44.44,101,0,2,23.8,,,3.74,0.41,,,,,0,0,George Ratterman,RattGe00
17,15,1950,1950-12-10,12,13,24.028,NYY,,BCL,W 51-14,*,9,21,42.86,162,1,1,66.0,,,7.71,6.52,,,,,0,0,George Ratterman,RattGe00
18,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,George Ratterman,RattGe00
19,16,1951,1951-11-18,8,8,25.006,NYY,@,RAM,L 21-48,,9,16,56.25,111,0,1,51.8,,25,6.94,4.13,2,5,2.50,0,0,0,George Ratterman,RattGe00
20,17,1951,1951-11-25,9,9,25.013,NYY,,SFO,T 10-10,*,4,10,40.00,16,0,2,8.3,,,1.60,-7.40,,,,,0,0,George Ratterman,RattGe00
21,18,1951,1951-12-02,10,10,25.020,NYY,@,GNB,W 31-28,,9,20,45.00,97,1,1,55.6,,,4.85,3.60,1,4,4.00,0,0,0,George Ratterman,RattGe00
22,19,1951,1951-12-09,11,11,25.027,NYY,,CHI,L 21-45,,4,8,50.00,43,0,0,66.1,,,5.38,5.38,,,,,0,0,George Ratterman,RattGe00
23,20,1951,1951-12-16,12,12,25.034,NYY,,NYG,L 17-27,,5,13,38.46,73,1,2,43.6,,,5.62,0.23,,,,,0,0,George Ratterman,RattGe00
24,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,George Ratterman,RattGe00
25,21,1952,1952-09-28,1,1,25.321,CLE,,RAM,W 37-7,,,,,,,,,,,,,1,2,2.00,0,0,0,George Ratterman,RattGe00
