,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1958,1958-10-19,4,4,22.099,RAM,@,CHI,L 10-31,,0,1,0.00,0,0,0,39.6,,15,0.00,0.00,,,,,0,0,,0,0,0,Frank Ryan,RyanFr00
1,2,1958,1958-10-26,5,5,22.106,RAM,,DET,L 24-41,,1,2,50.00,6,0,1,16.7,,,3.00,-19.50,1,11,11.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
2,3,1958,1958-11-09,7,7,22.120,RAM,,SFO,W 56-7,,3,8,37.50,26,1,1,46.9,,9,3.25,0.13,3,27,9.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
3,4,1958,1958-11-23,9,9,22.134,RAM,@,BAL,L 7-34,,1,3,33.33,2,0,1,2.8,,,0.67,-14.33,1,7,7.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
4,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Frank Ryan,RyanFr00
5,5,1959,1959-09-26,1,1,23.076,RAM,,NYG,L 21-23,,1,2,50.00,49,0,0,95.8,,,24.50,24.50,3,10,3.33,0,0,0,,0,0,0,Frank Ryan,RyanFr00
6,6,1959,1959-10-04,2,2,23.084,RAM,@,SFO,L 0-34,*,5,10,50.00,26,0,0,56.2,,19,2.60,2.60,2,3,1.50,0,0,0,,0,0,0,Frank Ryan,RyanFr00
7,7,1959,1959-10-11,3,3,23.091,RAM,@,CHI,W 28-21,,1,1,100.00,10,0,0,108.3,,,10.00,10.00,2,0,0.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
8,8,1959,1959-10-18,4,4,23.098,RAM,@,GNB,W 45-6,,2,2,100.00,7,0,0,81.2,,8,3.50,3.50,1,5,5.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
9,9,1959,1959-11-01,6,6,23.112,RAM,,CHI,L 21-26,,4,15,26.67,68,1,1,40.4,,,4.53,2.87,1,-4,-4.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
10,10,1959,1959-11-08,7,7,23.119,RAM,,SFO,L 16-24,,15,24,62.50,234,0,0,94.8,,17,9.75,9.75,3,21,7.00,1,0,0,,0,1,6,Frank Ryan,RyanFr00
11,11,1959,1959-11-15,8,8,23.126,RAM,@,DET,L 17-23,*,8,14,57.14,202,1,0,125.6,,26,14.43,15.86,2,4,2.00,0,0,0,,0,0,0,Frank Ryan,RyanFr00
