,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 48_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2008,2008-09-07,1,1,23.113,ATL,,DET,W 34-21,*,9,13,69.23,161,1,0,137.0,1,5,12.38,13.92,5,-2,-0.40,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
1,2,2008,2008-09-14,2,2,23.120,ATL,@,TAM,L 9-24,*,13,33,39.39,158,0,2,29.6,4,29,4.79,2.06,6,10,1.67,0,0,0,0,,0,0.0%,,,0,0,1,0,0,0,-11,0,,,,,,,,Matt Ryan,RyanMa00
2,3,2008,2008-09-21,3,3,23.127,ATL,,KAN,W 38-14,*,12,18,66.67,192,1,0,120.6,0,0,10.67,11.78,1,15,15.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
3,4,2008,2008-09-28,4,4,23.134,ATL,@,CAR,L 9-24,*,21,41,51.22,158,0,0,60.8,2,8,3.85,3.85,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
4,5,2008,2008-10-05,5,5,23.141,ATL,@,GNB,W 27-24,*,16,26,61.54,194,2,1,94.1,0,0,7.46,7.27,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
5,6,2008,2008-10-12,6,6,23.148,ATL,,CHI,W 22-20,*,22,30,73.33,301,1,0,116.1,0,0,10.03,10.70,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
6,7,2008,2008-10-26,7,8,23.162,ATL,@,PHI,L 14-27,*,23,44,52.27,277,2,2,68.1,2,19,6.30,5.16,1,4,4.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
7,8,2008,2008-11-02,8,9,23.169,ATL,@,OAK,W 24-0,*,17,22,77.27,220,2,0,138.4,3,19,10.00,11.82,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,1,1,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
8,9,2008,2008-11-09,9,10,23.176,ATL,,NOR,W 34-20,*,16,23,69.57,248,2,0,134.0,0,0,10.78,12.52,2,-2,-1.00,0,0,0,0,,0,0.0%,,,0,0,0,,0,0,0,0,,,,,,,,Matt Ryan,RyanMa00
