,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1988,1988-09-25,4,4,25.359,WAS,@,PHO,L 21-30,*,26,41,63.41,303,3,1,99.9,4,21,7.39,7.76,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
1,2,1988,1988-10-02,5,5,26.000,WAS,,NYG,L 23-24,*,16,27,59.26,282,2,1,104.2,3,31,10.44,10.26,1,3,3.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
2,3,1988,1988-10-09,6,6,26.007,WAS,@,DAL,W 35-17,*,13,21,61.90,187,3,0,130.4,2,17,8.90,11.76,4,17,4.25,1,1,6,0,,0,0,0,0,,Mark Rypien,RypiMa00
3,4,1988,1988-10-16,7,7,26.014,WAS,,PHO,W 33-17,*,15,27,55.56,303,4,1,119.3,2,14,11.22,12.52,1,-1,-1.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
4,5,1988,1988-10-30,9,9,26.028,WAS,@,HOU,L 17-41,,8,12,66.67,66,1,0,108.3,0,0,5.50,7.17,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
5,6,1988,1988-11-13,11,11,26.042,WAS,,CHI,L 14-34,,14,33,42.42,257,2,4,50.5,2,21,7.79,3.55,2,11,5.50,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
6,7,1988,1988-11-27,13,13,26.056,WAS,,CLE,L 13-17,*,11,24,45.83,135,1,2,42.9,1,11,5.63,2.71,1,1,1.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
7,8,1988,1988-12-04,14,14,26.063,WAS,@,PHI,W 20-19,*,8,17,47.06,123,1,3,51.5,0,0,7.24,0.47,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
8,9,1988,1988-12-11,15,15,26.070,WAS,,DAL,L 17-24,,3,6,50.00,74,1,1,95.1,0,0,12.33,8.17,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Mark Rypien,RypiMa00
10,10,1989,1989-09-11,1,1,26.344,WAS,,NYG,L 24-27,*,22,32,68.75,349,2,1,112.6,1,4,10.91,10.75,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
11,11,1989,1989-09-17,2,2,26.350,WAS,,PHI,L 37-42,*,12,23,52.17,288,4,2,101.0,2,16,12.52,12.09,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
12,12,1989,1989-09-24,3,3,26.357,WAS,@,DAL,W 30-7,*,15,37,40.54,216,0,0,60.2,1,8,5.84,5.84,1,9,9.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
13,13,1989,1989-10-01,4,4,26.364,WAS,@,NOR,W 16-14,*,15,28,53.57,216,0,1,64.0,0,0,7.71,6.11,3,-2,-0.67,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
14,14,1989,1989-10-08,5,5,27.006,WAS,,PHO,W 30-28,*,23,42,54.76,333,3,1,94.6,0,0,7.93,8.29,1,15,15.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
15,15,1989,1989-10-15,6,6,27.013,WAS,@,NYG,L 17-20,*,19,30,63.33,205,2,0,105.6,1,11,6.83,8.17,1,7,7.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
16,16,1989,1989-10-22,7,7,27.020,WAS,,TAM,W 32-28,*,24,36,66.67,221,2,1,90.2,2,12,6.14,6.00,5,9,1.80,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
17,17,1989,1989-10-29,8,8,27.027,WAS,@,RAI,L 24-37,*,27,53,50.94,364,1,3,55.9,5,29,6.87,4.70,1,4,4.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
18,18,1989,1989-11-20,11,11,27.049,WAS,,DEN,L 10-14,*,15,29,51.72,146,0,0,66.2,0,0,5.03,5.03,2,4,2.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
19,19,1989,1989-11-26,12,12,27.055,WAS,,CHI,W 38-14,*,30,47,63.83,401,4,1,110.3,2,11,8.53,9.28,3,-3,-1.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
20,20,1989,1989-12-03,13,13,27.062,WAS,@,PHO,W 29-10,*,16,22,72.73,153,0,0,91.7,1,7,6.95,6.95,1,-3,-3.00,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
21,21,1989,1989-12-10,14,14,27.069,WAS,,SDG,W 26-21,*,23,39,58.97,302,2,1,89.9,0,0,7.74,7.62,4,7,1.75,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
22,22,1989,1989-12-17,15,15,27.076,WAS,@,ATL,W 31-30,*,17,27,62.96,284,1,1,95.3,1,10,10.52,9.59,4,9,2.25,1,1,6,0,,0,0,0,0,,Mark Rypien,RypiMa00
23,23,1989,1989-12-23,16,16,27.082,WAS,@,SEA,W 29-0,*,22,31,70.97,290,1,1,97.5,0,0,9.35,8.55,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
24,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Mark Rypien,RypiMa00
25,24,1990,1990-09-09,1,1,27.342,WAS,,PHO,W 31-0,*,17,31,54.84,240,3,0,112.3,1,11,7.74,9.68,0,0,,0,0,0,0,,0,0,0,0,,Mark Rypien,RypiMa00
