,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 40_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2009,2009-09-13,1,1,22.306,NYJ,@,HOU,W 24-7,*,18,31,58.06,272,1,1,84.3,0,0,8.77,7.97,5,6,1.20,0,0,0,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
1,2,2009,2009-09-20,2,2,22.313,NYJ,,NWE,W 16-9,*,14,22,63.64,163,1,0,101.1,2,26,7.41,8.32,2,-2,-1.00,0,0,0,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
2,3,2009,2009-09-27,3,3,22.320,NYJ,,TEN,W 24-17,*,17,30,56.67,171,2,1,81.4,3,25,5.70,5.53,4,10,2.50,1,1,6,2,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
3,4,2009,2009-10-04,4,4,22.327,NYJ,@,NOR,L 10-24,*,14,27,51.85,138,0,3,27.0,4,26,5.11,0.11,4,24,6.00,0,0,0,1,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
4,5,2009,2009-10-12,5,5,22.335,NYJ,@,MIA,L 27-31,*,12,24,50.00,172,1,0,87.5,1,1,7.17,8.00,2,6,3.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
5,6,2009,2009-10-18,6,6,22.341,NYJ,,BUF,L 13-16,*,10,29,34.48,119,0,5,8.3,2,23,4.10,-3.66,1,6,6.00,0,0,0,1,0,0,1,0,0,,,,,,,,Mark Sanchez,SancMa00
6,7,2009,2009-10-25,7,7,22.348,NYJ,@,OAK,W 38-0,*,9,16,56.25,143,1,0,107.0,1,12,8.94,10.19,2,4,2.00,1,1,6,1,0,0,1,0,0,,,,,,,,Mark Sanchez,SancMa00
7,8,2009,2009-11-01,8,8,22.355,NYJ,,MIA,L 25-30,*,20,35,57.14,265,2,0,100.3,2,14,7.57,8.71,4,6,1.50,1,1,6,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
8,9,2009,2009-11-15,9,10,23.004,NYJ,,JAX,L 22-24,*,16,30,53.33,212,1,2,59.3,0,0,7.07,4.73,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
9,10,2009,2009-11-22,10,11,23.011,NYJ,@,NWE,L 14-31,*,8,21,38.10,136,1,4,37.1,2,14,6.48,-1.14,1,2,2.00,0,0,0,1,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
10,11,2009,2009-11-29,11,12,23.018,NYJ,,CAR,W 17-6,*,13,17,76.47,154,0,1,79.0,3,10,9.06,6.41,3,27,9.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
11,12,2009,2009-12-03,12,13,23.022,NYJ,@,BUF,W 19-13,*,7,15,46.67,104,1,0,92.1,2,18,6.93,8.27,1,8,8.00,0,0,0,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
12,13,2009,2009-12-13,13,14,,NYJ,@,TAM,W 26-3,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Mark Sanchez,SancMa00
13,14,2009,2009-12-20,14,15,23.039,NYJ,,ATL,L 7-10,*,18,32,56.25,226,1,3,49.7,2,11,7.06,3.47,3,7,2.33,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
14,15,2009,2009-12-27,15,16,23.046,NYJ,@,IND,W 29-15,*,12,19,63.16,106,0,0,78.0,2,15,5.58,5.58,2,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
15,16,2009,2010-01-03,16,17,23.053,NYJ,,CIN,W 37-0,*,8,16,50.00,63,0,0,60.2,0,0,3.94,3.94,2,2,1.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mark Sanchez,SancMa00
17,17,2010,2010-09-13,1,1,23.306,NYJ,,BAL,L 9-10,*,10,21,47.62,74,0,0,56.4,2,14,3.52,3.52,2,5,2.50,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
18,18,2010,2010-09-19,2,2,23.312,NYJ,,NWE,W 28-14,*,21,30,70.00,220,3,0,124.3,3,20,7.33,9.33,4,2,0.50,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
19,19,2010,2010-09-26,3,3,23.319,NYJ,@,MIA,W 31-23,*,15,28,53.57,256,3,0,120.5,0,0,9.14,11.29,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
20,20,2010,2010-10-03,4,4,23.326,NYJ,@,BUF,W 38-14,*,14,24,58.33,161,2,0,106.4,0,0,6.71,8.38,1,0,0.00,0,0,0,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
21,21,2010,2010-10-11,5,5,23.334,NYJ,,MIN,W 29-20,*,21,44,47.73,191,0,0,59.9,2,18,4.34,4.34,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
22,22,2010,2010-10-17,6,6,23.340,NYJ,@,DEN,W 24-20,*,17,30,56.67,198,1,2,60.1,2,8,6.60,4.27,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
23,23,2010,2010-10-31,7,8,23.354,NYJ,,GNB,L 0-9,*,16,38,42.11,256,0,2,43.3,2,15,6.74,4.37,2,22,11.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
24,24,2010,2010-11-07,8,9,23.361,NYJ,@,DET,W 23-20,*,22,39,56.41,336,1,1,82.9,1,9,8.62,7.97,3,1,0.33,1,1,6,3,0,0,2,-6,0,,,,,,,,Mark Sanchez,SancMa00
25,25,2010,2010-11-14,9,10,24.003,NYJ,@,CLE,W 26-20,*,27,44,61.36,299,2,1,87.2,2,15,6.80,6.68,2,4,2.00,1,1,6,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
26,26,2010,2010-11-21,10,11,24.010,NYJ,,HOU,W 30-27,*,22,38,57.89,315,3,1,100.2,3,17,8.29,8.68,2,22,11.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
27,27,2010,2010-11-25,11,12,24.014,NYJ,,CIN,W 26-10,*,16,28,57.14,166,1,1,71.4,2,17,5.93,5.04,3,-4,-1.33,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
28,28,2010,2010-12-06,12,13,24.025,NYJ,@,NWE,L 3-45,*,17,33,51.52,164,0,3,27.8,1,15,4.97,0.88,4,20,5.00,0,0,0,1,0,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
29,29,2010,2010-12-12,13,14,24.031,NYJ,,MIA,L 6-10,*,17,44,38.64,216,0,1,45.3,6,23,4.91,3.89,2,20,10.00,0,0,0,4,1,0,1,0,0,,,,,,,,Mark Sanchez,SancMa00
30,30,2010,2010-12-19,14,15,24.038,NYJ,@,PIT,W 22-17,*,19,29,65.52,170,0,0,81.1,1,0,5.86,5.86,3,15,5.00,1,1,6,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
31,31,2010,2010-12-26,15,16,24.045,NYJ,@,CHI,L 34-38,*,24,37,64.86,269,1,1,84.2,0,0,7.27,6.59,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
32,32,2010,2011-01-02,16,17,24.052,NYJ,,BUF,W 38-7,*,,,,,,,,0,,,,,,,,0,0,0,,,0,0,0,,,,,,,,Mark Sanchez,SancMa00
33,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mark Sanchez,SancMa00
34,33,2011,2011-09-11,1,1,24.304,NYJ,,DAL,W 27-24,*,26,44,59.09,335,2,1,88.7,4,20,7.61,7.50,1,3,3.00,0,0,0,2,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
35,34,2011,2011-09-18,2,2,24.311,NYJ,,JAX,W 32-3,*,17,24,70.83,182,2,2,85.8,1,0,7.58,5.50,3,29,9.67,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
36,35,2011,2011-09-25,3,3,24.318,NYJ,@,OAK,L 24-34,*,27,44,61.36,369,2,1,93.8,4,30,8.39,8.27,2,2,1.00,1,1,6,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
37,36,2011,2011-10-02,4,4,24.325,NYJ,@,BAL,L 17-34,*,11,35,31.43,119,0,1,30.5,2,7,3.40,2.11,3,3,1.00,0,0,0,4,0,0,0,-15,0,,,,,,,,Mark Sanchez,SancMa00
38,37,2011,2011-10-09,5,5,24.332,NYJ,@,NWE,L 21-30,*,16,26,61.54,166,2,0,105.6,2,8,6.38,7.92,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
39,38,2011,2011-10-17,6,6,24.340,NYJ,,MIA,W 24-6,*,14,25,56.00,201,1,0,95.6,1,7,8.04,8.84,1,5,5.00,1,1,6,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
40,39,2011,2011-10-23,7,7,24.346,NYJ,,SDG,W 27-21,*,18,33,54.55,173,3,1,87.1,2,17,5.24,5.70,3,25,8.33,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
41,40,2011,2011-11-06,8,9,24.360,NYJ,@,BUF,W 27-11,*,20,28,71.43,230,1,1,92.9,1,8,8.21,7.32,4,-3,-0.75,0,0,0,1,1,0,0,-3,0,,,,,,,,Mark Sanchez,SancMa00
42,41,2011,2011-11-13,9,10,25.002,NYJ,,NWE,L 16-37,*,20,39,51.28,306,1,2,64.7,5,38,7.85,6.05,5,11,2.20,1,1,6,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
43,42,2011,2011-11-17,10,11,25.006,NYJ,@,DEN,L 13-17,*,24,40,60.00,252,0,1,67.9,3,17,6.30,5.18,1,0,0.00,0,0,0,0,0,0,1,0,0,,,,,,,,Mark Sanchez,SancMa00
44,43,2011,2011-11-27,11,12,25.016,NYJ,,BUF,W 28-24,*,17,35,48.57,180,4,1,90.2,0,0,5.14,6.14,2,5,2.50,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
45,44,2011,2011-12-04,12,13,25.023,NYJ,@,WAS,W 34-19,*,19,32,59.38,165,1,0,83.5,0,0,5.16,5.78,3,1,0.33,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
46,45,2011,2011-12-11,13,14,25.030,NYJ,,KAN,W 37-10,*,13,21,61.90,181,2,0,121.3,3,26,8.62,10.52,2,4,2.00,2,2,12,1,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
47,46,2011,2011-12-18,14,15,25.037,NYJ,@,PHI,L 19-45,*,15,26,57.69,150,2,2,67.8,4,30,5.77,3.85,2,3,1.50,0,0,0,1,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
48,47,2011,2011-12-24,15,16,25.043,NYJ,,NYG,L 14-29,*,30,59,50.85,258,1,2,54.2,5,32,4.37,3.19,4,13,3.25,1,1,6,1,1,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
49,48,2011,2012-01-01,16,17,25.051,NYJ,@,MIA,L 17-19,*,21,32,65.63,207,2,3,65.5,2,3,6.47,3.50,1,2,2.00,0,0,0,0,,0,0,0,0,,,,,,,,Mark Sanchez,SancMa00
50,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Mark Sanchez,SancMa00
51,49,2012,2012-09-09,1,1,25.303,NYJ,,BUF,W 48-28,*,19,27,70.37,266,3,1,123.4,0,0,9.85,10.41,0,0,,0,0,0,0,0,0,0,0,0,59,91%,0,0%,0,0%,,Mark Sanchez,SancMa00
52,50,2012,2012-09-16,2,2,25.310,NYJ,@,PIT,L 10-27,*,10,27,37.04,138,1,0,66.6,2,9,5.11,5.85,0,0,,0,0,0,0,0,0,0,0,0,54,95%,0,0%,0,0%,,Mark Sanchez,SancMa00
53,51,2012,2012-09-23,3,3,25.317,NYJ,@,MIA,W 23-20,*,21,45,46.67,306,1,2,58.2,1,6,6.80,5.24,1,4,4.00,0,0,0,1,0,0,1,0,0,79,96%,0,0%,0,0%,,Mark Sanchez,SancMa00
54,52,2012,2012-09-30,4,4,25.324,NYJ,,SFO,L 0-34,*,13,29,44.83,103,0,1,39.9,3,12,3.55,2.00,0,0,,0,0,0,1,1,0,0,0,0,50,94%,0,0%,0,0%,,Mark Sanchez,SancMa00
55,53,2012,2012-10-08,5,5,25.332,NYJ,,HOU,L 17-23,*,14,31,45.16,230,1,2,54.5,3,13,7.42,5.16,2,1,0.50,0,0,0,2,0,0,0,0,0,53,93%,0,0%,0,0%,,Mark Sanchez,SancMa00
56,54,2012,2012-10-14,6,6,25.338,NYJ,,IND,W 35-9,*,11,18,61.11,82,2,0,109.0,1,6,4.56,6.78,1,-1,-1.00,0,0,0,0,0,0,0,0,0,60,94%,0,0%,0,0%,,Mark Sanchez,SancMa00
57,55,2012,2012-10-21,7,7,25.345,NYJ,@,NWE,L 26-29,*,28,41,68.29,328,1,1,90.3,4,31,8.00,7.39,1,0,0.00,0,0,0,2,1,0,0,-12,0,81,99%,0,0%,0,0%,,Mark Sanchez,SancMa00
58,56,2012,2012-10-28,8,8,25.352,NYJ,,MIA,L 9-30,*,28,54,51.85,283,1,1,65.6,4,25,5.24,4.78,1,6,6.00,0,0,0,1,1,0,0,0,0,82,100%,0,0%,0,0%,,Mark Sanchez,SancMa00
59,57,2012,2012-11-11,9,10,26.000,NYJ,@,SEA,L 7-28,*,9,22,40.91,124,0,1,40.7,3,31,5.64,3.59,0,0,,0,0,0,1,1,0,0,0,0,45,87%,0,0%,0,0%,,Mark Sanchez,SancMa00
60,58,2012,2012-11-18,10,11,26.007,NYJ,@,STL,W 27-13,*,15,20,75.00,178,1,0,118.3,3,12,8.90,9.90,4,-2,-0.50,0,0,0,1,0,0,1,0,0,62,95%,0,0%,0,0%,,Mark Sanchez,SancMa00
61,59,2012,2012-11-22,11,12,26.011,NYJ,,NWE,L 19-49,*,26,36,72.22,301,1,1,94.8,2,15,8.36,7.67,2,2,1.00,0,0,0,1,1,0,0,0,0,70,100%,0,0%,0,0%,,Mark Sanchez,SancMa00
62,60,2012,2012-12-02,12,13,26.021,NYJ,,ARI,W 7-6,*,10,21,47.62,97,0,3,21.4,3,14,4.62,-1.81,1,2,2.00,0,0,0,0,0,0,0,0,0,44,57%,0,0%,0,0%,,Mark Sanchez,SancMa00
63,61,2012,2012-12-09,13,14,26.028,NYJ,@,JAX,W 17-10,*,12,19,63.16,111,0,0,79.1,1,7,5.84,5.84,3,11,3.67,0,0,0,1,1,0,0,0,0,64,100%,0,0%,0,0%,,Mark Sanchez,SancMa00
64,62,2012,2012-12-17,14,15,26.036,NYJ,@,TEN,L 10-14,*,13,28,46.43,131,1,4,32.6,3,22,4.68,-1.04,4,6,1.50,0,0,0,1,1,0,1,-7,0,61,90%,0,0%,0,0%,,Mark Sanchez,SancMa00
65,63,2012,2012-12-23,15,16,,NYJ,,SDG,L 17-27,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mark Sanchez,SancMa00
