,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1979,1979-09-30,5,5,23.331,NYG,@,NOR,L 14-24,,8,19,42.11,115,1,2,40.4,1,11,6.05,2.37,2,0,0.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
1,2,1979,1979-10-07,6,6,23.338,NYG,,TAM,W 17-14,*,6,12,50.00,37,0,0,56.6,2,19,3.08,3.08,3,1,0.33,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
2,3,1979,1979-10-14,7,7,23.345,NYG,,SFO,W 32-16,*,17,32,53.13,300,2,0,106.2,3,21,9.38,10.63,2,23,11.50,1,,,,,,,,1,6,0,,0,0,0,0,,Phil Simms,SimmPh00
3,4,1979,1979-10-21,8,8,23.352,NYG,@,KAN,W 21-17,*,12,26,46.15,151,1,1,61.5,4,25,5.81,4.85,2,7,3.50,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
4,5,1979,1979-10-28,9,9,23.359,NYG,@,RAM,W 20-14,*,9,22,40.91,173,2,1,80.3,5,49,7.86,7.64,5,46,9.20,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
5,6,1979,1979-11-04,10,10,24.001,NYG,,DAL,L 14-16,*,10,16,62.50,150,2,1,106.8,1,17,9.38,9.06,2,29,14.50,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
6,7,1979,1979-11-11,11,11,24.008,NYG,,ATL,W 24-3,*,14,32,43.75,155,1,0,69.1,3,11,4.84,5.47,1,9,9.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
7,8,1979,1979-11-18,12,12,24.015,NYG,@,TAM,L 3-31,*,17,33,51.52,180,0,2,42.5,5,75,5.45,2.73,4,25,6.25,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
8,9,1979,1979-11-25,13,13,24.022,NYG,,WAS,W 14-6,*,7,14,50.00,90,0,1,40.8,2,16,6.43,3.21,3,5,1.67,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
9,10,1979,1979-12-02,14,14,24.029,NYG,@,DAL,L 7-28,*,9,15,60.00,130,0,1,60.4,5,32,8.67,5.67,1,3,3.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
10,11,1979,1979-12-09,15,15,24.036,NYG,@,STL,L 20-29,*,18,30,60.00,195,3,1,98.6,5,24,6.50,7.00,2,9,4.50,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
11,12,1979,1979-12-16,16,16,24.043,NYG,,BAL,L 7-31,*,7,14,50.00,67,1,4,47.9,3,19,4.79,-6.64,2,9,4.50,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
12,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Phil Simms,SimmPh00
13,13,1980,1980-09-07,1,1,24.309,NYG,@,STL,W 41-35,*,16,31,51.61,280,5,1,108.9,1,6,9.03,10.81,4,3,0.75,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
14,14,1980,1980-09-14,2,2,24.316,NYG,,WAS,L 21-23,*,12,29,41.38,174,2,3,45.0,3,11,6.00,2.72,2,4,2.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
15,15,1980,1980-09-22,3,3,24.324,NYG,@,PHI,L 3-35,*,21,49,42.86,184,0,2,36.4,1,15,3.76,1.92,3,22,7.33,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
16,16,1980,1980-09-28,4,4,24.330,NYG,,RAM,L 7-28,*,9,22,40.91,118,0,1,39.6,4,30,5.36,3.32,1,9,9.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
17,17,1980,1980-10-05,5,5,24.337,NYG,@,DAL,L 3-24,*,4,15,26.67,87,0,1,23.5,,,5.80,2.80,2,20,10.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
18,18,1980,1980-10-12,6,6,24.344,NYG,,PHI,L 16-31,*,14,33,42.42,91,1,2,34.8,3,12,2.76,0.64,5,21,4.20,1,,,,,,,,1,6,0,,0,0,0,0,,Phil Simms,SimmPh00
19,19,1980,1980-10-19,7,7,24.351,NYG,@,SDG,L 7-44,*,14,29,48.28,135,0,2,33.0,2,15,4.66,1.55,4,21,5.25,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
20,20,1980,1980-10-26,8,8,24.358,NYG,,DEN,L 9-14,*,19,36,52.78,200,0,1,57.6,2,12,5.56,4.31,2,30,15.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
21,21,1980,1980-11-02,9,9,24.365,NYG,@,TAM,L 13-30,*,22,34,64.71,155,1,2,60.3,1,8,4.56,2.50,1,1,1.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
22,22,1980,1980-11-09,10,10,25.006,NYG,,DAL,W 38-35,*,18,33,54.55,351,3,1,109.5,1,6,10.64,11.09,2,-4,-2.00,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
23,23,1980,1980-11-16,11,11,25.013,NYG,,GNB,W 27-21,*,17,33,51.52,322,3,0,116.0,4,28,9.76,11.58,4,19,4.75,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
24,24,1980,1980-11-23,12,12,25.020,NYG,@,SFO,L 0-12,*,15,28,53.57,118,0,1,49.4,10,67,4.21,2.61,2,15,7.50,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
25,25,1980,1980-11-30,13,13,25.027,NYG,,STL,L 7-23,*,12,30,40.00,106,0,2,22.4,4,23,3.53,0.53,4,29,7.25,0,,,,,,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
26,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Phil Simms,SimmPh00
27,26,1981,1981-09-06,1,1,25.307,NYG,,PHI,L 10-24,*,20,37,54.05,241,1,0,83.3,6,66,6.51,7.05,5,8,1.60,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
28,27,1981,1981-09-13,2,2,25.314,NYG,@,WAS,W 17-7,*,8,27,29.63,93,0,1,26.0,1,7,3.44,1.78,1,-5,-5.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
29,28,1981,1981-09-20,3,3,25.321,NYG,,NOR,W 20-7,*,28,41,68.29,324,1,0,100.1,2,9,7.90,8.39,4,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
30,29,1981,1981-09-27,4,4,25.328,NYG,@,DAL,L 10-18,*,18,35,51.43,285,1,3,52.7,4,27,8.14,4.86,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
31,30,1981,1981-10-04,5,5,25.335,NYG,,GNB,L 14-27,*,20,32,62.50,230,1,2,68.5,1,9,7.19,5.00,2,1,0.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
32,31,1981,1981-10-11,6,6,25.342,NYG,,STL,W 34-14,*,19,33,57.58,208,3,0,106.6,5,29,6.30,8.12,2,24,12.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
33,32,1981,1981-10-18,7,7,25.349,NYG,@,SEA,W 32-0,*,12,27,44.44,103,1,1,51.9,2,15,3.81,2.89,1,6,6.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
34,33,1981,1981-10-25,8,8,25.356,NYG,@,ATL,W 27-24,*,19,32,59.38,256,2,0,105.7,5,43,8.00,9.25,4,8,2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
35,34,1981,1981-11-01,9,9,25.363,NYG,,NYJ,L 7-26,*,22,35,62.86,182,0,1,64.2,9,71,5.20,3.91,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
36,35,1981,1981-11-15,11,11,26.012,NYG,,WAS,L 27-30,*,6,17,35.29,109,1,1,53.3,3,25,6.41,4.94,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
37,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Phil Simms,SimmPh00
38,36,1983,1983-09-18,3,3,27.319,NYG,@,DAL,L 13-28,,3,8,37.50,52,0,1,20.8,1,8,6.50,0.88,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
39,37,1983,1983-10-09,6,6,27.340,NYG,,PHI,L 13-17,,4,5,80.00,78,0,0,118.7,2,27,15.60,15.60,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
40,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Phil Simms,SimmPh00
41,38,1984,1984-09-02,1,1,28.304,NYG,,PHI,W 28-27,*,23,30,76.67,409,4,0,157.6,2,21,13.63,16.30,6,20,3.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
42,39,1984,1984-09-09,2,2,28.311,NYG,,DAL,W 28-7,*,10,20,50.00,185,3,0,121.9,2,21,9.25,12.25,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
43,40,1984,1984-09-16,3,3,28.318,NYG,@,WAS,L 14-30,*,22,45,48.89,347,1,3,54.6,5,45,7.71,5.16,1,3,3.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
44,41,1984,1984-09-23,4,4,28.325,NYG,,TAM,W 17-14,*,17,34,50.00,186,2,0,86.2,3,25,5.47,6.65,5,30,6.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
45,42,1984,1984-09-30,5,5,28.332,NYG,@,RAM,L 12-33,*,24,48,50.00,276,1,0,74.7,5,41,5.75,6.17,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
46,43,1984,1984-10-08,6,6,28.340,NYG,,SFO,L 10-31,*,24,43,55.81,290,0,2,57.3,4,27,6.74,4.65,3,22,7.33,0,,1,13,13.00,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
47,44,1984,1984-10-14,7,7,28.346,NYG,@,ATL,W 19-7,*,16,25,64.00,247,1,0,109.9,0,0,9.88,10.68,2,2,1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
48,45,1984,1984-10-21,8,8,28.353,NYG,@,PHI,L 10-24,*,16,33,48.48,248,0,1,61.2,5,32,7.52,6.15,1,4,4.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
49,46,1984,1984-10-28,9,9,28.360,NYG,,WAS,W 37-13,*,18,29,62.07,339,2,0,125.5,7,45,11.69,13.07,3,1,0.33,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
50,47,1984,1984-11-04,10,10,29.001,NYG,@,DAL,W 19-7,*,16,37,43.24,244,1,1,63.3,2,17,6.59,5.92,1,-2,-2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
51,48,1984,1984-11-11,11,11,29.008,NYG,@,TAM,L 17-20,*,21,33,63.64,198,2,1,87.7,2,25,6.00,5.85,6,9,1.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
52,49,1984,1984-11-18,12,12,29.015,NYG,,STL,W 16-10,*,12,30,40.00,178,1,2,43.5,2,13,5.93,3.60,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
53,50,1984,1984-11-25,13,13,29.022,NYG,,KAN,W 28-27,*,24,41,58.54,343,2,3,71.5,2,19,8.37,6.05,2,11,5.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
54,51,1984,1984-12-02,14,14,29.029,NYG,@,NYJ,W 20-10,*,18,28,64.29,252,0,1,78.3,4,36,9.00,7.39,4,21,5.25,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
55,52,1984,1984-12-09,15,15,29.036,NYG,@,STL,L 21-31,*,13,31,41.94,175,2,2,55.2,3,16,5.65,4.03,1,-2,-2.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
56,53,1984,1984-12-15,16,16,29.042,NYG,,NOR,L 3-10,*,12,26,46.15,127,0,2,28.8,7,51,4.88,1.42,6,43,7.17,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
57,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Phil Simms,SimmPh00
58,54,1985,1985-09-08,1,1,29.309,NYG,,PHI,W 21-0,*,8,21,38.10,133,1,1,56.2,2,8,6.33,5.14,2,5,2.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
59,55,1985,1985-09-15,2,2,29.316,NYG,@,GNB,L 20-23,*,21,40,52.50,272,2,0,90.8,5,33,6.80,7.80,1,11,11.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
60,56,1985,1985-09-22,3,3,29.323,NYG,,STL,W 27-17,*,10,23,43.48,167,3,1,90.0,1,4,7.26,7.91,5,-5,-1.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
61,57,1985,1985-09-29,4,4,29.330,NYG,@,PHI,W 16-10,*,14,27,51.85,228,1,1,77.4,4,30,8.44,7.52,7,37,5.29,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
62,58,1985,1985-10-06,5,5,29.337,NYG,,DAL,L 29-30,*,18,36,50.00,432,3,2,98.4,4,29,12.00,11.17,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
63,59,1985,1985-10-13,6,6,29.344,NYG,@,CIN,L 30-35,*,40,62,64.52,513,1,2,82.3,7,70,8.27,7.15,2,5,2.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
64,60,1985,1985-10-20,7,7,29.351,NYG,,WAS,W 17-3,*,17,26,65.38,196,1,3,61.2,1,11,7.54,3.12,2,31,15.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
65,61,1985,1985-10-27,8,8,29.358,NYG,@,NOR,W 21-13,*,18,28,64.29,159,1,0,91.2,1,5,5.68,6.39,6,4,0.67,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
66,62,1985,1985-11-03,9,9,30.000,NYG,,TAM,W 22-20,*,18,31,58.06,204,0,0,77.9,4,37,6.58,6.58,2,1,0.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
67,63,1985,1985-11-10,10,10,30.007,NYG,,RAM,W 24-19,*,16,30,53.33,239,1,2,63.1,2,15,7.97,5.63,3,9,3.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
68,64,1985,1985-11-18,11,11,30.015,NYG,@,WAS,L 21-23,*,9,18,50.00,138,0,1,52.5,4,37,7.67,5.17,1,8,8.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Phil Simms,SimmPh00
