,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1961,1961-09-17,1,1,22.048,WAS,@,SFO,L 3-35,*,8,34,23.53,140,0,3,7.5,4,42,4.12,0.15,,,,,0,0,Norm Snead,SneaNo00
1,2,1961,1961-09-24,2,2,22.055,WAS,@,PHI,L 7-14,*,13,29,44.83,225,1,1,68.9,1,6,7.76,6.90,3,6,2.00,0,0,0,Norm Snead,SneaNo00
2,3,1961,1961-10-01,3,3,22.062,WAS,,NYG,L 21-24,*,12,24,50.00,123,2,1,75.5,3,20,5.13,4.92,4,-5,-1.25,0,0,0,Norm Snead,SneaNo00
3,4,1961,1961-10-08,4,4,22.069,WAS,@,CLE,L 7-31,*,13,27,48.15,200,1,2,54.6,5,30,7.41,4.81,,,,,0,0,Norm Snead,SneaNo00
4,5,1961,1961-10-15,5,5,22.076,WAS,@,PIT,L 0-20,*,8,29,27.59,104,0,4,2.4,2,20,3.59,-2.62,1,1,1.00,0,0,0,Norm Snead,SneaNo00
5,6,1961,1961-10-22,6,6,22.083,WAS,,STL,L 0-24,*,7,17,41.18,61,0,1,26.8,7,43,3.59,0.94,1,9,9.00,0,0,0,Norm Snead,SneaNo00
6,7,1961,1961-10-29,7,7,22.090,WAS,,PHI,L 24-27,*,21,31,67.74,296,2,1,106.4,6,38,9.55,9.39,6,1,0.17,0,0,0,Norm Snead,SneaNo00
7,8,1961,1961-11-05,8,8,22.097,WAS,@,NYG,L 0-53,*,7,20,35.00,83,0,2,9.0,5,44,4.15,-0.35,1,0,0.00,0,0,0,Norm Snead,SneaNo00
8,9,1961,1961-11-12,9,9,22.104,WAS,,CLE,L 6-17,*,17,29,58.62,173,0,1,61.4,3,29,5.97,4.41,1,-2,-2.00,0,0,0,Norm Snead,SneaNo00
9,10,1961,1961-11-19,10,10,22.111,WAS,@,DAL,T 28-28,*,16,23,69.57,234,1,1,98.8,2,24,10.17,9.09,4,11,2.75,2,2,12,Norm Snead,SneaNo00
10,11,1961,1961-11-26,11,11,22.118,WAS,,BAL,L 6-27,*,9,32,28.13,91,0,3,0.5,4,28,2.84,-1.38,1,-1,-1.00,0,0,0,Norm Snead,SneaNo00
11,12,1961,1961-12-03,12,12,22.125,WAS,@,STL,L 24-38,*,10,17,58.82,232,2,0,142.4,1,10,13.65,16.00,4,12,3.00,0,0,0,Norm Snead,SneaNo00
