,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1970,1970-10-25,6,6,24.304,OAK,,PIT,W 31-14,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
1,2,1970,1970-11-08,8,8,24.318,OAK,,CLE,W 23-20,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
2,3,1970,1970-12-20,14,14,24.360,OAK,,SFO,L 7-38,,2,7,28.57,52,0,1,18.5,,,7.43,1.00,1,-4,-4.00,0,0,0,Ken Stabler,StabKe00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Ken Stabler,StabKe00
4,4,1971,1971-09-19,1,1,25.268,OAK,@,NWE,L 6-20,,1,3,33.33,10,0,0,43.7,,,3.33,3.33,,,,,0,0,Ken Stabler,StabKe00
5,5,1971,1971-09-26,2,2,25.275,OAK,@,SDG,W 34-0,,1,2,50.00,10,0,0,64.6,,,5.00,5.00,1,1,1.00,1,1,6,Ken Stabler,StabKe00
6,6,1971,1971-10-04,3,3,25.283,OAK,@,CLE,W 34-20,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
7,7,1971,1971-10-10,4,4,25.289,OAK,@,DEN,W 27-16,,10,23,43.48,136,1,1,59.3,2,22,5.91,4.83,2,20,10.00,1,1,6,Ken Stabler,StabKe00
8,8,1971,1971-10-17,5,5,25.296,OAK,,PHI,W 34-10,*,11,15,73.33,99,0,1,62.9,1,7,6.60,3.60,1,8,8.00,0,0,0,Ken Stabler,StabKe00
9,9,1971,1971-10-24,6,6,25.303,OAK,,CIN,W 31-27,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
10,10,1971,1971-10-31,7,7,25.310,OAK,,KAN,T 20-20,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
11,11,1971,1971-11-07,8,8,25.317,OAK,@,NOR,T 21-21,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
12,12,1971,1971-11-14,9,9,25.324,OAK,,HOU,W 41-21,,1,5,20.00,13,0,2,0.0,1,8,2.60,-15.40,,,,,0,0,Ken Stabler,StabKe00
13,13,1971,1971-11-21,10,10,25.331,OAK,,SDG,W 34-33,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
14,14,1971,1971-11-28,11,11,25.338,OAK,,BAL,L 14-37,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
15,15,1971,1971-12-05,12,12,25.345,OAK,@,ATL,L 13-24,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
16,16,1971,1971-12-12,13,13,25.352,OAK,@,KAN,L 14-16,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
17,17,1971,1971-12-19,14,14,25.359,OAK,,DEN,W 21-13,,,,,,,,,,,,,,,,,0,0,Ken Stabler,StabKe00
