,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2009,2009-09-13,1,1,21.218,DET,@,NOR,L 27-45,*,16,37,43.24,205,0,3,27.4,1,7,5.54,1.89,2,0,0.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
1,2,2009,2009-09-20,2,2,21.225,DET,,MIN,L 13-27,*,18,30,60.00,152,1,2,56.5,2,16,5.07,2.73,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
2,3,2009,2009-09-27,3,3,21.232,DET,,WAS,W 19-14,*,21,36,58.33,241,1,0,87.8,2,14,6.69,7.25,2,23,11.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
3,4,2009,2009-10-04,4,4,21.239,DET,@,CHI,L 24-48,*,24,36,66.67,296,1,1,89.6,5,42,8.22,7.53,2,20,10.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
4,5,2009,2009-10-11,5,5,,DET,,PIT,L 20-28,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matthew Stafford,StafMa00
5,6,2009,2009-10-18,6,6,,DET,@,GNB,L 0-26,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Matthew Stafford,StafMa00
6,7,2009,2009-11-01,7,8,21.267,DET,,STL,L 10-17,*,14,33,42.42,168,0,1,46.0,2,6,5.09,3.73,1,4,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
7,8,2009,2009-11-08,8,9,21.274,DET,@,SEA,L 20-32,*,22,42,52.38,203,2,5,42.2,2,17,4.83,0.43,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,,,,,,,,Matthew Stafford,StafMa00
8,9,2009,2009-11-15,9,10,21.281,DET,@,MIN,L 10-27,*,29,51,56.86,224,1,0,74.3,3,20,4.39,4.78,4,28,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,,0,0,0,0,,,,,,,,Matthew Stafford,StafMa00
