,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1956,1956-09-30,1,1,22.265,GNB,,DET,L 16-20,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,Bart Starr,StarBa00
1,2,1956,1956-10-07,2,2,22.272,GNB,,CHI,L 21-37,,5,12,41.67,42,0,0,51.4,,,3.50,3.50,1,12,12.00,0,0,0,Bart Starr,StarBa00
2,3,1956,1956-10-14,3,3,22.279,GNB,,BAL,W 38-33,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,Bart Starr,StarBa00
3,4,1956,1956-10-21,4,4,22.286,GNB,,RAM,W 42-17,,,,,,,,,,,,,2,18,9.00,0,0,0,Bart Starr,StarBa00
4,5,1956,1956-11-04,6,6,22.300,GNB,,CLE,L 7-24,,2,3,66.67,9,0,0,70.1,,,3.00,3.00,,,,,0,0,Bart Starr,StarBa00
5,6,1956,1956-11-11,7,7,22.307,GNB,@,CHI,L 14-38,,5,9,55.56,119,0,2,60.9,,,13.22,3.22,1,5,5.00,0,0,0,Bart Starr,StarBa00
6,7,1956,1956-11-18,8,8,22.314,GNB,,SFO,L 16-17,*,3,6,50.00,63,1,1,87.5,,16,10.50,6.33,1,0,0.00,0,0,0,Bart Starr,StarBa00
7,8,1956,1956-12-08,11,11,22.334,GNB,@,SFO,L 20-38,,3,5,60.00,31,1,0,117.5,,,6.20,10.20,,,,,0,0,Bart Starr,StarBa00
8,9,1956,1956-12-16,12,12,22.342,GNB,@,RAM,L 21-49,,6,7,85.71,61,0,0,103.0,,,8.71,8.71,,,,,0,0,Bart Starr,StarBa00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Bart Starr,StarBa00
10,10,1957,1957-09-29,1,1,23.263,GNB,,CHI,W 21-17,*,3,5,60.00,38,0,1,44.2,2,11,7.60,-1.40,,,,,0,0,Bart Starr,StarBa00
11,11,1957,1957-10-06,2,2,23.270,GNB,,DET,L 14-24,,9,19,47.37,100,0,2,23.9,1,9,5.26,0.53,3,26,8.67,1,1,6,Bart Starr,StarBa00
12,12,1957,1957-10-13,3,3,23.277,GNB,,BAL,L 17-45,*,13,22,59.09,163,2,3,72.9,3,27,7.41,3.09,2,6,3.00,0,0,0,Bart Starr,StarBa00
13,13,1957,1957-10-20,4,4,23.284,GNB,,SFO,L 14-24,*,4,5,80.00,36,0,0,96.7,3,29,7.20,7.20,2,8,4.00,0,0,0,Bart Starr,StarBa00
14,14,1957,1957-10-27,5,5,23.291,GNB,@,BAL,W 24-21,*,9,15,60.00,168,0,0,98.7,1,10,11.20,11.20,1,3,3.00,0,0,0,Bart Starr,StarBa00
15,15,1957,1957-11-03,6,6,23.298,GNB,,NYG,L 17-31,*,11,27,40.74,185,1,1,61.5,3,28,6.85,5.93,3,1,0.33,0,0,0,Bart Starr,StarBa00
16,16,1957,1957-11-10,7,7,23.305,GNB,@,CHI,L 14-21,*,12,21,57.14,179,2,0,117.0,3,33,8.52,10.43,5,15,3.00,0,0,0,Bart Starr,StarBa00
17,17,1957,1957-11-17,8,8,23.312,GNB,,RAM,L 27-31,*,6,7,85.71,62,1,0,143.2,,,8.86,11.71,1,-4,-4.00,0,0,0,Bart Starr,StarBa00
18,18,1957,1957-11-24,9,9,23.319,GNB,@,PIT,W 27-10,*,4,15,26.67,39,0,1,11.8,,,2.60,-0.40,3,2,0.67,1,1,6,Bart Starr,StarBa00
19,19,1957,1957-11-28,10,10,23.323,GNB,@,DET,L 6-18,*,21,38,55.26,247,0,1,64.3,1,12,6.50,5.32,4,28,7.00,0,0,0,Bart Starr,StarBa00
20,20,1957,1957-12-08,11,11,23.333,GNB,@,RAM,L 17-42,*,10,19,52.63,109,1,0,87.4,4,39,5.74,6.79,2,8,4.00,0,0,0,Bart Starr,StarBa00
21,21,1957,1957-12-15,12,12,23.340,GNB,@,SFO,L 20-27,*,15,22,68.18,163,1,1,86.0,4,33,7.41,6.27,5,5,1.00,1,1,6,Bart Starr,StarBa00
22,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Bart Starr,StarBa00
23,22,1958,1958-09-28,1,1,24.262,GNB,,CHI,L 20-34,*,6,13,46.15,78,0,0,65.5,,26,6.00,6.00,4,14,3.50,0,0,0,Bart Starr,StarBa00
24,23,1958,1958-10-05,2,2,24.269,GNB,,DET,T 13-13,*,18,31,58.06,196,1,2,60.7,,5,6.32,4.06,7,14,2.00,0,0,0,Bart Starr,StarBa00
