,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1969,1969-09-21,1,1,27.228,DAL,,STL,W 24-3,*,7,15,46.67,220,1,0,115.3,6,63,14.67,16.00,4,22,5.50,1,,,,,1,6,Roger Staubach,StauRo00
1,2,1969,1969-10-05,3,3,27.242,DAL,@,PHI,W 38-7,,5,8,62.50,60,0,1,45.8,1,5,7.50,1.88,2,22,11.00,0,,,,,0,0,Roger Staubach,StauRo00
2,3,1969,1969-10-12,4,4,27.249,DAL,@,ATL,W 24-17,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,3,5,1.67,0,,,,,0,0,Roger Staubach,StauRo00
3,4,1969,1969-10-19,5,5,27.256,DAL,,PHI,W 49-14,,3,8,37.50,45,0,1,17.2,1,12,5.63,0.00,5,4,0.80,0,,,,,0,0,Roger Staubach,StauRo00
4,5,1969,1969-11-02,7,7,27.270,DAL,@,CLE,L 10-42,,6,11,54.55,74,0,0,75.6,1,8,6.73,6.73,1,7,7.00,0,,,,,0,0,Roger Staubach,StauRo00
5,6,1969,1969-12-13,13,13,27.311,DAL,,BAL,W 27-10,,2,4,50.00,22,0,0,66.7,3,18,5.50,5.50,,,,,,,,,0,0,Roger Staubach,StauRo00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Roger Staubach,StauRo00
7,7,1970,1970-09-20,1,1,28.227,DAL,@,PHI,W 17-7,*,11,15,73.33,115,1,1,89.6,2,16,7.67,6.00,6,51,8.50,0,,,,,0,0,Roger Staubach,StauRo00
8,8,1970,1970-09-27,2,2,28.234,DAL,,NYG,W 28-10,*,13,23,56.52,133,1,1,69.7,4,30,5.78,4.70,7,54,7.71,0,,,,,0,0,Roger Staubach,StauRo00
