,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Scoring,Unnamed: 36_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 54_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2012,2012-09-09,1,1,24.044,MIA,@,HOU,L 10-30,*,20,36,55.56,219,0,3,39.0,2,20,6.08,2.33,3,-4,-1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,62,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
1,2,2012,2012-09-16,2,2,24.051,MIA,,OAK,W 35-13,*,18,30,60.00,200,1,0,91.0,1,11,6.67,7.33,3,14,4.67,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,75,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
2,3,2012,2012-09-23,3,3,24.058,MIA,,NYJ,L 20-23,*,16,36,44.44,196,0,1,50.2,0,0,5.44,4.19,3,3,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,83,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
3,4,2012,2012-09-30,4,4,24.065,MIA,@,ARI,L 21-24,*,26,41,63.41,431,1,2,86.5,4,37,10.51,8.80,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,77,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
4,5,2012,2012-10-07,5,5,24.072,MIA,@,CIN,W 17-13,*,17,26,65.38,223,0,0,92.3,2,12,8.58,8.58,4,-4,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,66,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
5,6,2012,2012-10-14,6,6,24.079,MIA,,STL,W 17-14,*,21,29,72.41,185,2,0,112.0,3,29,6.38,7.76,4,16,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,54,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
6,7,2012,2012-10-28,7,8,24.093,MIA,@,NYJ,W 30-9,*,2,5,40.00,18,0,0,50.4,1,9,3.60,3.60,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,11,18%,0,0%,0,0%,,Ryan Tannehill,TannRy00
7,8,2012,2012-11-04,8,9,24.100,MIA,@,IND,L 20-23,*,22,38,57.89,290,1,0,90.9,2,9,7.63,8.16,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,0,0,63,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
8,9,2012,2012-11-11,9,10,24.107,MIA,,TEN,L 3-37,*,23,39,58.97,217,0,3,42.4,1,8,5.56,2.10,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,55,92%,0,0%,0,0%,,Ryan Tannehill,TannRy00
9,10,2012,2012-11-15,10,11,24.111,MIA,@,BUF,L 14-19,*,14,28,50.00,141,1,2,46.9,3,17,5.04,2.54,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,58,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
10,11,2012,2012-11-25,11,12,24.121,MIA,,SEA,W 24-21,*,18,26,69.23,253,1,1,97.1,1,7,9.73,8.77,4,33,8.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
11,12,2012,2012-12-02,12,13,24.128,MIA,,NWE,L 16-23,*,13,29,44.83,186,0,0,66.2,3,10,6.41,6.41,5,19,3.80,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,2,1,0,0,0,0,62,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
12,13,2012,2012-12-09,13,14,24.135,MIA,@,SFO,L 13-27,*,17,33,51.52,150,1,0,74.1,2,17,4.55,5.15,3,25,8.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
13,14,2012,2012-12-16,14,15,24.142,MIA,,JAX,W 24-3,*,22,28,78.57,220,2,0,123.2,1,11,7.86,9.29,8,52,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,71,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
14,15,2012,2012-12-23,15,16,24.149,MIA,,BUF,W 24-10,*,13,25,52.00,130,2,0,93.7,2,11,5.20,6.80,6,44,7.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,64,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
15,16,2012,2012-12-30,16,17,24.156,MIA,@,NWE,L 0-28,*,20,35,57.14,235,0,1,65.8,7,26,6.71,5.43,2,8,4.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,59,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,Ryan Tannehill,TannRy00
17,17,2013,2013-09-08,1,1,25.043,MIA,@,CLE,W 23-10,*,24,38,63.16,272,1,1,82.3,4,17,7.16,6.50,5,3,0.60,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,68,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
18,18,2013,2013-09-15,2,2,25.050,MIA,@,IND,W 24-20,*,23,34,67.65,319,1,0,107.4,5,22,9.38,9.97,4,1,0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,3,1,0,0,0,0,66,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
19,19,2013,2013-09-22,3,3,25.057,MIA,,ATL,W 27-23,*,24,35,68.57,236,2,1,94.5,5,41,6.74,6.60,2,7,3.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,1,0,1,0,0,56,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
20,20,2013,2013-09-30,4,4,25.065,MIA,@,NOR,L 17-38,*,22,35,62.86,249,1,3,57.9,4,33,7.11,3.83,4,48,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,60,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
21,21,2013,2013-10-06,5,5,25.071,MIA,,BAL,L 23-26,*,21,40,52.50,307,1,0,86.1,6,35,7.68,8.18,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,58,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
22,22,2013,2013-10-20,6,7,25.085,MIA,,BUF,L 21-23,*,19,37,51.35,194,3,2,71.2,2,21,5.24,4.43,3,5,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,66,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
23,23,2013,2013-10-27,7,8,25.092,MIA,@,NWE,L 17-27,*,22,42,52.38,192,2,2,60.8,6,47,4.57,3.38,1,12,12.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,79,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
24,24,2013,2013-10-31,8,9,25.096,MIA,,CIN,W 22-20,*,20,28,71.43,208,0,0,92.6,3,20,7.43,7.43,1,1,1.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
25,25,2013,2013-11-11,9,10,25.107,MIA,@,TAM,L 19-22,*,27,42,64.29,229,2,1,84.3,2,18,5.45,5.33,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
26,26,2013,2013-11-17,10,11,25.113,MIA,,SDG,W 20-16,*,22,35,62.86,268,1,1,84.0,4,29,7.66,6.94,4,21,5.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
27,27,2013,2013-11-24,11,12,25.120,MIA,,CAR,L 16-20,*,28,42,66.67,310,1,1,86.4,3,30,7.38,6.79,4,36,9.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,63,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
28,28,2013,2013-12-01,12,13,25.127,MIA,@,NYJ,W 23-3,*,28,43,65.12,331,2,1,94.2,1,3,7.70,7.58,3,22,7.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,,Ryan Tannehill,TannRy00
