,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Scoring,Scoring,Punting,Punting,Punting,Punting,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,,
0,1,1974,1974-09-15,1,1,25.006,WAS,@,NYG,W 13-10,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
1,2,1974,1974-09-30,3,3,25.021,WAS,,DEN,W 30-3,,3,3,100.00,22,0,0,97.2,,,7.33,7.33,,,,,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
2,3,1974,1974-10-20,6,6,25.041,WAS,,NYG,W 24-3,,0,0,,0,0,0,,,,,,0,0,,0,2,26,13.00,0,0,0,0,0,,0,Joe Theismann,TheiJo00
3,4,1974,1974-10-27,7,7,25.048,WAS,@,STL,L 20-23,,0,0,,0,0,0,,1,3,,,0,0,,0,2,11,5.50,0,0,0,0,0,,0,Joe Theismann,TheiJo00
4,5,1974,1974-11-17,10,10,25.069,WAS,,DAL,W 28-21,,,,,,,,,,,,,1,3,3.00,1,1,5,5.00,0,1,6,0,0,,0,Joe Theismann,TheiJo00
5,6,1974,1974-11-24,11,11,25.076,WAS,,PHI,W 26-7,,0,0,,0,0,0,,,,,,0,0,,0,1,6,6.00,0,0,0,0,0,,0,Joe Theismann,TheiJo00
6,7,1974,1974-11-28,12,12,25.080,WAS,@,DAL,L 23-24,,0,0,,0,0,0,,,,,,0,0,,0,2,15,7.50,0,0,0,0,0,,0,Joe Theismann,TheiJo00
7,8,1974,1974-12-09,13,13,25.091,WAS,@,RAM,W 23-17,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,2,50,25.00,0,0,0,0,0,,0,Joe Theismann,TheiJo00
8,9,1974,1974-12-15,14,14,25.097,WAS,,CHI,W 42-0,,6,7,85.71,123,1,0,158.3,1,8,17.57,20.43,2,9,4.50,0,5,44,8.80,0,0,0,0,0,,0,Joe Theismann,TheiJo00
9,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Joe Theismann,TheiJo00
10,10,1975,1975-09-21,1,1,26.012,WAS,,NOR,W 41-3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
11,11,1975,1975-09-28,2,2,26.019,WAS,,NYG,W 49-13,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
12,12,1975,1975-10-05,3,3,26.026,WAS,@,PHI,L 10-26,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
13,13,1975,1975-10-13,4,4,26.034,WAS,,STL,W 27-17,,1,1,100.00,30,1,0,158.3,,,30.00,50.00,,,,,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
14,14,1975,1975-10-19,5,5,26.040,WAS,@,HOU,L 10-13,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
15,15,1975,1975-10-26,6,6,26.047,WAS,@,CLE,W 23-7,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
16,16,1975,1975-11-02,7,7,26.054,WAS,,DAL,W 30-24,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
17,17,1975,1975-11-09,8,8,26.061,WAS,@,NYG,W 21-13,,0,0,,0,0,0,,,,,,0,0,,0,1,2,2.00,0,0,0,0,0,,0,Joe Theismann,TheiJo00
18,18,1975,1975-11-16,9,9,26.068,WAS,@,STL,L 17-20,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
19,19,1975,1975-11-23,10,10,26.075,WAS,,OAK,L 23-26,,1,1,100.00,11,0,0,112.5,,,11.00,11.00,,,,,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
20,20,1975,1975-11-30,11,11,26.082,WAS,,MIN,W 31-30,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
21,21,1975,1975-12-07,12,12,26.089,WAS,@,ATL,W 30-27,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
22,22,1975,1975-12-13,13,13,26.095,WAS,@,DAL,L 10-31,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
23,23,1975,1975-12-21,14,14,26.103,WAS,,PHI,L 3-26,,8,20,40.00,55,0,3,8.3,2,18,2.75,-4.00,3,34,11.33,0,1,3,3.00,0,0,0,0,0,,0,Joe Theismann,TheiJo00
24,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Ret,Yds,Y/R,TD,TD,Pts,Pnt,Yds,Y/P,Blck,Joe Theismann,TheiJo00
25,24,1976,1976-09-12,1,1,27.003,WAS,,NYG,W 19-17,,0,1,0.00,0,0,0,39.6,1,6,0.00,0.00,,,,,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
26,25,1976,1976-09-19,2,2,27.010,WAS,,SEA,W 31-7,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
27,26,1976,1976-09-27,3,3,27.018,WAS,@,PHI,W 20-17,,,,,,,,,,,,,1,16,16.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
28,27,1976,1976-10-03,4,4,27.024,WAS,@,CHI,L 7-33,,6,15,40.00,60,1,3,34.7,3,19,4.00,-3.67,2,11,5.50,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
29,28,1976,1976-10-10,5,5,27.031,WAS,,KAN,L 30-33,*,20,37,54.05,270,2,2,73.0,1,6,7.30,5.95,5,38,7.60,1,0,0,,0,1,6,0,0,,0,Joe Theismann,TheiJo00
30,29,1976,1976-10-17,6,6,27.038,WAS,,DET,W 20-7,*,9,20,45.00,129,1,1,62.3,3,31,6.45,5.20,1,6,6.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
31,30,1976,1976-10-25,7,7,27.046,WAS,,STL,W 20-10,*,5,12,41.67,50,0,0,54.2,7,55,4.17,4.17,3,11,3.67,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
32,31,1976,1976-10-31,8,8,27.052,WAS,,DAL,L 7-20,,3,8,37.50,23,1,1,45.8,4,30,2.88,-0.25,1,8,8.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
33,32,1976,1976-11-07,9,9,27.059,WAS,@,SFO,W 24-21,*,20,32,62.50,302,3,2,98.7,2,19,9.44,8.50,3,1,0.33,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
34,33,1976,1976-11-14,10,10,27.066,WAS,@,NYG,L 9-12,*,12,30,40.00,153,0,1,42.8,1,6,5.10,3.60,1,6,6.00,0,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
35,34,1976,1976-11-21,11,11,27.073,WAS,@,STL,W 16-10,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
36,35,1976,1976-11-28,12,12,27.080,WAS,,PHI,W 24-0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
37,36,1976,1976-12-05,13,13,27.087,WAS,@,NYJ,W 37-16,,4,8,50.00,49,0,0,69.3,,,6.13,6.13,,,,,0,0,,0,0,0,0,0,,0,Joe Theismann,TheiJo00
38,37,1976,1976-12-12,14,14,27.094,WAS,@,DAL,W 27-14,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Joe Theismann,TheiJo00
