,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,,
0,1,1940,1940-09-29,4,4,24.045,PIT,,BKN,L 3-10,,,,,,,,,,,,,,,,,0,0,1,9,0,,Tommy Thompson,ThomTo21
1,2,1940,1940-10-06,5,5,24.052,PIT,,WAS,L 10-40,,,,,,,,,,,,,,,,,0,0,1,6,0,,Tommy Thompson,ThomTo21
2,3,1940,1940-10-27,8,8,24.073,PIT,@,GNB,L 3-24,,,,,,,,,,,,,,,,,0,0,1,8,0,,Tommy Thompson,ThomTo21
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
4,4,1941,1941-10-19,5,7,25.065,PHI,,WAS,L 17-21,,,,,,,,,,,,,,,,,0,0,1,0,0,,Tommy Thompson,ThomTo21
5,5,1941,1941-11-16,9,11,25.093,PHI,@,DET,L 17-21,,,,,,,,,,,,,,,,,0,0,1,14,0,,Tommy Thompson,ThomTo21
6,6,1941,1941-12-07,11,14,25.114,PHI,@,WAS,L 14-20,,,,,,,,,,,,,,,,,0,0,1,10,0,,Tommy Thompson,ThomTo21
7,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
8,7,1942,1942-10-04,4,4,26.050,PHI,,WAS,L 10-14,,,,,,,,,,,,,,,,,0,0,1,0,0,,Tommy Thompson,ThomTo21
9,8,1942,1942-11-01,8,8,26.078,PHI,@,WAS,L 27-30,,,,,,,,,,,,,,,,,0,0,1,22,0,,Tommy Thompson,ThomTo21
10,9,1942,1942-11-15,10,10,26.092,PHI,@,BKN,W 14-7,,,,,,,,,,,,,,,,,0,0,2,6,0,,Tommy Thompson,ThomTo21
11,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
12,10,1945,1945-11-04,5,7,29.081,PHI,@,PIT,W 45-3,,,,,,,,,,,,,,,,,0,0,1,8,0,,Tommy Thompson,ThomTo21
13,11,1945,1945-11-11,6,8,29.088,PHI,,NYG,W 38-17,,,,,,,,,,,,,,,,,0,0,1,25,0,,Tommy Thompson,ThomTo21
14,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
15,12,1948,1948-09-24,1,2,32.040,PHI,@,CRD,L 14-21,,12,30,40.00,207,2,1,72.5,,,6.90,6.73,3,12,4.00,0,0,0,,,,,Tommy Thompson,ThomTo21
16,13,1948,1948-10-03,2,3,32.049,PHI,@,RAM,T 28-28,,13,18,72.22,142,3,1,111.6,,,7.89,8.72,1,3,3.00,0,0,0,,,,,Tommy Thompson,ThomTo21
17,14,1948,1948-10-10,3,4,32.056,PHI,,NYG,W 45-0,,12,21,57.14,147,2,0,110.6,,,7.00,8.90,4,13,3.25,1,1,6,,,,,Tommy Thompson,ThomTo21
18,15,1948,1948-10-17,4,5,32.063,PHI,@,WAS,W 45-0,,12,17,70.59,171,1,0,122.4,,,10.06,11.24,,,,,0,0,,,,,Tommy Thompson,ThomTo21
19,16,1948,1948-10-24,5,6,32.070,PHI,,CHI,W 12-7,,4,6,66.67,-1,0,1,30.6,,,-0.17,-7.67,,,,,0,0,,,,,Tommy Thompson,ThomTo21
20,17,1948,1948-10-31,6,7,32.077,PHI,@,PIT,W 34-7,,16,22,72.73,152,1,0,106.6,,,6.91,7.82,,,,,0,0,,,,,Tommy Thompson,ThomTo21
21,18,1948,1948-11-07,7,8,32.084,PHI,@,NYG,W 35-14,,9,19,47.37,189,2,3,78.5,,,9.95,4.95,,,,,0,0,,,,,Tommy Thompson,ThomTo21
22,19,1948,1948-11-14,8,8,32.091,PHI,,BOS,W 45-0,,10,18,55.56,197,4,0,133.6,,,10.94,15.39,,,,,0,0,,,,,Tommy Thompson,ThomTo21
23,20,1948,1948-11-21,9,10,32.098,PHI,,WAS,W 42-21,,12,17,70.59,184,3,2,106.0,,,10.82,9.06,1,12,12.00,0,0,0,,,,,Tommy Thompson,ThomTo21
24,21,1948,1948-11-28,10,11,32.105,PHI,,PIT,W 17-0,,10,21,47.62,144,1,1,66.4,,,6.86,5.67,1,2,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
25,22,1948,1948-12-05,11,12,32.112,PHI,@,BOS,L 14-37,,15,36,41.67,175,2,2,52.4,,,4.86,3.47,,,,,0,0,,,,,Tommy Thompson,ThomTo21
26,23,1948,1948-12-12,12,12,32.119,PHI,,DET,W 45-21,,16,21,76.19,258,4,0,156.3,,,12.29,16.10,1,-2,-2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
27,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
28,24,1949,1949-09-22,1,1,33.038,PHI,@,NYY,W 7-0,,5,9,55.56,65,0,0,78.5,,,7.22,7.22,1,-4,-4.00,0,0,0,,,,,Tommy Thompson,ThomTo21
29,25,1949,1949-10-03,2,2,33.049,PHI,@,DET,W 22-14,,10,26,38.46,101,0,2,18.3,,,3.88,0.42,1,3,3.00,0,0,0,,,,,Tommy Thompson,ThomTo21
30,26,1949,1949-10-08,3,3,33.054,PHI,,CRD,W 28-3,,7,10,70.00,107,0,2,65.4,,,10.70,1.70,,,,,0,0,,,,,Tommy Thompson,ThomTo21
31,27,1949,1949-10-16,4,4,33.062,PHI,@,CHI,L 21-38,,16,28,57.14,213,3,1,102.2,,,7.61,8.14,1,5,5.00,0,0,0,,,,,Tommy Thompson,ThomTo21
32,28,1949,1949-10-23,5,5,33.069,PHI,,WAS,W 49-14,,9,18,50.00,145,2,1,91.2,,,8.06,7.78,1,1,1.00,1,1,6,,,,,Tommy Thompson,ThomTo21
33,29,1949,1949-10-30,6,6,33.076,PHI,@,PIT,W 38-7,,6,14,42.86,110,0,1,40.8,,,7.86,4.64,3,3,1.00,1,1,6,,,,,Tommy Thompson,ThomTo21
34,30,1949,1949-11-06,7,7,33.083,PHI,,RAM,W 38-14,,11,15,73.33,208,2,0,154.9,,,13.87,16.53,1,5,5.00,0,0,0,,,,,Tommy Thompson,ThomTo21
35,31,1949,1949-11-13,8,8,33.090,PHI,@,WAS,W 44-21,,12,21,57.14,269,4,0,141.4,,,12.81,16.62,,,,,0,0,,,,,Tommy Thompson,ThomTo21
36,32,1949,1949-11-20,9,9,33.097,PHI,,NYY,W 42-0,,6,11,54.55,65,1,2,62.9,,,5.91,-0.45,,,,,0,0,,,,,Tommy Thompson,ThomTo21
37,33,1949,1949-11-27,10,10,33.104,PHI,,PIT,W 34-17,,14,24,58.33,169,2,1,90.5,,,7.04,6.83,2,6,3.00,0,0,0,,,,,Tommy Thompson,ThomTo21
38,34,1949,1949-12-04,11,11,33.111,PHI,@,NYG,W 24-3,,9,17,52.94,144,1,0,101.1,,,8.47,9.65,1,-3,-3.00,0,0,0,,,,,Tommy Thompson,ThomTo21
39,35,1949,1949-12-11,12,12,33.118,PHI,,NYG,W 17-3,,11,21,52.38,131,1,1,67.8,,,6.24,5.05,1,1,1.00,0,0,0,,,,,Tommy Thompson,ThomTo21
40,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Int,Yds,TD,PD,Tommy Thompson,ThomTo21
41,36,1950,1950-09-16,1,1,34.032,PHI,,CLE,L 10-35,*,8,24,33.33,73,0,2,7.8,,18,3.04,-0.71,1,1,1.00,0,0,0,,,,,Tommy Thompson,ThomTo21
42,37,1950,1950-09-24,2,2,34.040,PHI,@,CRD,W 45-7,*,5,12,41.67,72,3,2,61.8,,,6.00,3.50,,,,,0,0,,,,,Tommy Thompson,ThomTo21
43,38,1950,1950-10-07,3,4,34.053,PHI,,RAM,W 56-20,*,7,19,36.84,140,3,0,103.1,,,7.37,10.53,2,4,2.00,0,0,0,,,,,Tommy Thompson,ThomTo21
