,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,,
0,1,1948,1948-09-05,1,1,21.317,BCL,,NYY,W 45-28,,11,21,52.38,346,4,2,97.8,,,16.48,16.00,0,0,,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
1,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Y.A. Tittle,TittY.00
2,2,1949,1949-10-16,7,7,22.357,BCL,,NYY,L 21-24,,15,30,50.00,325,2,3,71.5,,,10.83,7.67,0,0,,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
3,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Y.A. Tittle,TittY.00
4,3,1950,1950-09-17,1,1,23.328,BCL,,WAS,L 14-38,,19,34,55.88,229,0,2,52.2,,,6.74,4.09,5,29,5.80,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
5,4,1950,1950-09-24,2,2,23.335,BCL,,CLE,L 0-31,*,5,12,41.67,65,0,2,19.8,,18,5.42,-2.08,1,2,2.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
6,5,1950,1950-10-02,3,3,23.343,BCL,@,CRD,L 13-55,*,9,18,50.00,91,0,2,25.2,,,5.06,0.06,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
7,6,1950,1950-10-15,4,5,23.356,BCL,,PHI,L 14-24,,0,1,0.00,0,0,0,39.6,,,0.00,0.00,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
8,7,1950,1950-10-22,5,6,23.363,BCL,@,RAM,L 27-70,,11,22,50.00,122,0,1,47.9,1,10,5.55,3.50,1,16,16.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
9,8,1950,1950-10-29,6,7,24.005,BCL,@,SFO,L 14-17,,18,32,56.25,240,1,3,51.6,,,7.50,3.91,2,-3,-1.50,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
10,9,1950,1950-11-05,7,8,24.012,BCL,,GNB,W 41-21,*,14,31,45.16,277,1,3,48.1,4,26,8.94,5.23,2,12,6.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
11,10,1950,1950-11-12,8,9,24.019,BCL,@,PIT,L 7-17,*,24,43,55.81,202,0,1,58.5,,,4.70,3.65,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
12,11,1950,1950-11-19,9,10,24.026,BCL,,NYG,L 20-55,*,17,29,58.62,176,2,1,84.8,,,6.07,5.90,2,7,3.50,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
13,12,1950,1950-11-26,10,11,24.033,BCL,@,WAS,L 28-38,*,17,39,43.59,205,2,0,77.4,,,5.26,6.28,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
14,13,1950,1950-12-03,11,12,24.040,BCL,,DET,L 21-45,*,15,29,51.72,141,2,3,48.9,7,58,4.86,1.59,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
15,14,1950,1950-12-10,12,13,24.047,BCL,@,NYY,L 14-51,,12,25,48.00,136,0,1,48.1,,,5.44,3.64,2,4,2.00,2,0,0,,0,2,12,Y.A. Tittle,TittY.00
16,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,TD,Pts,Y.A. Tittle,TittY.00
17,15,1951,1951-09-30,1,1,24.341,SFO,,CLE,W 24-10,,3,3,100.00,59,0,0,118.7,,,19.67,19.67,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
18,16,1951,1951-10-06,2,2,24.347,SFO,@,PHI,L 14-21,,9,18,50.00,64,1,1,53.9,,14,3.56,2.17,1,3,3.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
19,17,1951,1951-10-14,3,3,24.355,SFO,@,PIT,W 28-24,,5,10,50.00,40,0,0,60.4,,7,4.00,4.00,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
20,18,1951,1951-10-21,4,4,24.362,SFO,@,CHI,L 7-13,,10,17,58.82,140,1,3,65.4,,30,8.24,1.47,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
21,19,1951,1951-10-28,5,5,25.004,SFO,,RAM,W 44-17,,2,4,50.00,61,2,0,135.4,,16,15.25,25.25,1,0,0.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
22,20,1951,1951-11-04,6,6,25.011,SFO,@,RAM,L 16-23,,1,5,20.00,1,0,2,0.0,,14,0.20,-17.80,2,7,3.50,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
23,21,1951,1951-11-11,7,7,25.018,SFO,,NYY,W 19-14,,8,9,88.89,118,1,0,155.8,,,13.11,15.33,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
24,22,1951,1951-11-18,8,8,25.025,SFO,,CRD,L 21-27,,4,10,40.00,52,0,1,17.5,,,5.20,0.70,,,,,0,0,,0,0,0,Y.A. Tittle,TittY.00
25,23,1951,1951-11-25,9,9,25.032,SFO,@,NYY,T 10-10,,4,8,50.00,40,0,0,64.6,,,5.00,5.00,1,1,1.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
26,24,1951,1951-12-02,10,10,25.039,SFO,@,DET,W 20-10,,5,10,50.00,77,2,0,115.4,,8,7.70,11.70,3,3,1.00,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
27,25,1951,1951-12-09,11,11,25.046,SFO,,GNB,W 31-19,*,5,8,62.50,73,0,2,52.6,,48,9.13,-2.13,2,1,0.50,0,0,0,,0,0,0,Y.A. Tittle,TittY.00
28,26,1951,1951-12-16,12,12,25.053,SFO,,DET,W 21-17,,7,12,58.33,83,1,0,107.3,,,6.92,8.58,3,3,1.00,1,0,0,,0,1,6,Y.A. Tittle,TittY.00
