,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 34_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1989,1989-10-29,8,8,23.264,SDG,@,SEA,L 7-10,*,6,17,35.29,41,0,1,19.5,2,20,2.41,-0.24,1,0,0.00,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
1,2,1989,1989-12-03,13,13,23.299,SDG,,NYJ,L 17-20,*,24,51,47.06,230,1,2,50.3,5,43,4.51,3.14,1,-3,-3.00,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
2,3,1989,1989-12-10,14,14,23.306,SDG,@,WAS,L 21-26,*,24,39,61.54,350,2,0,107.9,0,0,8.97,10.00,2,3,1.50,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
3,4,1989,1989-12-17,15,15,23.313,SDG,@,KAN,W 20-13,*,13,30,43.33,171,2,1,70.3,2,12,5.70,5.53,2,-3,-1.50,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
4,5,1989,1989-12-24,16,16,23.320,SDG,,DEN,W 19-16,*,22,48,45.83,305,0,4,32.0,0,0,6.35,2.60,1,3,3.00,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
5,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Billy Joe Tolliver,TollBi00
6,6,1990,1990-09-09,1,1,24.214,SDG,@,DAL,L 14-17,,1,3,33.33,3,0,0,42.4,1,13,1.00,1.00,0,0,,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
7,7,1990,1990-09-16,2,2,24.221,SDG,,CIN,L 16-21,*,20,38,52.63,284,2,1,83.7,1,6,7.47,7.34,0,0,,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
8,8,1990,1990-09-23,3,3,24.228,SDG,@,CLE,W 24-14,*,12,29,41.38,139,2,2,50.8,1,10,4.79,3.07,1,-3,-3.00,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
9,9,1990,1990-09-30,4,4,24.235,SDG,,HOU,L 7-17,*,14,25,56.00,174,1,2,57.7,1,7,6.96,4.16,2,14,7.00,0,0,0,0,,0,0,0,0,,Billy Joe Tolliver,TollBi00
