,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,,
0,1,1985,1985-09-29,4,4,22.341,CHI,,WAS,W 45-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Mike Tomczak,TomcMi00
1,2,1985,1985-10-21,7,7,22.363,CHI,,GNB,W 23-7,,0,0,,0,0,0,,0,,,,1,0,0.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
2,3,1985,1985-11-10,10,10,23.018,CHI,,DET,W 24-3,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Mike Tomczak,TomcMi00
3,4,1985,1985-11-17,11,11,23.025,CHI,@,DAL,W 44-0,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,,,0,0,,,,,,,,Mike Tomczak,TomcMi00
4,5,1985,1985-11-24,12,12,23.032,CHI,,ATL,W 36-0,,2,4,50.00,33,0,0,78.1,0,0,8.25,8.25,1,3,3.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
5,6,1985,1985-12-22,16,16,23.060,CHI,@,DET,W 37-17,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Status,Mike Tomczak,TomcMi00
7,7,1986,1986-09-07,1,1,23.319,CHI,,CLE,W 41-31,,3,6,50.00,48,0,0,77.1,0,0,8.00,8.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
8,8,1986,1986-09-14,2,2,23.326,CHI,,PHI,W 13-10,*,10,20,50.00,116,0,2,28.3,2,16,5.80,1.30,2,14,7.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
9,9,1986,1986-09-22,3,3,23.334,CHI,@,GNB,W 25-12,*,9,13,69.23,74,0,0,83.5,0,0,5.69,5.69,2,5,2.50,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
10,10,1986,1986-09-28,4,4,23.340,CHI,@,CIN,W 44-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
11,11,1986,1986-10-19,7,7,23.361,CHI,@,MIN,L 7-23,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,1,9,9.00,0,,0,0,,0,,,0,0,0,,0,0,0,0,,Mike Tomczak,TomcMi00
