,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,,
0,1,1949,1949-11-06,7,7,21.333,DET,,CRD,L 19-42,,2,8,25.00,6,0,0,39.6,,,0.75,0.75,,,,,0,0,Frank Tripucka,TripFr00
1,2,1949,1949-11-13,8,8,21.340,DET,@,CHI,L 24-27,,15,33,45.45,227,3,3,61.0,,,6.88,4.61,1,3,3.00,0,0,0,Frank Tripucka,TripFr00
2,3,1949,1949-11-20,9,9,21.347,DET,@,NYG,W 45-21,,12,22,54.55,150,3,4,75.9,,,6.82,1.36,,,,,0,0,Frank Tripucka,TripFr00
3,4,1949,1949-11-24,10,10,21.351,DET,,CHI,L 7-28,,8,21,38.10,69,0,4,7.9,,,3.29,-5.29,3,-9,-3.00,0,0,0,Frank Tripucka,TripFr00
4,5,1949,1949-12-04,11,11,21.361,DET,,NYY,W 28-27,,8,29,27.59,87,1,1,36.7,,,3.00,2.14,3,25,8.33,1,1,6,Frank Tripucka,TripFr00
5,6,1949,1949-12-11,12,12,22.003,DET,,GNB,W 21-7,,17,32,53.13,294,2,2,79.4,,,9.19,7.63,5,17,3.40,0,0,0,Frank Tripucka,TripFr00
6,Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Frank Tripucka,TripFr00
7,7,1950,1950-09-24,1,2,22.290,CRD,,PHI,L 7-45,,0,2,0.00,0,0,0,39.6,,,0.00,0.00,1,21,21.00,0,0,0,Frank Tripucka,TripFr00
8,8,1950,1950-10-15,4,5,22.311,CRD,@,CLE,L 24-34,,0,2,0.00,0,0,0,39.6,,15,0.00,0.00,1,18,18.00,0,0,0,Frank Tripucka,TripFr00
