,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Scoring,Scoring,Scoring,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Off. Snaps,Off. Snaps,Def. Snaps,Def. Snaps,ST Snaps,ST Snaps,Unnamed: 41_level_0,qb,qb_tag
,Rk,Year,Date,G#,Week,Age,Tm,Unnamed: 7_level_1,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds.1,Y/A,AY/A,Att,Yds,Y/A,TD,2PM,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status,,
0,1,2017,2017-09-10,1,1,,CHI,,ATL,L 17-23,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
1,2,2017,2017-09-17,2,2,,CHI,@,TAM,L 7-29,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
2,3,2017,2017-09-24,3,3,,CHI,,PIT,W 23-17,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
3,4,2017,2017-09-28,4,4,,CHI,@,GNB,L 14-35,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Mitchell Trubisky,TrubMi00
4,5,2017,2017-10-09,5,5,23.050,CHI,,MIN,L 17-20,*,12,25,48.00,128,1,1,60.1,1,7,5.12,4.12,3,22,7.33,0,1,0,2,1,1,0,0,0,0,61,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
5,6,2017,2017-10-15,6,6,23.056,CHI,@,BAL,W 27-24,*,8,16,50.00,113,1,0,94.0,4,23,7.06,8.31,4,32,8.00,0,,0,0,2,1,0,2,0,0,80,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
6,7,2017,2017-10-22,7,7,23.063,CHI,,CAR,W 17-3,*,4,7,57.14,107,0,0,101.8,4,22,15.29,15.29,5,3,0.60,0,,0,0,0,0,0,0,0,0,38,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
7,8,2017,2017-10-29,8,8,23.070,CHI,@,NOR,L 12-20,*,14,32,43.75,164,0,1,46.9,2,14,5.13,3.72,3,53,17.67,0,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
8,9,2017,2017-11-12,9,10,23.084,CHI,,GNB,L 16-23,*,21,35,60.00,297,1,0,97.0,5,29,8.49,9.06,0,0,,0,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
9,10,2017,2017-11-19,10,11,23.091,CHI,,DET,L 24-27,*,18,30,60.00,179,1,0,88.1,1,3,5.97,6.63,6,53,8.83,0,,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
10,11,2017,2017-11-26,11,12,23.098,CHI,@,PHI,L 3-31,*,17,33,51.52,147,0,2,38.3,2,13,4.45,1.73,4,12,3.00,0,,0,0,2,0,0,0,-3,0,55,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
11,12,2017,2017-12-03,12,13,23.105,CHI,,SFO,L 14-15,*,12,15,80.00,102,1,0,117.2,2,17,6.80,8.13,4,19,4.75,0,,0,0,2,0,0,2,-6,0,37,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
12,13,2017,2017-12-10,13,14,23.112,CHI,@,CIN,W 33-7,*,25,32,78.13,271,1,0,112.4,2,21,8.47,9.09,2,5,2.50,1,,1,6,0,0,0,0,0,0,76,100%,0,0%,0,0%,,Mitchell Trubisky,TrubMi00
